Slovenian	Ukrainian	probability
áː	ɔ	1.0
d	d	1.0
e	ˈɛ	1.0
ìː	ˈɪ	1.0
íː	ˈɪ	1.0
x	x	1.0
ɔ̀ː	ɔ	1.0
ɔ́	ˈi	1.0
ɔ́ː	ˈɔ	1.0
ə́	ˈɛ	1.0
ɛ́	ˈɛ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
àː	ˈɑ	0.551
b	b	0.931
éː	ˈi	0.591
z	z	0.851
ɛ̀ː	ɛ	0.701
ɡ	j_#>	0.051
a	ɐ	0.322
k	k	0.632
óː	ɔ	0.412
s	s	0.792
t	d	0.102
t	t	0.652
ɛ	ˈi	0.22
èː	ˈi	0.683
i	e	0.493
l	ɔ_ɫ	0.163
m	mʲ	0.173
n	n_e	0.233
w	ɫ	0.263
w	j	0.353
i	ˈɪ	0.44
k	ɦ	0.194
p	p	0.734
ɡ	ɦ	0.764
éː	i	0.195
ɔ	ˈɔ	0.315
ɔ	ɔ	0.685
ɡ	ɦ_ˈɔ	0.185
ʋ	w	0.125
ʋ	ʋ	0.425
ʦ	-	0.315
éː	ˈɑ	0.086
r	r	0.796
t	tʲ	0.246
w	ʋ	0.286
ə	-	0.716
àː	ˈɔ	0.37
i	ɪ	0.067
j	-	0.957
m	m	0.827
óː	ˈi	0.507
p	b	0.167
ə	ˈɔ	0.167
ʦ	ʦ	0.407
a	ˈɑ	0.678
èː	i	0.178
éː	ɛ	0.08
k	k_ɔ	0.098
l	ɫ	0.498
n	nʲ	0.448
r	rʲ	0.178
s	sʲ	0.208
w	lʲ	0.098
ə	ˈɛ	0.118
ɛ	ɛ	0.78
ʋ	ʋ_j	0.078
ʋ	ʋʲ	0.338
ʦ	ʦʲ	0.278
àː	ɐ	0.079
b	bʲ	0.069
èː	ɔ	0.139
l	lʲ	0.339
n	n	0.319
o	ˈɔ	0.969
p	pʲ	0.099
z	zʲ	0.149
ɛ̀ː	ɐ	0.299
