Bokmål Norwegian	Bokmål Norwegian	probability
ˈœʏ̯	ˈɔːi̯	1.0
ˈæ	ˈeː	1.0
ʈː	ʈ	1.0
ʂ	ʃ	1.0
ɳ	t͡n̥	1.0
ŋ	ɡ̊	1.0
ç	ʧʰ	1.0
sː	sː	1.0
pː	-	1.0
pʰ	pʰ	1.0
m	m	1.0
kʰ	kʰ	1.0
k_ə	a	1.0
i	a_v	1.0
h	h	1.0
f	f	1.0
b	b̥	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ɾ	<#_ɹ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#	<#_ɡ̊	1.0
n	n	0.909
ɾ	ɹ	0.907
s	s	0.902
#>	ʊ_ɹ_#>	0.872
ˈʉ	ˈʊ	0.867
ʋ	v	0.867
l	l	0.857
tʰ	tʰ	0.85
t	t	0.84
ˈɑː	ˈɛːa̯	0.833
tː	ʰt	0.833
k	k	0.824
ˈoː	ˈɔ̯aː	0.812
d	d̥	0.789
ˈɪ	ˈɪ	0.786
kː	ʰk	0.75
ˈʏ	ˈɪ	0.714
ɾ_ə	ɹ_a	0.714
j	j	0.714
ˈiː	ˈʊ̯iː	0.706
mː	m	0.667
ˈɑ	ˈa	0.652
ə	a	0.636
p	p	0.625
ˈæː	-	0.571
ŋː	ŋ_ɡ̊	0.556
ˈʉː	ˈʉːu̯	0.524
ˈʊ	ˈɔ	0.5
ˈʊ	-	0.5
ɡː	ʤ̊ː	0.5
ɡː	ɡ̊ː	0.5
ɡ	ɡ̊	0.5
<#_j	<#_j	0.5
<#_j	<#	0.5
ˈɔ	ˈɔ	0.455
nː	nː	0.455
ˈæː	ˈeː	0.429
nː	n_d̥	0.409
ˈœ	-	0.385
lː	t͡l̥	0.385
ˈyː	ˈʊ̯iː	0.375
ˈyː	ˈɔːu̯	0.375
p	ʰp	0.375
ˈæɪ̯	ˈai̯	0.364
ˈeː	ˈɛːa̯	0.333
ˈeː	-	0.333
ŋː	ŋ	0.333
mː	-	0.333
ˈœ	ˈɪ	0.308
ˈœ	ˈøː	0.308
ˈøː	ˈɛːi̯	0.308
ˈøː	ˈøː	0.308
ˈɛ	ˈɛ	0.3
ˈʏ	-	0.286
ɾ_ə	ɹ	0.286
j	-	0.286
ˈæɪ̯	-	0.273
ˈyː	ˈʉːu̯	0.25
ˈuː	ˈɔːu̯	0.25
ɡ	v̥	0.25
ɡ	-	0.25
kː	ʰʧ	0.25
ˈøː	ˈɛːi̯_j	0.231
lː	l_v	0.231
lː	l_d̥	0.231
ˈɑ	ˈɔ	0.217
ˈɪ	ˈɛ	0.214
ˈɛ	ˈa	0.2
ˈuː	ˈɔːu̯_w	0.2
ˈoː	-	0.188
ˈɔ	ˈʊ	0.182
ˈɔ	ˈœ	0.182
ˈɔ	-	0.182
ˈæɪ̯	ˈeː	0.182
ˈæɪ̯	ˈaːi̯	0.182
ˈiː	ˈiː	0.176
k	ʧ	0.176
ə	ɪ	0.169
ˈɑː	ˈa	0.167
ˈeː	ˈiː	0.167
ˈeː	ˈeː	0.167
tː	t	0.167
t	ʰt	0.16
ˈøː	ˈɔːi̯	0.154
lː	l	0.154
ˈuː	ˈoː	0.15
tʰ	tʰ_ˈʊ	0.15
ˈʉː	ˈuː	0.143
ˈʉː	-	0.143
ˈʉ	ˈʏ	0.133
ˈɑ	ˈœ	0.13
ˈiː	ˈʊ_ʤ̊ː	0.118
ŋː	ɲ	0.111
d	tʰ	0.105
d	-	0.105
#>	a_#>	0.105
ˈɛ	ˈɛːa̯	0.1
ˈɛ	ˈɔ	0.1
ˈɛ	ˈœ	0.1
ˈɛ	ˈai̯	0.1
ˈɛ	-	0.1
ˈuː	ˈɛ_ɡ̊	0.1
ˈuː	ˈɔ	0.1
ˈuː	ˈœ	0.1
ˈuː	-	0.1
s	ʃ	0.098
ˈʉː	ˈɪ_ɡ̊	0.095
ˈʉː	ɡ̊	0.095
nː	n	0.091
n	n̥	0.091
l	l̥	0.086
ə	ʊ	0.078
ʋ	kʰ_v	0.067
ʋ	-	0.067
l	t͡l̥	0.057
ɾ	ɪ_ɹ	0.056
ə	-	0.052
