Franco-Provençal	Portuguese	probability
i	ɐ	1.0
u	-	1.0
ɔ	-	1.0
ɛ	ɨ	1.0
ɲ	ɲ	1.0
ˈaː	ˈa	1.0
ˈɔ	ˈo	1.0
k	k	0.901
l	-	0.171
t	k	0.071
v	β	0.271
w	ˈu	0.071
ð	ʁ	0.061
ʃ	k	0.791
ˈa	ˈa	0.261
ˈa	ˈɐ	0.411
ˈĩ	ˈĩ	0.711
ˈo	ˈɔ_ʃ	0.171
ˈø	-	0.101
ˈø	ˈɔ	0.171
ˈø	ˈo	0.521
ˈɛ	ˈɛ	0.431
ˈɛː	ˈa	0.151
l	w	0.052
l	l	0.512
o	ɨ	0.12
w	w	0.072
ˈe	u	0.182
ˈɛ	-	0.12
ˈɛ̃	ˈẽ_t	0.362
j	j	0.083
m	m	0.933
o	ɐ	0.23
w	ˈo_ɣ	0.13
ð	ʒ	0.33
ˈe	j	0.103
ˈoː	ˈo	0.243
ˈɑː	ˈa	0.703
ˈɔ̃	ˈɐ̃_w̃	0.203
e	i_ʃ	0.644
o	u	0.494
ð	-	0.164
ə	ɐ	0.724
ɡ	ɡ	0.874
ˈe	ˈi	0.204
ˈe	ˈa	0.24
ˈɔ̃	ˈũ	0.314
b	v	0.205
j	-	0.415
n	-	0.285
w	-	0.175
w	ˈo	0.35
z	-	0.095
z	z	0.905
ð	ɾ	0.445
ʃ	s	0.05
ʎ	-	0.055
ˈi	ˈi_ɾ	0.075
ˈoː	ˈu	0.065
ˈoː	u	0.305
ˈu	ˈo	0.455
ˈɑ̃	ˈɐ̃_t	0.115
ˈɔ̃	ˈo	0.095
ˈɛ	ˈɐ_j	0.205
ˈɛ	ˈe	0.245
ˈɛː	ˈɐ_j	0.065
ˈɛː	-	0.085
e	-	0.356
n	ɲ	0.206
s	ʃ	0.066
t	t	0.806
v	v	0.686
w	ˈɔ	0.096
w	ˈu_ɲ	0.106
ɡ	ɣ	0.126
ʁ	-	0.076
ʎ	ʎ_u	0.556
ˈe	ˈɛ	0.166
ˈu	ˈu	0.396
ˈɛː	ˈi	0.16
ˈɛː	ˈe	0.506
ˈɛ̃	ˈɐ̃	0.256
b	b	0.637
f	f	0.967
l	l_u	0.137
m	n	0.067
p	p	0.927
s	s	0.877
ʁ	ʁ	0.117
ˈi	ˈe	0.417
ˈi	ˈi	0.467
ˈø	u	0.207
ˈɑː	ˈa_ɫ	0.297
ˈɑ̃	ˈɐ̃_w̃	0.347
ˈɛ̃	u	0.337
b	-	0.158
d	ð	0.168
l	ɫ	0.078
t	s	0.08
ʃ	ʃ	0.158
ˈa	ˈa_ɾ	0.328
ˈu	ˈɔ	0.148
ˈɑ̃	ˈɐ̃	0.538
a	-	0.099
a	ɐ	0.869
d	d	0.79
j	ˈɐ_j	0.459
k	ʃ	0.099
n	n	0.509
o	ɐ̃	0.119
ə	j	0.089
ə	ɨ	0.169
ʁ	ɾ	0.689
ʎ	ʎ	0.389
ˈĩ	ˈi_ɲ	0.289
ˈo	ˈo	0.829
ˈoː	ˈɔ	0.339
ˈɔ̃	ˈõ	0.389
