Hessian	East Frisian Low Saxon	probability
ˈɛ̃ː	ˈɒː	1.0
ˈɛː	-	1.0
ˈɛ_d̥	ˈeːe̯	1.0
ˈɑ̃i̯	ˈiː_n	1.0
ˈæː	-	1.0
ˈõː	ˈøː_n	1.0
ˈoĩ̯	ˈeː_ɡ	1.0
ˈĩː	ˈœy̯_n	1.0
ˈẽː	ˈøːø̯_n	1.0
ˈe	-	1.0
ˈãː	ˈæɪ̯_n	1.0
ʣ̥	t	1.0
ʃ_d̥	s_t	1.0
ɡ̊_ə	k_n	1.0
ɡ̊	ɡ	1.0
ɛː	ɑɪ̯	1.0
ə	n	1.0
ɑ	-	1.0
ɐ_ʦ	ˈyːʏ̯	1.0
ɐ_n	ɐ_n	1.0
ŋ	ŋ	1.0
æ̆	ɐ	1.0
z̥	t	1.0
v̥	p	1.0
s_t	s_t	1.0
pʰ	p	1.0
oː	ˈoː	1.0
n_ə	n_n	1.0
n_i	ɡ̊	1.0
k_s	s	1.0
i	ɐ	1.0
h	h	1.0
b̥	b	1.0
l	l	0.96
f	f	0.958
m	m	0.956
ʀ	r	0.941
n	n	0.915
v	v	0.898
ɐ	ɐ	0.866
p	b	0.811
ˈuː	ˈɑʊ̯	0.8
ɣ̊	ɡ	0.773
ˈɑ	ˈɑ	0.766
ˈi	ˈɪ	0.667
j	ɡ	0.635
ʒ̊	ɡ	0.634
ˈau̯	ˈuː	0.633
ˈu	ˈʊ	0.626
d̥	d	0.607
ˈoi̯	-	0.591
ˈɛ	ˈɛ	0.571
ʦ	t	0.533
ˈeː	ˈæːɪ̯	0.529
k	k	0.518
ˈɔ	ˈoː	0.5
ˈɔ	-	0.5
ˈæ	ˈɑː	0.5
ˈæ	-	0.5
k	ɡ	0.482
s	z	0.475
ˈeː	ˈɛːɪ̯	0.471
ʦ	ɐ_t	0.467
t	t	0.465
ˈiː	ˈæɪ̯	0.461
t	d	0.454
ˈoː	ˈoː	0.439
ˈɛ	ˈeː	0.429
x	k	0.416
ˈoi̯	ˈyː	0.409
ˈai̯	ˈiː	0.404
ˈoː	ˈɒː	0.384
ʃ	s_k	0.373
ʒ̊	s	0.366
j	j	0.365
ˈa	ˈɑ	0.336
x	ɣ̊	0.331
ˈa	-	0.329
ˈo	ˈœ	0.324
d̥	d̥	0.316
ˈaː	ˈoː	0.301
ˈaː	ˈæɪ̯	0.299
ˈo	ˈɔ	0.257
ˈɑː	ˈɒː	0.256
ˈiː	-	0.253
x	χ	0.253
ˈo	-	0.248
s	t	0.243
ɣ̊	-	0.227
ˈaː	ˈøː	0.226
ʃ	ɣ̊	0.213
ˈai̯	ˈɛːɪ̯	0.212
s	z̥	0.21
ˈa	ˈɒː	0.203
ˈuː	-	0.2
ˈɑː	ˈɑː	0.195
ˈai̯	ˈɪ	0.192
ˈai̯	-	0.192
p	p	0.189
ˈau̯	ˈɑːʊ̯	0.183
ˈau̯	ˈuːu̯	0.183
ʃ	χ	0.183
ˈoː	-	0.177
ˈo	ˈʊ	0.172
ˈiː	ˈæː	0.157
ˈɑː	ˈɑ	0.154
ˈɑː	ˈɔː_ɐ	0.148
ˈɑ	-	0.136
ɐ	-	0.134
ˈa	ˈɑːɑ̯	0.133
ˈu	-	0.13
ˈiː	ˈœy̯	0.13
ˈi	ˈʏ	0.125
ˈaː	-	0.121
ʃ	k	0.118
ʃ	s	0.114
ˈɑː	ˈɒːɒ̯	0.101
ˈɑː	-	0.101
ˈɑ	ˈɑː	0.098
ˈu	ˈɔ	0.093
ˈi	-	0.085
n	ˈɪ_n	0.085
t	d̥	0.081
ˈu	ˈœːy̯	0.08
d̥	t	0.077
s	s	0.071
ˈi	ˈɛ	0.062
ˈi	ˈʏə̯	0.061
ʀ	-	0.059
ˈaː	o	0.054
v	-	0.053
