Ladin	Bellunese	probability
b	b	1.0
i	i	1.0
o	o	1.0
p	p	1.0
s	s	1.0
u	o	1.0
v	v	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʦ	θ	1.0
ʧ	θ	1.0
ˈo	ˈo	1.0
ˈu	ˈu	1.0
n	ŋ	0.411
ˈe	ˈa	0.061
ˈe	ˈa_r	0.251
ˈɔ	ˈo	0.41
a	-	0.062
k	k	0.832
l	l	0.812
ʃ	s	0.962
ʒ	ð	0.802
ˈɛ	ˈe	0.352
a	a	0.913
d	t	0.083
m	ŋ	0.053
j	ˈi	0.054
r	r_o	0.134
t	t	0.94
w	ˈo	0.074
ˈi	ˈi	0.974
ˈɛ	ˈɛ	0.374
d	-	0.15
d	d	0.735
l	j	0.085
ʨ	θ	0.275
ʨ	k	0.725
ˈa	ˈa	0.965
e	-	0.106
l	-	0.066
r	r	0.866
t	t_o	0.06
ʒ	z	0.166
j	ˈɛ_j	0.067
j	-	0.077
j	j	0.757
m	m	0.947
e	e_r	0.248
e	e	0.578
f	f	0.958
w	ˈɔ	0.368
w	-	0.558
ˈe	ˈe	0.688
e	o	0.069
k	ɡ_o	0.079
k	k_w	0.089
n	n	0.589
ˈɔ	ˈɔ	0.59
ˈɛ	ˈa	0.209
