Faroese	Middle High German	probability
ˈʏ	-	1.0
ˈʊ_ʤ̊ː	ˈɛ_h	1.0
ˈɛ_ʰt	ɛ	1.0
ˈɔːu̯_w	ˈuə̯_t	1.0
ˈuː	-	1.0
ˈiː_j	tː	1.0
ˈeː	ˈɛ	1.0
ˈaːi̯	ˈei̯	1.0
ˈai̯	ˈei̯	1.0
ˈa	ˈɑ	1.0
ʰʧ	kː	1.0
ʰt͡n̥	s̻ː	1.0
ʰk	-	1.0
ʧ	xː	1.0
ʈ	ʦ	1.0
ɹ_ʊ	rː	1.0
ɹ_m	r_m	1.0
ɲ	ŋ	1.0
ɪ_ɹ	ə_r	1.0
ɡ̊ː	-	1.0
ɡ̊_ʊ	ɡ̊	1.0
ɡ̊_ɹ	ɡ_r	1.0
ɡ̊	ɡ	1.0
w	-	1.0
v̥	-	1.0
v_ʊ	b̥	1.0
t͡n̥	r_n	1.0
t_ʊ	s̻	1.0
sː	s	1.0
s_k	ʃː	1.0
r	r	1.0
pʰ	p͡f	1.0
p	f	1.0
n̥	-	1.0
mː	m	1.0
m_j	mː	1.0
m	m	1.0
l̥	l	1.0
kʰ_v	w	1.0
kʰ	kʰ	1.0
j_ˈœ	ˈɛ	1.0
j_ʊ	t	1.0
h	h	1.0
f	v	1.0
d̥_ʊ	d̥	1.0
b̥_ɹ	b_r	1.0
b̥	b	1.0
l	l	0.961
n	n	0.946
ɹ	r	0.926
ʊ_ɹ	ə	0.846
ˈœ	-	0.835
ʃ	ʃ	0.813
ˈɛːa̯	ˈɑ	0.786
ŋ	ŋ	0.768
t͡l̥	l	0.747
s	s	0.724
ˈɔːi̯	-	0.719
ʤ̊	ɡ	0.717
ˈʉːu̯	ˈuː	0.694
ʊ	ə	0.694
ˈɪ	ˈi	0.666
k	x	0.663
d̥	d̥	0.634
ʤ̊ː	-	0.633
ˈʊ̯iː	ˈiː	0.632
ˈɔːu̯	ˈiə̯	0.586
ˈɔ̯aː	ˈɑː	0.581
v	w	0.579
tʰ	d	0.579
ɪ	-	0.566
ʰp	fː	0.562
ʧʰ	kʰ	0.56
ˈɛːi̯	ˈoː	0.541
a	ə_n	0.517
j	-	0.516
ˈoː	-	0.508
a_v	oː	0.5
a_v	i	0.5
ˈoː	ˈo	0.492
ˈʊ	ˈu	0.484
ˈiː	-	0.444
ʧʰ	-	0.44
ʰp	f	0.438
ɪ	ə	0.434
t	t	0.428
tʰ	ʦ	0.421
ˈɔːu̯	ˈuə̯	0.414
ʰt	x_t	0.402
nː	nː	0.395
ˈɔ	ˈɑ	0.391
ˈøː	ˈyə̯	0.39
ˈɛːi̯	ˈou̯	0.377
ʤ̊ː	w_ə	0.367
d̥	t	0.366
a	ə	0.366
t	s̻	0.365
ˈøː	d_ə	0.34
k	xː	0.337
nː	n_d	0.335
ˈɔ	ˈu	0.325
ˈʉːu̯	ˈiə̯	0.306
ʊ	ɡ̊	0.306
ˈɛ	ˈɑ	0.292
ˈiː	ˈi	0.291
ʤ̊	-	0.283
ˈɔːi̯	ˈøː	0.281
s	ʃ	0.276
nː	n	0.27
ˈøː	-	0.269
ˈiː	ˈy	0.265
ʰt	s̻	0.261
t͡l̥	lː	0.253
ˈɛ	ˈe	0.237
ŋ	-	0.232
v	b	0.231
ʰt	s̻ː	0.23
ˈɪ	ˈy	0.227
j	t_ə	0.217
ˈɛːa̯	ˈi	0.214
ˈʊ̯iː	ˈyː	0.207
t	s̻ː	0.207
ˈɛ	-	0.2
ʃ	s	0.187
ˈʊ	ˈy	0.184
ˈɔ	ˈo	0.171
ˈɔ̯aː	-	0.169
ˈœ	ˈo	0.165
ˈɛ	ˈei̯	0.163
ˈʊ̯iː	ˈiə̯	0.161
j	ˈɛ	0.158
ʊ_ɹ	d̥	0.154
ˈʊ	ˈo	0.137
ˈɔ̯aː	ˈeː	0.128
ˈɔ̯aː	ɑː	0.123
ˈɔ	-	0.114
j	h_ˈɛ	0.109
ˈɪ	-	0.107
ˈɛ	ˈɛ	0.107
ʰt	t	0.107
ˈʊ	ˈyː	0.102
v	f	0.1
ˈʊ	ˈuː	0.093
v	-	0.09
ˈɛːi̯	ou̯	0.082
a	n	0.078
ɹ	ə	0.074
n	-	0.054
