Proto-Germanic	North Frisian	probability
a	-	0.12
b	b	0.955
b	-	0.049
d	d	0.782
d	nʲ	0.14
d	-	0.059
d	t	0.035
e	ə	0.494
i	-	0.854
i	ə	0.113
i	i	0.042
iː	-	0.608
iː	i	0.17
j	ə	0.486
j	-	0.365
j	ˈyː	0.053
j	w	0.053
j	j	0.045
jː	ˈɔi̯	1.0
k	k	0.856
k	-	0.056
k	h	0.049
k	ʃ	0.048
k_i	ʃ	1.0
k_ɑ	ʃ	1.0
kː	k	0.12
l	l	0.724
l	lʲ	0.127
l	l_ə	0.071
l	j	0.048
l	-	0.036
l_d	lʲ	1.0
l_u	l	1.0
l_ɑ	l	0.778
l_ɑ	lʲ	0.167
lː	l	1.0
m	m	0.913
m	-	0.074
m_i	m	1.0
m_ɑ	m	1.0
mː	m	0.494
n	n	0.503
n	-	0.466
n	ŋ	0.031
n_d	n	1.0
n_i	n	1.0
n_s	n	0.326
n_s	s	0.326
n_ɑ	n	0.626
n_ɑ	nʲ	0.186
n_ɑ	j	0.186
n_ɑ̃	n	0.761
n_ɑ̃	nʲ	0.23
nː	n	1.0
p	p	0.631
p	v	0.203
p	b	0.132
p_ɑ	p	1.0
p_ɑ̃	p	0.494
pː	d	0.494
r	r	0.969
r	-	0.034
s	s	0.724
s	-	0.2
s	z	0.057
s_k	ʃ	1.0
s_ɑ̃	s	0.66
s_ɑ̃	t	0.161
sː	s	0.494
t	t	0.78
t	d	0.085
t	tʲ	0.08
t	z	0.045
t_ɑ	t	0.657
t_ɑ	tʲ	0.338
t_ɑ̃	t	1.0
u	-	0.738
u	ə	0.169
u	j	0.083
w	v	0.703
w	-	0.16
w	l	0.05
w	ˈuː	0.048
w	w	0.039
w_ˈu	ˈʊ	1.0
w_ˈɑi̯	ˈɔu̯	0.494
wː	ˈøː	0.494
x	h	0.583
x	x	0.172
x	-	0.169
x	k	0.063
x_l	l	1.0
xʷ	v	0.605
xʷ	f	0.381
z	-	1.0
ð	d	0.506
ð	-	0.354
ð	dʲ	0.086
ð_i	d	1.0
ð_ɑ	dʲ	1.0
ð_ɑ̃	d	0.731
ð_ɑ̃	dʲ	0.128
ð_ɑ̃	t	0.09
ŋ	ŋ	1.0
ɑ	-	0.918
ɑ	ə	0.056
ɑ_l	l	0.494
ɑ_n	ə	1.0
ɑ_ɣ	i	1.0
ɑi̯	ˈʊ	0.244
ɑː	ə	0.494
ɑ̃	-	0.962
ɑ̃	ŋ	0.038
ɔː	-	0.757
ɔː	ə	0.225
ɔːu̯	-	0.244
ɔːː	ə	0.646
ɔːː	-	0.169
ɔːː	r	0.086
ɔːː	w	0.084
ɔ̃ː	-	0.914
ɔ̃ː	j	0.074
ɛː	ə	1.0
ɡ	-	1.0
ɡʷ	-	0.494
ɣ	ɡ	0.408
ɣ	-	0.337
ɣ	j	0.083
ɣ	d	0.063
ɣ	x	0.055
ɣ_i	j	0.784
ɣ_i	i	0.126
ɣ_ɑ	ə	0.361
ɣ_ɑ	j	0.361
ɣ_ɑ	i	0.205
ɸ	f	0.85
ɸ	v	0.063
ɸ	-	0.047
ɸ	p	0.041
ˈe	ˈɔː	0.142
ˈe	ˈeː	0.124
ˈe	ˈɛi̯	0.097
ˈe	ˈʊ	0.097
ˈe	j_ˈa	0.084
ˈe_xʷ	ˈiː	1.0
ˈeu̯	ˈiː	0.744
ˈeu̯	-	0.12
ˈeu̯	ˈɒ	0.097
ˈeu̯_ɣ	ˈiː	0.244
ˈeː	ˈeː	0.494
ˈi	ˈi	0.306
ˈi	ˈa	0.138
ˈi	ˈiː	0.127
ˈi	ˈai̯	0.094
ˈi	ˈʊ	0.082
ˈiu̯	ˈai̯	0.262
ˈiu̯	ˈøː	0.21
ˈiu̯	ˈʏ	0.157
ˈiː	ˈi	0.633
ˈiː	ˈiː	0.179
ˈiː	ˈyː	0.103
ˈiː	ˈeː	0.077
ˈĩː	ˈa	0.494
ˈu	ˈɔ	0.178
ˈu	ˈʊ	0.177
ˈu	ˈɔː	0.112
ˈu	ˈœ	0.107
ˈu	-	0.077
ˈu_n	ˈyː	0.494
ˈu_β	ˈɔu̯	1.0
ˈuː	ˈyː	0.784
ˈuː	ˈøː	0.107
ˈuː	ˈuː	0.107
ˈɑ	ˈɒː	0.207
ˈɑ	ˈɒ	0.13
ˈɑ	ˈeː	0.114
ˈɑ	ˈɔː	0.098
ˈɑ	ˈuː	0.092
ˈɑ_n	ˈœ	0.42
ˈɑ_n	ˈɔu̯	0.157
ˈɑi̯	ˈiː	0.497
ˈɑi̯	ˈɒ	0.109
ˈɑi̯	ˈyː	0.077
ˈɑi̯	ˈɒː	0.077
ˈɑi̯	ˈi	0.072
ˈɑi̯_w	ˈiː	1.0
ˈɑu̯	ˈuː	0.449
ˈɑu̯	ˈiː	0.236
ˈɑu̯	ˈyː	0.194
ˈɑu̯	ˈøː	0.07
ˈɑu̯	ˈɔː	0.047
ˈɔ	ˈɛi̯	0.494
ˈɔː	ˈœ	0.584
ˈɔː	ˈɛ	0.184
ˈɔː	ˈɔu̯	0.14
ˈɔː	ˈɛi̯	0.072
ˈɛː	ˈɛi̯	0.329
ˈɛː	ˈɔu̯	0.16
ˈɛː	ˈɛː	0.117
ˈɛː	ˈeː	0.113
ˈɛː	ˈɒː	0.105
β	v	0.875
β	-	0.093
β_ɑ	v	0.5
β_ɑ	f	0.5
β_ɑ̃	f	1.0
θ	d	0.336
θ	t	0.287
θ	-	0.182
θ	tʲ	0.073
θ	s	0.064
