Spanish	Spanish	probability
θ_#>	ʃ_#>	1.0
β_ɾ	w_r	1.0
ˈo_t	ˈu	1.0
ˈi_ʝ	ˈɛː	1.0
ˈe_β	f	1.0
ˈe_s	s	1.0
ˈe_n	n	1.0
ˈe_#>	ˈeː_#>	1.0
ʧ	ʨ	1.0
ʝ_a	l_ə	1.0
ɾ_a	r_ə	1.0
ɣ_o	w	1.0
ɡ	ɡ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
u	i	1.0
t_o	ʨ	1.0
t_e_#>	t_#>	1.0
s_#>	s_#>	1.0
r	r	1.0
p_o_#>	p_#>	1.0
p	p	1.0
o_#>	#>	1.0
n_#>	n_#>	1.0
m	m	1.0
j_#>	#>	1.0
i	-	1.0
f	f	1.0
e_s	ʃ	1.0
e_#>	#>	1.0
d_o	t	1.0
d	d	1.0
b_ɾ_e_#>	#>	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#	1.0
<#_ˈe	<#_ˈe	1.0
<#_x	<#_ʥ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_f	1.0
a	ə	0.939
n	n	0.865
t	t	0.85
ɾ	r	0.831
l	l	0.76
x	ʎ	0.75
s	s	0.727
ˈe_ɾ	ə_r	0.667
j_ˈe	ˈɛ	0.667
β	v	0.647
ð	d	0.611
ɟ͡ʝ	p_l	0.6
k	ʨ	0.6
ˈi	ˈiː	0.577
<#_a	<#	0.571
ɣ	-	0.556
b	v	0.533
ʝ	l	0.5
ʝ	-	0.5
ɲ	ɲ	0.5
ɲ	n	0.5
w_ˈe	ˈɔː	0.5
w_ˈe	ˈu	0.5
w	ˈɔ	0.471
ˈo	ˈu	0.457
e	ə	0.444
θ	ʃ	0.429
<#_a	<#_ə	0.429
ˈa	ˈa	0.407
ɟ͡ʝ	k_l	0.4
k	k	0.4
ð	t	0.389
o	u	0.389
o	-	0.389
b	b	0.367
j	-	0.357
ˈa	ˈaː	0.356
ˈe_ɾ	r	0.333
j_ˈe	ˈiə̯	0.333
e	-	0.333
ˈi	ˈi	0.308
ˈu	ˈu	0.286
ˈu	ˈiː	0.286
ˈu	ˈi	0.286
s	-	0.273
ˈe	ˈa_j	0.25
x	-	0.25
w	-	0.235
ˈo	ˈuː	0.229
ɣ	ɡ	0.222
ɣ	j	0.222
o	o	0.222
θ	s	0.214
θ	-	0.214
j	ˈiː	0.214
ˈe	ˈɛ	0.182
w	j	0.176
ˈo	ˈa_w	0.171
l	-	0.16
ˈe	ˈe	0.159
t	-	0.15
θ	ʧ	0.143
ˈu	-	0.143
j	ˈɛː	0.143
j	ˈɛ	0.143
j	ˈa	0.143
ˈa	ˈɔ	0.136
n	w_n	0.135
β	f	0.118
β	b	0.118
β	-	0.118
w	ˈuː	0.118
ˈi	-	0.115
ˈe	ˈeː	0.114
ˈe	-	0.114
e	ˈa	0.111
e	e	0.111
b	-	0.1
ˈo	-	0.086
l	ʎ	0.08
ɾ	ə_r	0.07
ɾ	-	0.07
ˈe	ˈa	0.068
ˈe	j	0.068
ˈo	ˈo	0.057
ˈa	ˈa_w	0.051
ˈa	-	0.051
