Franco-Provençal	Lombard	probability
a	a	0.921
b	b	0.869
b	l_b	0.131
d	d	0.907
d	ʦ	0.093
e	a	0.459
e	ˈˈi	0.216
e	e	0.183
e	i	0.142
eː	e	1.0
f	f	1.0
i	a	0.441
i	-	0.214
i	ĩ	0.177
i	ˈa	0.129
ĩ	ã	0.5
ĩ	ĩ	0.5
j	-	0.307
j	j	0.236
j	ˈa	0.229
j	ˈe	0.15
k	k	0.902
k	-	0.067
l	l	0.837
l	j	0.13
m	m	0.932
m	n	0.068
n	n	0.891
n	-	0.092
o	ĩ	0.222
o	e	0.157
o	o	0.157
o	-	0.147
o	ɛ	0.139
o	u	0.117
o	a	0.061
p	p	0.959
s	s	0.551
s	ʧ	0.249
s	ʤ	0.068
s	ʦ	0.059
t	t	0.72
t	s_t	0.202
u	ˈy	0.459
u	y	0.378
u	u	0.164
v	ʋ	0.815
v	-	0.064
w	ˈu	0.403
w	ˈø	0.261
w	-	0.204
w	ˈy	0.077
w	w	0.054
y	y	1.0
z	z	0.762
z	ʃ	0.193
ð	r	0.517
ð	ʤ	0.225
ð	d	0.15
ɔ	u	0.736
ɔ	ˈyː	0.159
ɔ	a	0.104
ɔ̃	-	0.5
ɔ̃	ũ	0.5
ə	a	0.591
ə	e	0.278
ə	i	0.076
ɛ	i	0.604
ɛ	-	0.299
ɛ	j	0.097
ɛ̃	ã	1.0
ɡ	ɡ	0.941
ɲ	ɲ	0.818
ɲ	n	0.182
ʁ	r	0.922
ʁ	-	0.076
ʃ	k	0.663
ʃ	s	0.327
ʎ	ʧ	0.508
ʎ	-	0.212
ʎ	ʤ	0.155
ʎ	j	0.125
ʒ	ʤ	0.617
ʒ	b	0.336
ʦ	ʦ	1.0
ˈa	ˈa	0.778
ˈa	ˈaː	0.074
ˈa	ˈo	0.058
ˈe	-	0.408
ˈe	ˈi	0.286
ˈe	ˈiː	0.159
ˈe	ˈy	0.101
ˈeː	ˈɛ	0.317
ˈeː	ˈe	0.25
ˈeː	ʋ	0.142
ˈeː	-	0.111
ˈeː	ˈaː	0.084
ˈi	ˈi	0.501
ˈi	ˈe	0.298
ˈi	ˈɛ	0.147
ˈĩ	ˈãː	0.355
ˈĩ	ˈĩː	0.334
ˈĩ	ɲ	0.201
ˈĩ	ã	0.11
ˈo	ˈy	0.315
ˈo	ˈu	0.16
ˈo	u	0.122
ˈo	ˈuː	0.084
ˈo	-	0.081
ˈo	ˈø	0.081
ˈo	ˈøː	0.079
ˈo	ˈɔ	0.079
ˈoː	ˈɔ	0.631
ˈoː	ˈu	0.114
ˈoː	ˈøː	0.089
ˈoː	ˈaː	0.065
ˈoː	ˈyː	0.052
ˈu	ˈɔ	0.373
ˈu	ˈyː	0.237
ˈu	ˈy	0.152
ˈu	ˈø	0.125
ˈu	ˈu	0.113
ˈy	ˈu	1.0
ˈø	ˈu	0.32
ˈø	ˈe	0.234
ˈø	ˈɔ	0.225
ˈø	ˈyː	0.134
ˈø	-	0.072
ˈɑ̃	ˈãː	0.728
ˈɑ̃	n	0.198
ˈɑ̃	ˈa	0.073
ˈɔ	ˈa	0.544
ˈɔ	ˈɔ	0.15
ˈɔ	ˈe	0.122
ˈɔ	ˈyː	0.07
ˈɔ	ˈaː	0.061
ˈɔ̃	ˈũː	0.803
ˈɔ̃	ˈỹː	0.133
ˈɔ̃	ˈo	0.065
ˈɛ	-	0.298
ˈɛ	ˈɛ	0.295
ˈɛ	ˈa	0.153
ˈɛ	ˈe	0.082
ˈɛ	ˈi	0.062
ˈɛː	e	1.0
ˈɛ̃	ˈẽː	0.283
ˈɛ̃	ˈãː	0.178
ˈɛ̃	ˈɛ̃ː	0.14
ˈɛ̃	ˈeː	0.121
ˈɛ̃	ˈũː	0.121
ˈɛ̃	ɲ	0.08
ˈɛ̃	ˈĩː	0.077
