Old Prussian	Old Prussian	probability
ŋ	-	1.0
z	z	1.0
w	e	1.0
v_i	ʋ	1.0
v	ʋ	1.0
uː	iː	1.0
u_s	r	1.0
s_i	́_s	1.0
s_#>	#>	1.0
r_i	́_r	1.0
oːu̯	iː	1.0
o_n	i	1.0
n_s	́	1.0
n_a	n	1.0
n_#>	#>	1.0
l_i	w	1.0
k_t	ʧ	1.0
k	k	1.0
j	-	1.0
iː	eː	1.0
eːi̯	-	1.0
eː	l_j	1.0
e_m	̀_m	1.0
b	b	1.0
aːu̯	u	1.0
aː	-	1.0
au̯	uː	1.0
a_s	j	1.0
<#_s	<#_s	1.0
r	r	0.818
d	d	0.778
m	m	0.75
i	-	0.722
t	t	0.692
#>	a_#>	0.667
l	l	0.625
n	-	0.615
u	-	0.6
p	p	0.571
o	-	0.571
e	-	0.526
a	-	0.444
p	-	0.429
o	a	0.429
s	s	0.385
n	n	0.385
l	w	0.375
ɡ	ʒ	0.333
ɡ	ɡ̊	0.333
ɡ	-	0.333
a	oː_́	0.333
#>	z̥_#>	0.333
s	x	0.308
s	-	0.308
m	-	0.25
d	́_d̥	0.222
e	eː	0.211
u	x	0.2
u	uː	0.2
r	ə	0.182
i	ə	0.167
e	a	0.158
t	́_t	0.154
t	t_i	0.154
i	ɔː_́	0.111
a	ɔː_̀	0.111
a	ɔ	0.111
e	ɛ	0.105
