Emilian	Western Lombard	probability
b	b	1.0
f	f	1.0
m	m	1.0
p	p	1.0
r	r	1.0
s	s	1.0
w	w	1.0
ŋ	-	1.0
ɲ	ɲ	1.0
ʤ	ʤ	1.0
ˈaː	ˈa	1.0
ˈe	ˈi	1.0
ˈi	ˈi	1.0
ˈʌ	ˈu	1.0
j	-	0.161
v	f	0.161
z	s	0.941
ˈuː	ˈyː	0.471
ˈæ	ˈɛ̃ː	0.21
ˈɔ	ˈu	0.291
θ	ʃ	0.131
ð	ʦ	0.152
ɡ	k	0.342
ʧ	ʧ	0.682
ˈɔː	ˈɔ	0.902
ˈɛ	ˈɛ	0.462
θ	ʧ	0.582
t	t	0.853
u	u	0.943
ˈuː	ˈø	0.343
ˈʌu̯	ˈyː	0.093
a	a	0.94
e	e	0.74
i	ĩ	0.424
n	-	0.14
ˈiː	ˈe_j	0.744
ˈɔ	ˈɔ	0.494
d	d	0.855
ˈa	ˈeː	0.065
ˈɔː	ˈøː	0.075
d	-	0.086
e	-	0.26
i	e	0.576
n	n	0.86
ˈa	ˈe	0.696
ˈiː	ˈe	0.256
ˈuː	ˈy	0.186
ˈɔ	ˈø	0.216
θ	ʦ	0.286
t	ʧ	0.147
u	y	0.057
v	ʋ	0.817
ˈa	ˈɛ	0.187
ˈʌu̯	ˈu	0.907
l	l	0.98
ð	ʤ	0.848
ɡ	ɡ	0.658
ʧ	ʤ	0.318
ˈo	ˈy	0.958
ˈɛ	ˈaː	0.18
d	t	0.059
j	j	0.839
k	k	0.959
z	z	0.059
ˈæ	ˈe	0.79
ˈɛ	ˈa	0.359
