East Low German	Wymysorys	probability
ˈʏ	ˈɘ̟	1.0
ˈʊ	ˈu	1.0
ˈœː	ˈei̯	1.0
ˈyː	ˈɑi̯_ɛ	1.0
ˈuː	ˈɑi̯	1.0
ˈaː	ˈi̯ø	1.0
ˈaɪ̯	ˈi	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɡ	ɡ	1.0
ç_#>	k_#>	1.0
z	z	1.0
w	v	1.0
v	v	1.0
tʰ	ʦ	1.0
t_n	s_a	1.0
t_#>	ʦ_#>	1.0
r	r	1.0
p_#>	f_#>	1.0
p	f	1.0
n_ɪ	ŋ	1.0
n_#>	#>	1.0
kʰ	k	1.0
h	h	1.0
f_#>	b̥_#>	1.0
f	f	1.0
b_m	n	1.0
b	b	1.0
#>	ə_#>	1.0
l	w	0.865
s	s	0.857
m	m	0.826
ˈiː	ˈai̯	0.818
ˈɪ	ˈɘ̟	0.778
ç	ɡ̊	0.778
x	x	0.75
n	n	0.717
ˈɔ	ˈu	0.714
t	t	0.706
ˈɔʏ̯	ˈi	0.667
ˈa	ˈɑ	0.65
ŋ	ŋ	0.636
k	x	0.615
ˈɛː	ˈɔ	0.6
ˈɒː	ˈø	0.5
ɾ	t_ɛ	0.5
ɾ	d	0.5
j	ɡ	0.5
j	j	0.5
ˈaʊ̯	ˈʏ	0.476
ˈɛ	ˈa	0.444
ˈae̯	ˈa	0.444
d	t	0.438
æ	ɛ_r	0.419
ˈɛː	ˈɑ	0.4
æ	r	0.355
ˈa	ˈɔ	0.35
ˈɛ	ˈɘ̟	0.333
ˈɔʏ̯	ˈɑi̯	0.333
ˈae̯	ˈi	0.333
d	d̥	0.312
ˈɔ	ˈɑ	0.286
x	ɡ̊	0.25
d	d	0.25
ˈaʊ̯	ˈu	0.238
k	ç	0.231
ˈɛ	ˈɑ	0.222
ç	x_t	0.222
ˈɒː	ˈɔ	0.214
t	s	0.206
n	a	0.183
ˈiː	ˈi	0.182
ŋ	ɟ	0.182
ŋ	n	0.182
æ	ə	0.161
k	ɡ̊	0.154
ˈɒː	ˈu	0.143
ˈɒː	ˈi̯ø	0.143
ˈaʊ̯	ˈɑi̯	0.143
ˈaʊ̯	ˈɑ	0.143
s	k_s	0.143
l	l	0.135
ˈɪ	ˈɛ	0.111
ˈɪ	ˈei̯	0.111
ˈae̯	ˈɑ	0.111
ˈae̯	ˈai̯	0.111
n	n_d	0.1
t	ʦ	0.088
m	v_a	0.087
m	n	0.087
æ	ˈʏ	0.065
