Ligurian	Western Lombard	probability
b	b	1.0
f	f	1.0
l	l	1.0
m	m	1.0
p	p	1.0
ɲ	ɲ	1.0
ʃ	f_j	1.0
ˈa	ˈa	1.0
ˈiː	ˈi	1.0
ˈy	ˈy	1.0
ˈɔ	ˈɔ	1.0
ˈɔː	ˈɔ	1.0
ˈɛ	ˈɛ	1.0
e	e	0.461
j	-	0.221
s	s	0.571
t	t	0.681
v	ʋ	0.951
ʤ	-	0.481
ˈe	ˈe	0.531
ˈeː	ˈe	0.271
ˈuː	ˈu	0.771
ˈɛː	ˈa	0.21
n	n	0.942
ɡ	ɡ	0.632
ʒ	-	0.62
ʧ	p_j	0.332
ˈu	ˈu	0.652
ˈøː	l_#>	0.072
ˈøː	r_#>	0.362
j	e	0.103
t	t_e	0.073
ŋ	n	0.873
ɡ	k	0.313
ʤ	ʤ	0.373
ˈyː	ˈy	0.313
ˈø	ˈø	0.693
ˈøː	ˈø	0.183
ˈɛː	ˈɛ	0.713
r	r	0.924
u	e	0.114
u	u	0.4
ˈi	ˈĩː	0.094
ˈøː	ˈøː	0.384
i	e	0.135
i	-	0.865
t	-	0.165
w	-	0.585
ˈeː	ˈe_l	0.075
ˈeː	ˈɛ	0.565
a	r_a	0.06
e	i	0.16
w	w	0.326
z	ʤ	0.96
ɡ	-	0.056
ʤ	b_j	0.146
ˈi	ˈi	0.906
a	a	0.847
u	-	0.487
ŋ	-	0.127
ˈaː	ˈa	0.87
ˈyː	ˈyː	0.687
ˈø	ˈu	0.307
ˈɛː	ˈaː	0.077
a	-	0.068
d	d	0.978
j	r	0.198
n	-	0.058
s	ʧ	0.168
t	d	0.08
ʒ	z	0.38
ʧ	ʧ	0.668
ˈaː	ˈaː	0.08
ˈu	ˈɔ	0.348
e	a	0.379
j	j	0.479
k	k	0.969
s	ʦ	0.229
w	u	0.089
ˈe	ˈɛ	0.389
ˈeː	r_ˈe	0.089
ˈuː	ˈyː	0.229
