Proto-Germanic	Dutch	probability
b	b	0.934
b	-	0.066
d	d	0.764
d	t	0.236
e	ə	0.946
e	i	0.054
i	ə	0.528
i	-	0.472
iː	ə	0.522
iː	-	0.478
j	-	0.866
j	j	0.062
jː	ˈɛi̯	1.0
k	k	0.723
k	χ	0.183
k	-	0.094
kʷ	k	0.717
kʷ	v	0.283
kː	k	1.0
l	ɫ	0.886
l	-	0.059
lː	ɫ	1.0
m	m	0.889
m	-	0.111
mː	m	1.0
n	n	0.923
n	-	0.061
nː	n	1.0
p	p	1.0
pː	p	1.0
r	ɾ	0.971
s	s	0.517
s	z	0.438
sː	s	1.0
t	t	0.985
tː	t	1.0
u	-	0.761
u	ə	0.208
w	ʋ	0.748
w	-	0.214
wː	ˈɑu̯	0.585
wː	ˈœy̯	0.415
x	ɦ	0.617
x	-	0.188
x	χ	0.185
xʷ	ʋ	0.586
xʷ	-	0.414
z	-	0.995
ð	t	0.578
ð	d	0.317
ð	-	0.058
ŋ	ŋ	0.867
ŋ	ɪ	0.108
ɑ	-	0.731
ɑ	ə	0.269
ɑi̯	ˈɪ	1.0
ɑː	ə	1.0
ɑ̃	-	1.0
ɔː	-	0.644
ɔː	ə	0.356
ɔːu̯	-	1.0
ɔːː	ɾ	1.0
ɔ̃ː	ˈɑu̯	0.561
ɔ̃ː	ə	0.275
ɔ̃ː	-	0.165
ɛː	ə	0.914
ɛː	-	0.086
ɡ	-	0.92
ɡ	ŋ	0.08
ɡʷ	-	1.0
ɣ	χ	0.967
ɸ	v	0.894
ɸ	f	0.072
ˈe	ˈɛ	0.319
ˈe	ˈeː	0.23
ˈe	ˈi	0.085
ˈe	-	0.075
ˈe	ˈaː	0.074
ˈe	ˈɪ	0.073
ˈe	ˈɑ	0.066
ˈeu̯	ˈi	0.821
ˈeu̯	-	0.089
ˈeu̯	ˈɪ	0.089
ˈeː	ˈi	1.0
ˈi	ˈɪ	0.63
ˈi	ˈɛi̯	0.181
ˈi	-	0.093
ˈiu̯	ˈyː	0.452
ˈiu̯	ˈœy̯	0.29
ˈiu̯	ˈi	0.258
ˈiː	ˈɛi̯	0.866
ˈiː	ˈi	0.067
ˈiː	ˈɪ	0.067
ˈĩː	ˈɪ	1.0
ˈu	ˈɔ	0.512
ˈu	ˈoː	0.323
ˈu	ˈʏ	0.099
ˈuː	ˈœy̯	0.69
ˈuː	ˈyː	0.15
ˈuː	ˈɛi̯	0.103
ˈuː	ˈu	0.057
ˈɑ	ˈɑ	0.602
ˈɑ	ˈaː	0.184
ˈɑ	ˈɛ	0.12
ˈɑi̯	ˈeː	0.745
ˈɑi̯	ˈɛi̯	0.097
ˈɑi̯	ˈi	0.05
ˈɑi̯	ˈoː	0.05
ˈɑu̯	ˈoː	0.97
ˈɑː	ˈaː	1.0
ˈɔ	ˈu	1.0
ˈɔː	ˈu	0.863
ˈɔː	ˈɛ	0.094
ˈɛː	ˈaː	1.0
β	v	0.527
β	f	0.387
β	b	0.086
θ	d	0.647
θ	t	0.226
θ	-	0.126
