Proto-Germanic	Limburgish	probability
θ_ɑ	d̥	1.0
ˈɛː	ˈɒː	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈi	1.0
ˈɑ_n	ˈɑː_n	1.0
ˈɑ_l	ˈaː	1.0
ˈu_ɣ	ˈœ_k	1.0
ˈĩː	ˈi	1.0
ˈeː	ˈeː	1.0
ˈeu̯	ˈeː	1.0
ˈe_ð	ˈeː	1.0
ˈe_r	ʀ	1.0
ɸ	v	1.0
ɣ_ɑ	ɣ̊	1.0
ɣ_j	ɡ	1.0
ɡʷ	-	1.0
ɡ_ɑ	k	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɑː	-	1.0
ɑi̯	ˈɪː	1.0
ɑ_n	ə	1.0
ɑ_l	l	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	ʀ	1.0
x_u	i	1.0
x_t	x	1.0
x_l	l	1.0
wː	-	1.0
u_n	ə	1.0
tː	t	1.0
t	t	1.0
s_w	z	1.0
s_t	s	1.0
r_ˈi	ʀ	1.0
r_u	ə_ʀ	1.0
r_i	ʀ	1.0
p	p	1.0
nː	n	1.0
n_ɑ	ə	1.0
n_u	n	1.0
n_i	n	1.0
mː	ˈʏ_m	1.0
m_ɑ	ə_m	1.0
lː	l	1.0
kʷ_ɑ	k	1.0
k_u	k	1.0
k_i	k	1.0
jː	ˈɛːi̯	1.0
iː	-	1.0
i_ɸ	ə_v̥	1.0
e	ə	1.0
d_ɑ	d̥	1.0
d_u	d̥	1.0
b	b	1.0
r	ʀ	0.954
n	n	0.926
l	l	0.923
m	m	0.913
k	k	0.879
j	-	0.873
d	d	0.863
ˈiː	ˈiː	0.826
ˈuː	ˈuː	0.795
w	β	0.779
ɔː	-	0.775
ˈɑi̯	ˈɛː	0.767
u	-	0.732
l_ɑ	l	0.68
i	-	0.651
xʷ	β	0.626
x	ɦ	0.596
θ	d	0.586
β	v	0.55
s_k	ʃ	0.524
ɣ	ɣ	0.51
ˈiu̯	ˈœi̯	0.5
ˈiu̯	-	0.5
ɣ	ɣ̊	0.49
ˈɑu̯	ˈu	0.478
s_k	s	0.476
ˈi	ˈɪː	0.469
β	v̥	0.45
ð	d̥	0.45
ˈu	ˈʊː	0.445
ɑ	ə	0.437
s	z	0.418
ˈe	ˈeː	0.4
xʷ	-	0.374
s	s	0.368
ˈɑ	ˈaː	0.349
ˈɔː	ˈøː	0.343
ˈɑu̯	ˈɔː	0.337
l_ɑ	ə_l	0.32
x	-	0.298
ˈɔː	ˈʊː	0.287
ð	j	0.287
ɑ	ʀ	0.283
ɑ	-	0.28
u	ə	0.268
ð	-	0.264
ˈɑ	ˈɑ	0.255
θ	-	0.234
ˈɔː	-	0.226
ɔː	ə	0.225
w	-	0.221
ˈe	-	0.211
i	ə	0.21
ˈuː	ˈɔu̯	0.205
ˈe	ˈæː	0.197
ˈɑu̯	ˈyː	0.186
ˈu	ˈɔ	0.185
θ	d̥	0.179
s	z̥	0.175
ˈiː	-	0.174
ˈi	ˈɛ	0.149
ˈɔː	ˈoː	0.144
ˈɑi̯	-	0.141
i	ʀ	0.139
d	d̥	0.137
ˈe	ˈi	0.131
j	j	0.127
ˈi	-	0.122
k	ə_k	0.121
x	x	0.107
ˈi	ˈeː	0.096
ˈɑi̯	ˈi	0.093
ˈi	ˈɛː	0.09
ˈɑ	ˈɪ	0.089
ˈu	ˈoː	0.089
m	-	0.087
ˈu	-	0.081
ˈɑ	ˈɒː	0.076
ˈi	ˈɪ	0.074
n	-	0.074
ˈɑ	ˈæ	0.073
ˈu	ˈøː	0.073
ˈe	ˈɛː	0.061
l	j	0.061
ˈɑ	ˈeː	0.058
