East Frisian Low Saxon	Swabian	probability
ˈʏə̯	ˈu	1.0
ˈʏ	-	1.0
ˈʊə̯	ˈo	1.0
ˈʊ	ˈo	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯	ˈae̯	1.0
ˈɔː	ˈɔː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	ˈao̯	1.0
ˈɑːɑ̯	ˈa	1.0
ˈœːy̯	ˈɔə̯	1.0
ˈœy̯	-	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈuə̯	1.0
ˈæːɪ̯	-	1.0
ˈyː	ˈəi̯	1.0
ˈuːu̯	ˈao̯	1.0
ˈoːo̯	-	1.0
ˈoː_ɐ	ˈo_ʕ	1.0
ˈiːi̯	ˈəi̯	1.0
ʊ	ˈu	1.0
ɫ	l	1.0
ɣ̊	ɡ	1.0
ɡ̊	ɡ	1.0
ə_ŋ	i	1.0
ə	-	1.0
ɑɪ̯	eə̯	1.0
ŋ	ŋ	1.0
z̥	s	1.0
w	ʋ	1.0
v_ɐ	b_ʌ	1.0
t_n	s_a	1.0
s_k	ʃ	1.0
s	ʃ	1.0
r	ʁ	1.0
p_n	f_a	1.0
o	ˈa	1.0
m	m	1.0
l_d̥	l_d	1.0
l	l	1.0
k_ˈɪ	ˈi	1.0
k_n	ɡ_a	1.0
k	ç	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
ɡ	ɡ	0.896
d̥	d	0.881
z	s	0.855
ˈuː	ˈao̯	0.817
v	ʋ	0.764
ˈøː	-	0.752
ˈɑ	ˈa	0.676
ˈɑʊ̯	ˈuə̯	0.636
ˈɑː	ˈa	0.625
p	f	0.619
ˈoː	ˈoː	0.586
ˈæɪ̯	ˈɔe̯	0.584
χ	x	0.568
ˈɛ	-	0.549
ˈiː	ˈəi̯	0.54
ˈœ	-	0.512
ˈɔ	ˈo	0.502
ˈeːe̯	ˈɛ	0.5
ˈeːe̯	-	0.5
ˈœ	ˈo	0.488
ˈɛ	ˈɛ	0.451
ɐ	ʕ	0.449
χ	ç	0.432
ˈeː	ˈɛ	0.432
n	n	0.409
t	d	0.384
p	b̥͡f	0.381
ˈɑː	ˈɛ	0.375
n	a	0.355
ˈeː	-	0.341
t	s	0.337
ˈɔ	-	0.301
ɐ	ʌ	0.298
ˈɒː	ˈɔː	0.285
ˈɒː	ˈa	0.285
ˈiː	-	0.282
t	ʦ	0.279
ˈɒː	-	0.267
ˈɪ	ˈe	0.265
ˈøː	ˈoː	0.248
ˈɪ	ˈɪ	0.242
ˈoː	ˈao̯	0.236
ˈæɪ̯	-	0.228
ˈeː	ˈɛː	0.227
ˈɪ	ˈi	0.221
ˈɪ	-	0.205
ˈɔ	ˈa	0.196
ˈæɪ̯	ˈiə̯	0.189
ˈuː	-	0.183
ˈɑʊ̯	ˈuː	0.182
ˈɑʊ̯	-	0.182
ˈiː	ˈi_ʌ	0.179
ˈoː	ˈɔ	0.178
ɐ	-	0.172
n	-	0.171
v	b	0.165
ˈɒː	ˈaː	0.164
ˈɑ	ˈaː	0.162
ˈɑ	-	0.162
z	-	0.145
d̥	t	0.119
ɡ	-	0.104
ɐ	d_ʌ	0.081
v	-	0.071
ˈɪ	ˈəi̯	0.067
n	n_d	0.05
