Old French	Old French	probability
θ	-	1.0
ˈɛ_r	w_ˈɛː	1.0
ˈɛ_f	v_u	1.0
ˈỹ	ˈy	1.0
ˈy_j	ˈø	1.0
ˈu_s	w_ˈiː	1.0
ˈo	ˈɔː	1.0
ˈĩ	ˈi	1.0
ˈi_r	ˈiː	1.0
ˈe_r	ˈaː	1.0
ˈã	ˈa	1.0
ˈa_t	ˈa_t	1.0
ʤ_j	ʤ	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɛ_r	e_r	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	ʒ	1.0
y	y	1.0
w_#>	#>	1.0
v	v	1.0
ũ	u	1.0
u_l	ˈuː	1.0
s_#>	#>	1.0
r_ˈɔ	r_ˈe	1.0
r_t	r_t	1.0
p_l	ʧ	1.0
p	p	1.0
o	-	1.0
n_ə	ŋ_a	1.0
n_d	n	1.0
m_#>	m_e_#>	1.0
l_ə	a	1.0
k_r	k_r	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈɛ	ˈeː	1.0
j_ə	a	1.0
j_s	ʒ_e	1.0
j_n	ŋ	1.0
ĩ	i	1.0
i	i	1.0
e_s	s	1.0
e	e	1.0
d	-	1.0
ã	a	1.0
a_l	a_l	1.0
a	a	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɔ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_l	<#_ʃ	1.0
<#_d	<#_d	1.0
m	m	0.939
#>	u_#>	0.892
b	b	0.882
ʧ	k	0.875
f	f	0.875
t	t	0.811
ˈẽ	ˈe	0.8
ʦ	s	0.778
ˈũ	ˈu	0.762
n_#>	ŋ_#>	0.733
r	r	0.721
n	ŋ	0.692
w_ˈɛ	ˈøː	0.667
s	s	0.64
ə	a	0.612
ˈy	ˈyː	0.6
r_#>	u_#>	0.6
j_#>	u_#>	0.6
u	u	0.571
l_#>	l_u_#>	0.562
ʤ	z	0.545
ʎ	ʤ	0.545
r_ə	j_a	0.5
r_ə	e	0.5
j_r	j	0.5
j_r	d	0.5
ˈa	ˈaː	0.474
w	w	0.462
l	l	0.462
ˈe	ˈɛː	0.455
ʎ	ʤ_u	0.455
l_#>	#>	0.438
u	-	0.429
ˈi	ˈi	0.409
ˈu	ˈu	0.4
r_#>	#>	0.4
j_#>	#>	0.4
j	-	0.4
ˈɛ	ˈe	0.333
w_ˈɛ	ˈø	0.333
ˈi	ˈeː	0.318
ˈa	ˈa	0.316
j	j	0.314
n	n	0.308
ˈɔ	ˈɔː	0.297
ˈe	ˈaː	0.273
ˈe	-	0.273
ʤ	-	0.273
ˈɔ	ˈe	0.27
ˈu	ˈuː	0.267
n_#>	#>	0.267
w	-	0.231
l	-	0.231
ʦ	-	0.222
ˈa	ˈɛː	0.211
ˈy	ˈu	0.2
ˈy	-	0.2
ˈu	-	0.2
ˈẽ	-	0.2
ˈɔ	ˈɔ	0.189
ˈi	ˈiː	0.182
ʤ	ʤ	0.182
ˈɛ	ˈɛː	0.167
ˈɛ	ˈaː	0.167
s	ʃ	0.16
w	ˈøː	0.154
w	ɡ_u	0.154
l	ʤ	0.154
l	r	0.154
ə	e	0.153
ˈũ	-	0.143
ə	u	0.141
ˈɛ	ˈɛ	0.133
ˈu	ˈy	0.133
ʧ	-	0.125
f	v_e	0.125
s	u	0.12
b	-	0.118
r	-	0.116
ˈɔ	-	0.108
ˈũ	u	0.095
ˈi	ˈe	0.091
j	u	0.086
j	e	0.086
ˈɔ	ˈuː	0.081
t	d_u	0.081
s	i	0.08
r	j	0.07
ˈɛ	ˈøː	0.067
ˈɛ	ˈeː	0.067
ˈɛ	-	0.067
m	-	0.061
j	ˈeː	0.057
j	ˈa	0.057
ˈɔ	ˈiː	0.054
t	d_e	0.054
t	-	0.054
#>	ɡ_u_#>	0.054
#>	a_#>	0.054
