Eastern Lombard	Eastern Lombard	probability
ˈɛ_r	ˈɛː_r	1.0
ˈø_l	ʤ	1.0
ˈy_r	ˈyː_u	1.0
ˈu_#>	ˈu_ŋ_#>	1.0
ˈa_t	ˈɛː	1.0
ˈa_m	ˈa_m	1.0
ˈa_d	w	1.0
ˈa_#>	ˈaː_#>	1.0
ʋ	v	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
ø	u	1.0
y	y	1.0
w	w	1.0
s_p	s_p	1.0
s_i	s_e	1.0
s_a	s_a	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_k	r_k	1.0
r_a	a	1.0
p_j	ʧ	1.0
p	p	1.0
o_d	ɥ	1.0
m	m	1.0
l_e	l_e	1.0
l_#>	#>	1.0
i	i	1.0
f_#>	v_e_#>	1.0
b_j	ʤ	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_f_j	<#_ʃ	1.0
<#_a	<#_a	1.0
a	a	0.937
f	f	0.9
<#	<#_v	0.882
k	k	0.863
ɡ	ɡ	0.846
t	t	0.846
l	l	0.786
r	r	0.758
ʤ	ʤ	0.75
n	ŋ	0.742
d	d	0.739
ˈy	ˈyː	0.667
ˈu	ˈuː	0.667
s	s	0.667
ˈa	ˈa	0.638
#>	u_#>	0.606
e_r	r_u	0.6
ˈɛ	ˈe	0.595
r_#>	#>	0.571
z	z	0.526
ˈa_l	ˈaː_r	0.5
ˈa_l	ˈaː	0.5
o	u	0.462
ˈo	ˈu	0.458
ʧ	ʤ	0.455
ˈø	ˈøː	0.435
r_#>	u_#>	0.429
ˈɔ	ˈɔ	0.421
j	ʤ	0.417
ˈi	ˈiː	0.407
e_r	j	0.4
e	e	0.393
ˈe	ˈeː	0.375
z	ʒ	0.368
ʧ	t	0.364
ˈø	ˈy	0.348
ˈy	ˈy_ŋ	0.333
ˈo	ˈɔː	0.333
ˈa	ˈaː	0.319
ˈɔ	ˈɔː	0.316
e	j	0.286
#>	e_#>	0.283
ˈɔ	ˈø	0.263
d	-	0.261
n	n	0.258
ˈe	ˈi	0.25
ʤ	-	0.25
j	ˈi	0.25
o	w	0.231
ˈu	ˈu	0.222
ˈɛ	ˈeː	0.216
ˈe	ˈe	0.208
ˈi	ˈi_ŋ	0.185
ˈi	ˈe_j	0.185
ʧ	ʧ	0.182
ˈe	ˈe_ŋ	0.167
j	ʤ_u	0.167
j	-	0.167
ɡ	-	0.154
o	ɔː	0.154
o	-	0.154
ˈi	ˈi	0.148
e	-	0.143
k	ɡ	0.137
ˈɛ	ˈɛ	0.135
ˈø	ˈø	0.13
ˈo	ˈaː	0.125
r	j	0.121
r	-	0.121
l	-	0.119
<#	<#_a	0.118
ˈu	-	0.111
s	ʒ_e	0.111
e	i	0.107
z	-	0.105
f	v_u	0.1
s	ʃ	0.095
ˈø	ˈu	0.087
ˈo	-	0.083
s	z	0.079
ˈi	-	0.074
e	ˈɛː	0.071
#>	ŋ_#>	0.071
a	-	0.063
ˈɛ	ˈɛː	0.054
t	d_u	0.051
t	d	0.051
t	-	0.051
