Elfdalian	Elfdalian	probability
ˈʏ	ˈʏ	1.0
ˈʉ̃ːə̯	-	1.0
ˈɪ̃ː	ˈiː	1.0
ˈɪ	ˈɪ	1.0
ˈɛ_tː	t	1.0
ˈɛ_r	ˈɒː	1.0
ˈɔ̃ː	-	1.0
ˈœ	ˈɪ	1.0
ˈæː_r	ɐ	1.0
ˈæ	-	1.0
ˈyːœ̯	ˈøː	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈeː	1.0
ʨː	-	1.0
ʨ	k	1.0
ʥː	ɡ	1.0
ʥ_ˈæ	x	1.0
ʏ	-	1.0
ɽ_#>	l_#>	1.0
ɽ	l	1.0
ɪ	-	1.0
ɣ_#>	x_#>	1.0
ɡː	-	1.0
ɛ_r	ɐ	1.0
ɛ	-	1.0
ɔ̃	aɪ̯	1.0
ɑ̃	ə	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ð_ɑ	d_n	1.0
ð_#>	#>	1.0
w_ˈɛː	v	1.0
tʰ	d	1.0
t	t	1.0
sː	s	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_#>	z̥_#>	1.0
pː	-	1.0
p	p	1.0
nː	n	1.0
n_d	n	1.0
m	m	1.0
l̥	ʃ_l	1.0
lː_#>	l_ə_#>	1.0
lː	l	1.0
l	l	1.0
kʰ	k	1.0
j_ˈʉːə̯	ˈaɪ̯	1.0
j_ˈæː	ˈɪɛ̯	1.0
f	f	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
a	-	1.0
<#_ˈɔ	<#_ˈa	1.0
<#_ɡ	<#_x	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_j	<#_h	1.0
<#	<#_h	1.0
n	n	0.909
ð	d̥	0.875
ˈɑ	ˈa	0.846
k	k	0.846
w	v	0.769
ˈɑːi̯	ˈiː	0.75
v	v	0.7
ˈʏː	ˈyː	0.667
ˈɑːu̯	ˈuː	0.667
ˈœː	ˈaʊ̯	0.667
ɔ	n	0.667
ˈʉə̯	-	0.6
ˈo	-	0.6
tː	t	0.6
ɑ	n	0.586
ɣ	-	0.556
ˈʉ	ˈʊ	0.533
s	s	0.514
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈɔː	ˈɔː	0.5
ˈoː	ˈaʊ̯	0.5
ˈoː	-	0.5
ʉ	ə	0.5
ʉ	n	0.5
kː	ŋ_k	0.5
kː	k	0.5
ˈɑː	ˈaː	0.444
ɣ	ɡ	0.444
j	-	0.444
ˈʉːə̯	ˈoː	0.429
ˈʉːə̯	-	0.429
ˈʉː	ˈuː	0.429
r	ɐ	0.415
ˈʉə̯	ˈuːə̯	0.4
ˈo	ˈɔ	0.4
tː	x_t	0.4
s	ʃ	0.371
ˈɪː	ˈɪ	0.364
r	r	0.341
ˈʏː	ˈyːœ̯	0.333
ˈɑːu̯	ˈʊ	0.333
ˈɑː	-	0.333
ˈœː	-	0.333
ɔ	-	0.333
j	ˈɪɛ̯	0.333
#>	n_#>	0.333
ˈɔː	-	0.3
v	ʋ	0.3
ˈʉː	ˈuːə̯	0.286
ˈʉː	-	0.286
ˈɪː	ˈiː	0.273
ˈɑːi̯	-	0.25
r	-	0.244
ɑ	ə	0.241
w	ʋ	0.231
ˈɑː	ˈa	0.222
j	ˈaɪ̯	0.222
ˈʉ	v_ˈʊ	0.2
ˈʉ	-	0.2
ˈɔː	ˈa_l	0.2
ˈɪː	ˈaɪ̯	0.182
ˈɪː	-	0.182
ˈɑ	ˈaː	0.154
k	-	0.154
#>	ə_#>	0.148
#>	ɐ_#>	0.148
ˈʉːə̯	ˈaɪ̯	0.143
ð	d	0.125
s	z	0.114
#>	ç_#>	0.111
#>	d̥_#>	0.111
ɑ	-	0.103
n	-	0.091
#>	x_#>	0.074
#>	k_#>	0.074
ɑ	ɡ_n	0.069
ˈʉ	ˈyə̯	0.067
