Yiddish	West Flemish	probability
b	b	0.698
b	v	0.196
b	f	0.101
d	t	0.462
d	d	0.328
d	-	0.18
f	v	0.804
f	p	0.193
h	-	0.881
h	ɦ	0.093
h_ˈʊ	ˈu	1.0
j	j	0.512
k	k	0.74
k	h	0.102
k	ç	0.077
k	ɦ	0.064
k_s	s	1.0
l	l	0.872
l	w	0.1
m	m	0.942
m	n	0.062
n	n	0.905
n	-	0.094
p	p	0.74
p	f	0.1
s	t	0.751
s	s	0.246
t	t	0.679
t	d	0.273
v	ʋ	0.909
v	-	0.066
z	z	0.572
z	s	0.425
ŋ	ŋ	0.899
ŋ	n	0.097
ə	-	0.738
ə	ə	0.261
ɛ	ə	1.0
ɡ	ɦ	0.559
ɡ	-	0.223
ɡ	h	0.094
ɡ	k	0.068
ɪ	ə	0.629
ɪ	ɪ	0.361
ʀ	ɾ	0.936
ʀ	-	0.063
ʀ_ɛ	ɾ	1.0
ʁ	ɾ	1.0
ʃ	s	0.661
ʃ	z	0.184
ʃ	ʃ	0.14
ʎ	l	0.512
ʦ	t	1.0
ʧ	s	0.512
ˈa	ˈɑ	0.679
ˈa	ˈæ	0.131
ˈa	ˈɒː	0.097
ˈa_l	ˈu	1.0
ˈaɪ̯	ˈi	0.487
ˈaɪ̯	ˈiə̯	0.273
ˈaɪ̯	ˈyː	0.128
ˈaɪ̯	ˈɛ	0.067
ˈi	ˈoː	0.263
ˈɔ	ˈɒː	0.346
ˈɔ	ˈɔ	0.206
ˈɔ	ˈɑ	0.166
ˈɔ	ˈoː	0.14
ˈɔɪ̯	ˈoː	0.649
ˈɔɪ̯	ˈyː	0.228
ˈɔɪ̯	ˈu	0.059
ˈɔɪ̯	ˈøː	0.052
ˈɛ	ˈeː	0.316
ˈɛ	ˈæ	0.19
ˈɛ	ˈoː	0.093
ˈɛ	ˈiə̯	0.081
ˈɛ	ˈɒː	0.074
ˈɛ	ˈœ	0.053
ˈɛ	ˈɑ	0.053
ˈɛɪ̯	ˈɛː	0.64
ˈɛɪ̯	ˈeː	0.141
ˈɛɪ̯	ˈɛ	0.12
ˈɛɪ̯	ˈoː	0.072
ˈɪ	ˈɪ	0.293
ˈɪ	ˈiə̯	0.212
ˈɪ	ˈuə̯	0.125
ˈɪ	ˈɛ	0.105
ˈɪ	ˈœ	0.091
ˈɪ	ˈæ	0.072
ˈʊ	ˈuə̯	0.577
ˈʊ	ˈɔ	0.12
ˈʊ	ˈu	0.091
ˈʊ	ˈœ	0.068
ˈʊ	-	0.061
ˈʊ	ˈøː	0.053
ˈʊ	ˈoː	0.051
χ	h	0.594
χ	k	0.399
