Catalan	Catalan	probability
β_ə	β_a	1.0
β	β	1.0
ˈo_#>	ˈo_n_#>	1.0
ˈi_w	ˈi_o	1.0
ˈi_t	ˈe_ʧ	1.0
ˈi_#>	ˈi_ɾ_#>	1.0
ʧ	-	1.0
ʒ_ə	e	1.0
ʃ_ə	θ_ˈe	1.0
ʃ	-	1.0
ɾ_ˈɛ	ɾ	1.0
ɾ_ə	ɾ_o	1.0
ɲ	ɲ	1.0
ə_ð	a_ð	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z_ˈa	s	1.0
t_ə	t_a	1.0
s_#>	s_#>	1.0
r_t	ɾ_t	1.0
r_n	ɾ_n	1.0
r_k	ɾ_k	1.0
p_l	ɟ͡ʝ	1.0
p_#>	β_o_#>	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_t	ˈo_t	1.0
l	l	1.0
k_l	ɟ͡ʝ	1.0
k_#>	ɣ_o_#>	1.0
k	k	1.0
j_t	ʧ	1.0
f_u	e	1.0
b_u	b_o	1.0
b	b	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_x	1.0
<#_ʎ	<#_l	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#_θ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_f	<#	1.0
ˈa	ˈa	0.944
ɾ	ɾ	0.875
ˈo	ˈo	0.87
r	ɾ	0.867
ɡ	ɡ	0.833
d	d	0.833
ɣ	ɣ	0.818
s	s	0.816
ə	a	0.782
ˈɛ	ˈe	0.714
u	o	0.714
l_#>	l_#>	0.714
f	f	0.714
ˈu	ˈu	0.667
j	j	0.667
ʎ	x	0.643
ˈi	ˈi	0.633
z	s	0.6
n_#>	n_t_o_#>	0.6
w_#>	β_e_#>	0.571
<#_ə	<#_e	0.562
ˈɔ	w_ˈe	0.556
i	i	0.545
t	t	0.519
ʎ_#>	ʝ_o_#>	0.5
ʎ_#>	x_o_#>	0.5
l_ə	ʝ_a	0.5
l_ə	a	0.5
ˈe	ˈe	0.464
#>	o_#>	0.458
i	-	0.455
<#_ə	<#_a	0.438
ʒ	ɟ͡ʝ	0.429
w_#>	θ_#>	0.429
z	-	0.4
n_#>	n_t_e_#>	0.4
ˈe	j_ˈe	0.393
j	-	0.333
ˈɔ	ˈo	0.311
t	ð	0.296
w	-	0.294
ʒ	ʝ	0.286
ʒ	-	0.286
l_#>	#>	0.286
f	-	0.286
#>	ɾ_#>	0.271
ˈu	ˈo	0.259
w	ˈe	0.235
w	w	0.235
ʎ	l	0.214
u	u	0.19
ɣ	-	0.182
ə	e	0.178
ˈɛ	j_ˈe	0.171
ˈi	θ_ˈi	0.167
ɡ	-	0.167
d	-	0.167
ˈe	ˈi	0.143
ʎ	ʝ	0.143
ˈi	ˈe	0.133
r	r	0.133
ˈo	-	0.13
#>	n_o_#>	0.125
w	β	0.118
w	ˈe_β	0.118
t	-	0.111
s	θ	0.102
u	e	0.095
ˈɔ	w	0.089
ɾ	-	0.075
ˈu	ˈu_ɾ	0.074
t	ʧ	0.074
ˈi	ˈe_j	0.067
ˈɛ	j	0.057
ˈɛ	-	0.057
