Logudorese	Western Lombard	probability
d	d	1.0
f	f	1.0
j	-	1.0
p	p	1.0
rː	r	1.0
t	t	1.0
ŋ	-	1.0
ɖː	-	1.0
ɣ	-	1.0
ʣ	-	1.0
b	ʋ	0.531
s	s	0.861
ˈe	ˈe_j	0.101
ˈu	ˈy	0.421
a	-	0.12
e	e	0.142
e	-	0.572
i	-	0.692
k	k	0.532
m	-	0.242
o	u	0.62
r	-	0.372
u	ˈy	0.102
b	k	0.123
e	u	0.103
k	ʧ	0.133
u	j	0.213
z	-	0.773
ˈu	ˈyː	0.163
ˈu	ˈu	0.303
i	i	0.064
l	-	0.094
u	-	0.684
ɡ	ʤ	0.814
ˈa	ˈaː	0.054
ˈi	ˈe	0.364
ˈu	ˈi	0.114
β	ʋ	0.504
i	e	0.245
k	-	0.335
ð	-	0.45
ð	d	0.55
ˈe	ˈe	0.235
ˈe	ˈɛ	0.615
ˈo	ˈyː	0.05
ˈo	ˈu	0.175
b	b	0.346
l	l	0.906
n	-	0.366
ɡ	ɡ	0.186
ˈa	ˈãː	0.126
ˈi	ˈeː	0.06
ˈi	ˈi	0.326
ˈo	ˈøː	0.106
β	-	0.496
r	j	0.137
r	r	0.47
z	s	0.227
ˈa	ˈa	0.787
a	a	0.88
e	a	0.158
m	m	0.758
o	e	0.38
ˈo	ˈɔ	0.48
n	n	0.599
s	ʃ	0.139
ˈi	-	0.249
ˈo	ˈø	0.189
