Gascon	Gascon	probability
ˈɛ_t	ˈɛ_w	1.0
ˈɛ_j	ˈa_j	1.0
ˈe_w	ˈɔ_w	1.0
ˈa_w	w_ˈe	1.0
ˈa_t	ˈa	1.0
ˈa_k	ˈa_k	1.0
ʦ_#>	s_#>	1.0
ʤ	ʤ	1.0
ʒ	ʤ	1.0
ʎ_#>	w_#>	1.0
ʎ	j	1.0
ʃ_e	s_e	1.0
ʃ	s	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_ˈa	ˈa	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
y	-	1.0
w_t	w_t	1.0
s_ˈe	s_ˈe	1.0
r_ˈa	ɾ_ˈã	1.0
r_t	ˈe_ʀ	1.0
r	ʀ	1.0
nː	-	1.0
n_t	ŋ_t	1.0
mː	mː	1.0
m_i	m	1.0
m	m	1.0
lː	-	1.0
l_ˈe	l_ˈe	1.0
k	k	1.0
j_ˈe	e	1.0
j_t	ʧ	1.0
j_r	j_ɾ	1.0
h	f	1.0
e_#>	ˈi_#>	1.0
d	d	1.0
<#_ˈa	<#_ˈa	1.0
<#_w	<#_ɥ	1.0
<#_e	<#	1.0
<#_a_r	<#_ʀ	1.0
<#_a	<#	1.0
l	l	0.956
p	p	0.947
s	s	0.859
ˈɔ	w_ˈe	0.833
ɾ	ɾ	0.833
a	a	0.821
z	z	0.8
u	u	0.778
j	j	0.762
ˈa	ˈa	0.757
ˈɛ	ˈɛ	0.75
e	e	0.732
t	t	0.694
ð	d	0.692
w	w	0.676
ˈi	ˈi	0.633
i	i	0.625
ˈu	ˈu	0.583
b	v	0.568
n	n	0.564
ˈe	ˈe	0.558
ˈy	ˈy	0.542
b	b	0.432
β	b	0.421
#>	ɔ_#>	0.4
n	ŋ	0.385
β	v	0.316
#>	w_#>	0.3
#>	e_#>	0.3
ˈe	ˈẽ	0.256
t	-	0.25
i	e	0.25
j	-	0.238
ˈa	ˈã	0.216
w	ɥ	0.206
z	-	0.2
ˈɛ	ˈe	0.167
ˈɔ	w	0.167
ˈy	ˈũ	0.167
ˈy	ˈu	0.167
ˈu	ˈũ	0.167
ˈi	ˈĩ	0.167
u	-	0.167
β	b_ɾ	0.158
ð	z	0.154
ð	-	0.154
ˈe	ˈɛ	0.14
ˈy	ˈỹ	0.125
i	ĩ	0.125
e	ɾ_e	0.125
w	-	0.118
ˈu	w_ˈẽ	0.111
a	-	0.107
β	w_ɾ	0.105
ˈɛ	j_ˈe	0.083
ˈu	w	0.083
ɾ	l	0.083
ɾ	-	0.083
s	-	0.078
a	ã	0.071
ˈi	ˈi_n	0.067
ˈi	ˈe	0.067
ˈi	j_ˈe	0.067
ˈu	-	0.056
u	ũ	0.056
t	ʧ	0.056
e	i	0.054
e	-	0.054
p	-	0.053
n	ˈe_n	0.051
