Gothic	West Flemish	probability
aː	-	1.0
e	ə	1.0
lː	l	1.0
nː	n	1.0
p	p	1.0
ɔː	ə	1.0
ɡʷ	-	1.0
ɡːʷ	-	1.0
ˈeː	ˈɒː	1.0
f	v̥	0.211
h	ɦ	0.071
l	l	0.511
m	m	0.91
n	n	0.931
t	d̥	0.051
x	ɦ̥	0.751
z	ɾ	0.501
ð	t	0.321
ʍ	-	0.201
ˈiː	ˈɛ	0.081
ˈiː	ˈɪ	0.081
ˈiː	ˈiə̯	0.081
ˈoː	ˈiə̯	0.21
ˈu	ˈɑ	0.1
ˈuː	ˈu	0.201
ˈɔː	ˈɔ	0.071
ˈɛː	ˈæ	0.1
β	p	0.051
d	-	0.092
h	ŋ	0.082
h	-	0.662
iː	ˈɛː	0.072
k	-	0.072
u	-	0.872
ˈa	ˈɑ	0.412
ˈi	ˈœ	0.052
ˈi	ˈæ	0.092
ˈiu̯	ˈyː	0.092
ˈiu̯	ˈiə̯	0.822
ˈɛː	ˈɛ	0.062
b	b	0.863
i	-	0.653
k	k	0.743
l	-	0.083
oː	ɾ	0.073
oː	ə	0.893
ɡ	-	0.213
ˈa	ˈu	0.053
ˈa	ˈɪ	0.053
ˈi	ˈoː	0.063
ˈi	ˈu	0.063
ˈi	ˈɪ	0.483
ˈu	ˈyː	0.053
a	ə	0.804
d	d̥	0.304
d	d	0.604
h	h	0.14
j	j	0.244
t	t	0.94
ð	d	0.64
ŋ	ŋ	0.864
ɡ	ɦ̥	0.084
ˈa	ˈɒː	0.24
ˈuː	ˈi	0.14
ˈɛ	ˈæ	0.774
ˈɛː	j	0.064
ˈɛː	ˈiə̯	0.084
ˈɛː	ˈeː	0.24
β	v	0.844
θ	d	0.514
k	h	0.185
kʷ	v	0.5
kʷ	k	0.5
s	s	0.115
ˈɔ	ˈoː	0.965
ˈɛ	ˈiə̯	0.125
ˈɛː	ˈɛː	0.45
β	v̥	0.105
a	ɾ	0.196
l	w	0.406
ŋ	-	0.136
ɣ	ɦ̥	0.956
ˈiu̯	ˈeː	0.06
ˈu	ˈœ	0.076
ˈu	ˈøː	0.136
ˈu	ˈu	0.486
i	ə	0.347
s	z	0.137
ˈu	ˈɔ	0.087
ˈɔː	ˈoː	0.87
θ	-	0.117
iː	-	0.928
u	ə	0.128
ɡ	ɦ	0.638
ˈa	ˈæ	0.118
ˈi	ˈeː	0.098
ˈiː	ˈi	0.758
b	v̥	0.109
f	v	0.789
j	ʋ	0.09
j	-	0.619
m	-	0.09
n	-	0.069
r	ɾ	0.979
s	-	0.679
w	ʋ	0.909
x	ç	0.249
z	s	0.499
ʍ	ʋ	0.799
ˈoː	ˈuə̯	0.79
ˈuː	ˈyː	0.659
ˈɔː	ˈøː	0.059
ˈɛ	ˈɛː	0.059
θ	d̥	0.369
