Elfdalian	Elfdalian	probability
ˈʏ	ˈɪ	1.0
ˈʉː_ɣ	ˈaʊ̯	1.0
ˈʉə̯_r	w_ˈɝ	1.0
ˈɪ̃ː	ˈi	1.0
ˈœ	ˈi	1.0
ˈæ	-	1.0
ˈyːœ̯	ˈi	1.0
ˈyœ̯	-	1.0
ʨː	ʔ	1.0
ʥː	ʤ	1.0
ʥ	ɡ	1.0
ʏ	ɚ	1.0
ʉ_#>	#>	1.0
ʉ	-	1.0
ɽ_j	l	1.0
ɽ_#>	ɫ_#>	1.0
ɪ	-	1.0
ɣ_ɑ_#>	#>	1.0
ɣ_#>	#>	1.0
ɣ	ˈaɪ̯	1.0
ɡː_ɑ_#>	#>	1.0
ɡː	ʤ	1.0
ɡ_#>	#>	1.0
ɛ_ɽ	ɫ	1.0
ɔ_#>	#>	1.0
ɑ̃	-	1.0
ŋ_ɡ	ŋ	1.0
ð_ɛ	ð	1.0
ð_ɑ	d	1.0
w_ˈɛː	w	1.0
v_ɑ	v	1.0
v_#>	f_#>	1.0
v	v	1.0
sː	ˈʌ_s	1.0
s_ʨ	ʃ	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
p	p	1.0
nː_ɑ	n	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l̥	s_l	1.0
lː	ɫ	1.0
l	ɫ	1.0
kː_ɑ	ŋ_k	1.0
kː	k	1.0
kʰ_n	n	1.0
kʰ	kʰ	1.0
f	f	1.0
d_j	d	1.0
b	b	1.0
a	-	1.0
<#_r	<#_ɹ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
s	s	0.943
ɑ	-	0.926
w	w	0.895
d	d	0.893
ɡ	ɡ	0.818
r	ɹ	0.811
ð	d	0.786
ˈiːe̯	ˈoʊ̯	0.778
ɽ	l	0.778
k	k	0.769
<#	<#_h	0.762
n	n	0.741
ˈʉː	-	0.714
ŋ	ŋ	0.7
ˈoː	-	0.667
ˈo	-	0.667
ˈɛ	ˈɛ	0.643
ˈœː	ˈi	0.625
t	ʔ	0.625
ˈʏː	ɚ	0.6
ˈɪ	ˈɪ	0.6
ˈɑː	ˈeɪ̯	0.6
ʨ	ʧ	0.6
ɛ	ɚ	0.571
r_#>	#>	0.538
tʰ	tʰ	0.529
ˈʉ	ˈʌ	0.5
ˈɔ̃ː	ˈi	0.5
ˈɔ̃ː	-	0.5
ˈɔː	-	0.5
ˈɔ	ˈeɪ̯	0.5
ˈɔ	-	0.5
ˈɑːu̯	ˈaʊ̯	0.5
ˈæː	ˈi	0.5
ˈæː	-	0.5
#>	ɚ_#>	0.5
#>	d_#>	0.5
tʰ	θ	0.471
r_#>	ɚ_#>	0.462
tː	ʔ	0.444
ˈʏː	-	0.4
ˈʉːə̯	-	0.4
ˈɪː	ˈaɪ̯	0.4
ʨ	-	0.4
ˈɑːi̯	ˈʌɪ̯	0.375
ˈɑːi̯	ˈaɪ̯	0.375
ˈœː	ˈɛ	0.375
ˈʉə̯	ˈɝ	0.333
ˈʉə̯	ˈɔ	0.333
ˈʉə̯	-	0.333
ˈɔː	ˈi	0.333
ˈoː	h	0.333
ˈo	ˈɔ	0.333
tː	t	0.333
nː	θ	0.333
nː	ɹ_n	0.333
nː	n	0.333
t	t	0.312
ˈɪː	ˈɪ	0.3
ˈɪː	ˈi	0.3
ˈɑːu̯	-	0.3
ŋ	-	0.3
j	ˈɪ	0.294
j	-	0.294
ˈʉː	ˈaʊ̯	0.286
ɛ	-	0.286
ˈɑ	ˈɑ	0.267
ˈɑːi̯	ˈi	0.25
ˈʉːə̯	ˈi	0.24
<#	<#_w	0.238
k	-	0.231
ˈʉ	-	0.222
ˈiːe̯	ˈɑ	0.222
ɽ	ɫ	0.222
tː	ɾ	0.222
ˈɛ	-	0.214
ð	θ	0.214
ˈɪ	ˈaɪ̯	0.2
ˈɑːu̯	ˈɑ	0.2
ˈɑː	ˈæ	0.2
ˈɑː	-	0.2
ˈɑ	ˈɛə̯	0.2
ɡ	j	0.182
j	ˈɛ	0.176
ˈʉ	ˈʊ	0.167
ˈɔː	ˈæ	0.167
ˈʉːə̯	ˈu	0.16
ˈɛ	ˈɔ	0.143
ɛ	ə	0.143
ˈɑ	ˈɔ	0.133
ˈɑ	ˈæ	0.133
ˈɑ	ˈeɪ̯	0.133
ˈɑ	-	0.133
ˈʉːə̯	ˈʊ	0.12
j	ˈi	0.118
j	h	0.118
ˈʉ	ˈɪ	0.111
n	-	0.111
d	-	0.107
w	-	0.105
ˈɪ	ˈʌɪ̯	0.1
ˈɪ	-	0.1
r	ɚ	0.081
ˈʉːə̯	ˈaɪ̯	0.08
ɑ	k	0.074
n	ˈʌ_n	0.074
n	ˈʌ	0.074
t	ˈʌɪ̯_ʔ	0.062
s	z	0.057
r	ˈɝ	0.054
r	-	0.054
