Piedmontese	Logudorese	probability
ˈɛ_k	ˈi_k	1.0
ˈə	ˈi	1.0
ˈø_v	ˈo_u	1.0
ˈy	ˈu	1.0
ˈu_n	ˈɔ_n	1.0
ˈa_w	ˈa	1.0
ə	-	1.0
ŋ_ɡ	m_b	1.0
y	u	1.0
w_s	ɾ_ʦ	1.0
w	-	1.0
t_a	t_a	1.0
s_i	k_i	1.0
r_ˈi	ɾ_ˈi	1.0
r_n	r_u	1.0
p	p	1.0
m	m	1.0
k_ˈø	k_ˈɔ	1.0
k_w	b	1.0
j_t	t_ɛ	1.0
f_j	f_ɾ	1.0
f	f	1.0
dː	ɛ_ɾ	1.0
a_l	a_l	1.0
ˈa	ˈa	0.974
a	a	0.937
ˈi	ˈi	0.93
k	k	0.913
r	ɾ	0.896
n	n	0.783
ŋ	n	0.774
b	b	0.769
t	t	0.724
l	l	0.675
ˈø	ˈɔ	0.674
s	s	0.665
i	-	0.581
ɲ	n_ʣ	0.509
ʧ	k_ɾ	0.5
ʧ	k	0.5
ˈɔ	ˈɔ	0.489
ʤ	ɣ	0.489
ˈɛ	ˈɛ	0.467
d	d	0.465
ɡ	ɣ_u	0.457
ˈu	ˈu	0.431
ˈu	ˈɔ	0.424
i	i	0.419
v	b	0.386
ˈɛ	ˈe	0.378
ɡ	ɡ	0.362
ˈɔ	ˈo	0.359
u	ɔ	0.356
d	ð	0.336
ˈø	ˈo	0.326
l	ɖː	0.325
e	ɛ	0.318
ˈe	ˈa_ɾ	0.299
ʤ	b	0.289
z	ɣ	0.289
ɲ	ɲ	0.283
z	-	0.279
ˈe	ˈɛ	0.277
j	j	0.272
z	ɣ_ɛ	0.261
u	-	0.26
t	ð	0.254
v	β	0.244
b	-	0.231
e	e	0.229
ʤ	ɡ	0.221
n	-	0.217
ɲ	nː	0.207
u	o	0.194
u	u	0.189
v	-	0.188
ɡ	b	0.181
ˈe	ˈe	0.18
z	j	0.172
v	ɛ	0.165
e	ɛ_ɾ	0.161
j	ɛ	0.155
ˈe	ˈi	0.153
j	-	0.146
ˈu	ˈo	0.145
d	i_ɣ	0.131
j	ʣ	0.121
ŋ	nː	0.12
j	u	0.115
ˈɛ	ˈi	0.103
s	ʦ	0.102
ˈe	ˈa	0.09
e	ɾ	0.09
e	-	0.09
s	s_k	0.089
k	-	0.087
j	ʣ_u	0.086
ŋ	m	0.083
ˈɔ	-	0.08
r	r	0.078
j	ɾ	0.077
s	k	0.076
ˈɔ	m	0.073
ˈi	-	0.07
d	-	0.068
a	-	0.063
e	ˈi_ɾ	0.056
e	a_z	0.056
ˈɛ	ɾ	0.052
