Upper Sorbian	Lower Sorbian	probability
a	a	1.0
b	b	1.0
bʲ	bʲ	1.0
d	d	1.0
j	j	1.0
k	k	1.0
kʲ	kʲ	1.0
l	l	1.0
m	m	1.0
mʲ	mʲ	1.0
n	n	1.0
p	p	1.0
pʲ	pʲ	1.0
s	s	1.0
t	t	1.0
xʲ	x	1.0
z	z	1.0
ɔ	ɔ	1.0
ɥ	vʲ	1.0
ɪ	ɨ	1.0
ɲ	ɲ	1.0
ʀʲ	rʲ	1.0
ʒ	ʐ	1.0
ʤ	ʑ	1.0
ʦ	ʦ	1.0
ˈi	ˈi	1.0
ˈu	ˈu	1.0
ˈɪ	ˈɨ	1.0
β	v	1.0
ˈa	ˈa	0.921
ˈe	ˈa	0.221
ˈe	ˈɪ	0.591
ˈɔ	ˈa	0.201
ˈɔ	ˈɛ	0.221
ˈɔ	ˈɔ	0.491
x	x	0.152
ɛ	e	0.682
ˈo	ˈɔ	0.852
ˈɛ	ˈɛ	0.2
i	i	0.913
ʃ	ɕ	0.623
w	w	0.965
ɦ	-	0.085
ɦ	ɡ	0.915
ʀ	ʂ	0.085
ʀ	r	0.915
ʧ	ʦ	0.066
ʧ	ɕ	0.846
ˈɛ	ˈe	0.516
i	ɨ	0.087
ʃ	ʂ	0.377
ʧ	ʨ	0.087
ˈe	ˈe	0.187
ˈɔ	ɨ	0.087
x	k	0.848
ɛ	ɛ	0.318
ˈo	ˈɛ	0.148
ˈa	ˈɪ	0.079
ˈɛ	ɛ	0.239
