Proto-Germanic	Pennsylvania German	probability
b	b	0.867
b	-	0.114
d	d	0.738
d	t	0.22
d	ʦ	0.047
d_ɑ	t	1.0
e	ɑ	1.0
i	-	0.748
i	ɑ	0.126
i	ɪ	0.065
i	ə	0.05
iː	-	0.494
j	-	0.801
j	j	0.131
j	ɾ	0.059
jː	ˈɔɪ̯	0.494
k	kʰ	0.444
k	k	0.255
k	ç	0.147
k	x	0.097
k	ɡ	0.038
kʷ	k	0.871
kʷ	f	0.052
l	l	0.921
l	n	0.052
l	-	0.036
l_i	l	1.0
l_ɑ	l	1.0
l_ɣ	l	1.0
lː	l	1.0
m	m	0.893
m	n	0.073
m	ə_m	0.04
m_i	m	1.0
mː	m	1.0
n	n	0.713
n	-	0.231
n_x	ŋ	1.0
n_ɑ̃	ə	0.907
n_ɑ̃	n	0.092
nː	n	1.0
p	p	0.241
p	p_ə	0.241
p	f	0.158
p_ɑ	f	1.0
p_ɑ̃	f	0.494
pː	p	0.494
r	ɾ	0.601
r	-	0.274
r	ɑ	0.12
r_i	ɑ	1.0
r_n	n	0.494
r_u	ɑ	1.0
r_ɑ	ɑ	1.0
r_ɑ̃	ɑ	1.0
r_ɔː	ɑ	1.0
s	s	0.475
s	ʃ	0.334
s	-	0.16
s_k	ʃ	1.0
s_ɑ̃	s	1.0
t	s	0.381
t	t	0.255
t	ʦ	0.247
t	d	0.076
t	-	0.035
t_ɑ̃	t	1.0
u	-	0.786
u	ə	0.105
u	ɪ	0.088
u_n	ə	1.0
w	ʋ	0.748
w	-	0.163
w	ˈaɪ̯	0.044
w	l	0.04
wː	ˈaɪ̯	1.0
x	h	0.518
x	x	0.169
x	ç	0.093
x	-	0.075
x	k	0.048
x_l	l	1.0
xʷ	ʋ	0.488
xʷ	v	0.322
xʷ	-	0.113
z	-	0.957
z	ç	0.037
ð	-	0.448
ð	d	0.428
ð	t	0.115
ð_i	t	1.0
ð_ɑ	t	1.0
ð_ɑ̃	t	1.0
ŋ	-	0.591
ŋ	ŋ	0.403
ŋ_ɡ	ŋ	1.0
ɑ	-	0.922
ɑ	ɪ	0.057
ɑ_l	l	1.0
ɑ_z	ə	1.0
ɑi̯	ˈa	0.244
ɑː	j	0.244
ɑ̃	-	0.814
ɑ̃	ə	0.127
ɑ̃	ɑ	0.053
ɔː	-	0.855
ɔː	ɑ	0.14
ɔː_r	ɑ	1.0
ɔːu̯	-	0.494
ɔːː	-	0.617
ɔːː	ɑ	0.277
ɔːː	ə	0.1
ɔ̃ː	-	0.851
ɔ̃ː	m	0.105
ɔ̃ː	ˈɔː	0.04
ɛː	ɑ	1.0
ɡ	ç	1.0
ɡʷ	ŋ	0.494
ɣ	ɡ	0.43
ɣ	ɣ	0.139
ɣ	k	0.118
ɣ	-	0.089
ɣ	ç	0.078
ɣ_j	k	1.0
ɣ_ɑ	k	0.53
ɣ_ɑ	ɪ	0.461
ɸ	f	1.0
ˈe	ˈɛ	0.302
ˈe	ˈɛː	0.207
ˈe	ˈɪ	0.197
ˈe	ˈeː	0.129
ˈe	ˈiː	0.056
ˈeu̯	ˈiː	0.608
ˈeu̯	ˈɪ	0.223
ˈeu̯	ˈʊ	0.147
ˈi	ˈɪ	0.824
ˈi	ˈiː	0.084
ˈi	ˈɛ	0.045
ˈi	-	0.042
ˈi	ˈa	0.037
ˈi_j	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈiː	ˈaɪ̯	1.0
ˈĩː	ˈaɪ̯	0.494
ˈu	ˈʊ	0.319
ˈu	ˈɔ	0.279
ˈu	ˈɪ	0.145
ˈu	ˈa	0.048
ˈu	ˈaː	0.042
ˈu_r	ˈaː	1.0
ˈuː	ˈaʊ̯	0.652
ˈuː	ˈuː	0.202
ˈuː	ˈaɪ̯	0.101
ˈuː	ˈʊ	0.047
ˈɑ	ˈa	0.573
ˈɑ	ˈɔː	0.217
ˈɑ	ˈɛ	0.128
ˈɑ	ˈaː	0.039
ˈɑ	-	0.032
ˈɑ_r	ˈaː	1.0
ˈɑi̯	ˈeː	0.685
ˈɑi̯	ˈaɪ̯	0.146
ˈɑi̯	ˈɛ	0.057
ˈɑi̯	ˈoː	0.057
ˈɑi̯_n	ˈeː	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑu̯	ˈoː	0.371
ˈɑu̯	ˈɔː	0.297
ˈɑu̯	ˈeː	0.091
ˈɑu̯	ˈɛː	0.06
ˈɑu̯	ˈaʊ̯	0.06
ˈɔ	ˈiː	0.121
ˈɔː	ˈuː	0.544
ˈɔː	ˈiː	0.164
ˈɔː	ˈʊ	0.126
ˈɔː	ˈaɪ̯	0.11
ˈɛː	ˈoː	0.855
ˈɛː	ˈɔː	0.1
β	v	1.0
β_u	p	1.0
β_ɑ	p	0.548
β_ɑ	v	0.415
β_ɑ̃	p	0.494
θ	d	0.735
θ	-	0.165
θ	t	0.098
θ_ɑ	t	1.0
θ_ɑ̃	t	0.494
