Logudorese	Logudorese	probability
ˈɛ_n	ˈẽ	1.0
ˈɔ_ɾ	ˈɔ_ɾ	1.0
ˈɔ_n	ˈõ	1.0
ˈo_n	ˈõ	1.0
ˈi_n	ˈĩ	1.0
ˈi_m	ˈĩ	1.0
ˈi_l	ˈi	1.0
ˈe_n	ˈẽ	1.0
ˈa_n	ˈɐ̃	1.0
ʦ_a	s_ɐ	1.0
ʃ	-	1.0
ɾ_ˈa	ˈa	1.0
ɾ_u	ɾ_u	1.0
ɾ_a	ɾ_ɐ	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	j_#>	1.0
ɣ_ɛ	ʃ	1.0
ɛ̆	-	1.0
ɛ_n	ɨ	1.0
ɖː	l	1.0
ɔ̆_#>	#>	1.0
ɔ_z	ʃ	1.0
ɔ_n	õ	1.0
ŋ	-	1.0
ŭ	-	1.0
u_z	u	1.0
u_#>	#>	1.0
s_u	s_u	1.0
s_t	ʃ_t	1.0
s_i	s_ɨ	1.0
o	u	1.0
n_ˈa	n_ɐ	1.0
n_ʣ	ɲ	1.0
n_ɛ	w̃	1.0
n_u	w̃	1.0
l_ɛ	ɫ	1.0
k_ɾ	ʃ	1.0
k_u	k_u	1.0
i_ɾ	ɨ_ɾ	1.0
i_m	ũ	1.0
ă_#>	#>	1.0
a_z	ɐ_ʃ	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ɾ	<#_ʁ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_p	<#_ʃ	1.0
<#_n	<#_n	1.0
<#	<#_i	1.0
p	p	0.935
m	m	0.889
f	f	0.889
a	ɐ	0.833
ɛ_#>	#>	0.83
d	d	0.824
u	u	0.817
ð	ð	0.81
ɣ	ɣ	0.8
ɾ	ɾ	0.797
e	-	0.75
<#_i	<#_i	0.75
t	t	0.743
<#_ˈa	<#_ˈa	0.714
z	ʃ	0.667
nː	-	0.667
l	l	0.667
k	k	0.654
s	ʃ	0.632
β	β	0.625
i	-	0.625
ˈa	ˈa	0.615
ʦ	s	0.6
n_a	j_ɐ	0.6
<#_a	<#_ɐ	0.6
ˈo	ˈo	0.562
ˈi	ˈi	0.558
ˈu	ˈu	0.556
ɛ	ɨ	0.548
ɔ	u	0.545
ɛ_ɾ	ˈe	0.5
ɛ_ɾ	ɾ	0.5
r	ʁ	0.5
r	ɾ_n	0.5
ˈɛ	ˈɛ	0.481
ʣ	ʎ	0.455
ɔ	-	0.455
b	v	0.447
j	-	0.444
ˈo	ˈɔ	0.438
ˈe	ˈɛ	0.438
ˈɔ	ˈo	0.406
ʦ	t	0.4
n_a	ɐ	0.4
<#_a	<#	0.4
β	-	0.375
ɡ	ɡ	0.375
ɡ	-	0.375
ʣ	ʒ	0.364
nː	ɲ	0.333
ˈɔ	ˈɔ	0.312
b	b	0.298
<#_ˈa	<#_ɐ	0.286
l	-	0.282
n	ɲ	0.28
n	-	0.28
ˈu	ˈo	0.278
j	j	0.278
ˈɛ	ˈe	0.259
ˈi	ˈe	0.256
ˈe	ˈe	0.25
ɡ	ɣ	0.25
k	s	0.25
i	ɨ	0.25
e	ɨ	0.25
<#_i	<#	0.25
s	s	0.211
ɣ	z	0.2
ð	-	0.19
ˈe	ˈɐ_j	0.188
ˈɛ	ˈɐ	0.185
ʣ	-	0.182
d	ð	0.176
ɛ_#>	ɾ_#>	0.17
z	j	0.167
z	-	0.167
j	ʎ	0.167
n	ˈɐ̃	0.16
s	-	0.158
ˈɔ	-	0.156
ˈa	ˈɐ̃	0.138
ˈe	ˈɐ	0.125
i	i	0.125
n	n	0.12
ɛ	-	0.119
t	-	0.114
ˈu	-	0.111
m	-	0.111
j	j_ʎ	0.111
f	-	0.111
ˈa	ˈɐ	0.108
b	ɡ	0.106
k	-	0.096
ɛ	w̃	0.095
ɛ	v_ɨ	0.095
ˈi	-	0.093
t	ð	0.086
b	k	0.085
n	ˈɐ	0.08
n	ˈõ	0.08
ɾ	-	0.078
ˈa	-	0.077
ˈɛ	-	0.074
ɛ	j̃	0.071
ɛ	j	0.071
a	-	0.069
p	β	0.065
b	ʒ	0.064
ˈɔ	ˈo_j	0.062
ˈɔ	u	0.062
t	j_t	0.057
ˈu	ˈɔ	0.056
u	ɨ	0.056
l	ɫ	0.051
