Ligurian	Ligurian	probability
ˈɔ	ˈɔ	1.0
ˈyː	ˈu	1.0
ˈy	ˈu	1.0
ˈiː_#>	ˈi_#>	1.0
ˈi_ʤ	ˈi	1.0
ˈe_ŋ	ˈɛ_n	1.0
ˈe_l	ˈɛ_l	1.0
ˈaː_#>	ˈe_#>	1.0
ʒ_e	ʃ	1.0
ɲ	ɲ	1.0
ɥ	o_d	1.0
ɡ_w	ɡ	1.0
ɔː	u	1.0
ŋ_#>	n_#>	1.0
y	u	1.0
w_ˈiː	ˈo_s	1.0
v_u	ˈɛ_f	1.0
v_e	f	1.0
s_u_#>	s_#>	1.0
s_e	s_e	1.0
r_ˈe	r_ˈe	1.0
r_u	e_r	1.0
r_n	r_n	1.0
p_u_#>	p_#>	1.0
p	p	1.0
o	-	1.0
n_ˈu	n_ˈe	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_w	k	1.0
j_#>	j_#>	1.0
i_ɡ	j	1.0
f	f	1.0
e_#>	#>	1.0
d_u	t	1.0
b	b	1.0
a_#>	#>	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_i	1.0
a	a	0.945
ˈa	ˈa	0.935
v	v	0.92
t	t	0.917
r	r	0.897
ˈi	ˈi	0.857
u_#>	#>	0.857
e	e	0.857
ŋ	n	0.786
ˈe	ˈe	0.76
ˈiː	ˈi	0.714
ˈøː	w	0.667
ʤ_u	d_l	0.667
ɡ	ɡ	0.667
ˈu	ˈo	0.647
ˈɔː	ˈɔ	0.636
ˈuː	ˈo_w	0.615
ˈø	w_ˈɛ	0.6
ɡ_u	ˈɛ_k	0.6
d	d	0.6
ˈɛ	ˈɛ	0.571
z	ʒ	0.571
i	i	0.571
k	k	0.548
ʧ	p_l	0.5
ʧ	k_l	0.5
ʒ	ʒ	0.5
j	j	0.5
ˈaː	ˈɛ	0.474
s	s	0.457
k	ʨ	0.452
ˈeː	j_ˈɛ	0.438
ˈɛ	-	0.429
i	e	0.429
ˈø	-	0.4
ɡ_u	k	0.4
d	-	0.4
ˈuː	ˈo	0.385
ˈɛː	ˈɛ	0.375
ʃ	ʃ	0.375
ʃ	f_l	0.375
u	o	0.375
u	e	0.375
ˈaː	ˈa	0.368
#>	r_#>	0.357
#>	l_#>	0.357
ˈu	ˈɔ	0.353
ˈøː	ˈɔ	0.333
ʤ_u	j	0.333
ɡ	-	0.333
w	o	0.333
ˈɛː	ˈe	0.312
ˈiː	-	0.286
ˈeː	ˈɛ	0.25
ʒ	ʒ_ɡ	0.25
ʒ	-	0.25
ʃ	-	0.25
u	ˈɛ	0.25
w	ˈɛ	0.222
w	o_r	0.222
w	-	0.222
ŋ	ŋ	0.214
ʤ	ʥ	0.2
ʤ	l	0.2
ʤ	j	0.2
ʤ	d_l	0.2
ʤ	-	0.2
s	ʃ	0.196
ˈɛː	ˈa	0.188
ˈeː	j	0.188
ˈɔː	ˈa_w	0.182
ˈɔː	w	0.182
j	e	0.167
j	a	0.167
j	-	0.167
ˈaː	ˈa_w	0.158
s	ʦ	0.152
ˈi	-	0.143
z	s	0.143
z	-	0.143
u_#>	r_#>	0.143
e	-	0.143
#>	ˈe_#>	0.143
#>	s_#>	0.143
s	ʨ	0.13
ˈɛː	r_e	0.125
ˈeː	ˈe_l	0.125
ˈe	ˈɛ	0.12
ˈe	ˈe_j	0.12
r	l	0.103
t	d	0.083
v	-	0.08
z	ʤ	0.071
z	z	0.071
ˈa	ˈɛ	0.065
s	ʧ	0.065
