Limburgish	Zeelandic	probability
β_ˈæ	ʋ	1.0
β	ʋ	1.0
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈu	1.0
ˈɛ_j	ˈi_ə	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɛː	1.0
ˈɑː	ˈɑ	1.0
ˈɑ	ˈɑ	1.0
ˈœː	ˈʏ	1.0
ˈœi̯	ˈyː	1.0
ˈæː	ˈæ	1.0
ˈuː	ˈyː	1.0
ˈu	ˈʊə̯	1.0
ˈeː_ɣ̊	ˈæ_x	1.0
ˈaː_j	ˈɑu̯	1.0
ʃ	s_x	1.0
ʀ_ˈɛːi̯	ɾ	1.0
ʀ_ə	ɾ	1.0
ʀ_t	ɾ_t	1.0
ɪ	i	1.0
ɣ	x	1.0
ɡ	x	1.0
ə_v̥	v̥	1.0
ə_l	ə_ɫ	1.0
ə_k	k	1.0
ŋ	ŋ	1.0
z	z	1.0
w	ˈɑu̯	1.0
v	v	1.0
t	t	1.0
p	p	1.0
m	m	1.0
i	iː	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
n	n	0.969
l	ɫ	0.957
s	s	0.935
ʀ	ɾ	0.893
ə	ə	0.892
k	k	0.809
ˈøː	-	0.748
v̥	v̥	0.741
z̥	z̥	0.727
j	-	0.712
ˈiː	ˈi	0.634
ˈɔu̯	ˈyː	0.61
x	x_t	0.565
ˈɪː	ˈɪ	0.544
ˈɛ	ˈæ	0.539
ˈɪ	ˈæ	0.531
ˈaː	ˈɑ	0.501
ˈœ	x	0.5
ˈœ	-	0.5
ˈyː	ˈʊə̯	0.5
ˈyː	ˈiː	0.5
ˈɛː	ˈɪə̯	0.483
ˈɪ	ˈɪ	0.469
ˈɛ	-	0.461
ˈɪː	ˈi	0.456
ˈi	ˈɪə̯	0.453
ˈɔː	ˈʊə̯	0.446
ˈoː	ˈøː	0.412
ˈeː	ˈiː	0.41
ˈɔu̯	-	0.39
ˈʊː	ˈɔ	0.355
ˈɔː	ˈɔ	0.339
ˈoː	ˈu	0.338
ˈeː	ˈeː	0.323
j	j	0.288
x	k	0.283
z̥	z_ə	0.273
v̥	v_ə	0.259
ˈøː	ˈuː	0.252
ˈoː	-	0.25
ˈɛː	ˈæi̯	0.235
ˈi	ˈiː	0.23
ˈɔː	-	0.215
ˈaː	ˈɛː	0.206
ˈʊː	ˈʊə̯	0.198
ˈiː	ˈiːə̯	0.184
ˈiː	ˈyː	0.182
ˈɛː	ˈæ	0.162
ˈaː	ˈæ	0.16
ˈi	ˈɛː	0.158
ˈi	-	0.158
ˈʊː	ˈuː	0.156
ˈeː	ˈɛː	0.152
x	x	0.152
ˈaː	-	0.133
ˈʊː	ˈu	0.131
k	k_ə	0.125
ˈɛː	ˈeː	0.119
ˈeː	ˈɪ	0.116
ˈʊː	ˈɛː	0.09
ˈʊː	ˈøː	0.071
k	ə	0.066
s	t	0.065
ə	ə_n	0.062
