Galician	Galician	probability
θ_ʊ	i	1.0
θ_ɐ	s	1.0
β_ʊ	f	1.0
β_ɐ	b	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_l	oʊ̯	1.0
ˈɔ_s	o	1.0
ˈɑ_ŋ	ẽɪ̯̃	1.0
ˈu_ŋ	œ̃ʏ̯̃	1.0
ˈu_n	w	1.0
ˈo_ɾ	aœ̯_ʁ	1.0
ˈo_ɐ	ɔ_n	1.0
ˈo_ŋ	ɒ̃ʊ̯̃	1.0
ˈo_w	oʊ̯	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_ɣ	i	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈi_n	ẽɪ̯̃	1.0
ˈe_ɾ	ʁ	1.0
ˈe_ð	w	1.0
ˈe_n_t_ʊ_#>	ã_#>	1.0
ˈe_n	ã	1.0
ˈa_ɾ	e	1.0
ˈa_ɣ	æɛ̯	1.0
ˈa_ð	e	1.0
ˈa_n	ã	1.0
ˈa_l	oʊ̯	1.0
ˈa_#>	æɛ̯_n_#>	1.0
ʊ_#>	#>	1.0
ɾ_ˈe	ʁ	1.0
ɾ_ɪ	ʁ	1.0
ɲ_ʊ	ẽɪ̯̃	1.0
ɲ_ɐ	ɲ	1.0
ɲ	n	1.0
ɪ_#>	#>	1.0
ɣ_ʊ	øʏ̯	1.0
ɡ	ɡ	1.0
ɟ_ʊ	j	1.0
ɟ_ɐ	j	1.0
ɟ	-	1.0
ɔ	-	1.0
ɑ	ã	1.0
ɐ_#>	#>	1.0
v	-	1.0
t_ʊ	ẽɪ̯̃	1.0
t_ɐ_#>	t_#>	1.0
s_ˈe	s_ɛ	1.0
s_#>	#>	1.0
r	ʁ	1.0
p_ˈa	p_æɛ̯	1.0
n_ɐ	n	1.0
k_ʊ_#>	#>	1.0
k_ɐ	ʃ	1.0
k_w	k	1.0
j_t	i	1.0
j_#>	#>	1.0
f	f	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_ʃ	<#_æɛ̯	1.0
p	p	0.885
ɾ	ʁ	0.862
m	m	0.812
l	l	0.8
s	s	0.767
ʃ	ʒ	0.765
β_ɾ	v_ʁ	0.75
<#_e	<#_e	0.714
ʧ	p_l	0.667
w	-	0.667
i	-	0.667
ð	-	0.643
ʊ	l	0.625
β	-	0.615
b	v	0.613
u	-	0.6
n	-	0.6
#>	ɛ_#>	0.6
θ_#>	#>	0.571
k	k	0.559
ɣ	-	0.556
d	d	0.529
θ	s	0.526
t	-	0.522
<#	<#_ʒ	0.5
<#	<#_e	0.5
a	a	0.478
ˈu	y	0.467
ˈi	-	0.458
ɣ	ɡ	0.444
o	-	0.438
θ_#>	ɛ_#>	0.429
ŋ	ẽɪ̯̃	0.429
ˈi	ɪ	0.417
j	-	0.417
u	u	0.4
#>	l_#>	0.4
t	t	0.391
b	b	0.387
β	v	0.385
k	ʃ	0.382
ʊ	ɛ	0.375
ˈa	a	0.37
ʧ	f_l	0.333
ɐ	l	0.333
w	øʏ̯	0.333
j	i	0.333
i	i	0.333
ˈɔ	œ	0.318
θ	-	0.316
e	œ	0.316
ˈa	æɛ̯	0.296
ˈɛ	æɛ̯	0.294
ŋ	ɒ̃ʊ̯̃	0.286
ŋ	-	0.286
<#_e	<#	0.286
e	-	0.263
a	æɛ̯	0.261
β_ɾ	ʁ	0.25
j	ɛ	0.25
ʃ	-	0.235
d	ʣ	0.235
d	-	0.235
s	-	0.233
ˈɔ	ɑɔ̯	0.227
ˈɔ	-	0.227
ˈe	-	0.225
ɐ	s	0.222
ɐ	n	0.222
ɐ	-	0.222
ð	d	0.214
e	æɛ̯	0.211
ˈo	ɥ	0.206
ˈo	u	0.206
ˈo	-	0.206
ˈu	w	0.2
ˈu	-	0.2
n	n	0.2
n	ã	0.2
l	-	0.2
o	ɔ	0.188
o	ɑɔ̯	0.188
o	u	0.188
m	-	0.188
ˈɛ	ɛ	0.176
ˈɛ	j_ɛ	0.176
ˈe	w_ɛ	0.175
a	-	0.174
θ	z	0.158
ˈe	w	0.15
ˈa	-	0.148
ð	w	0.143
ˈɔ	u	0.136
ˈu	ɥ	0.133
ˈi	i	0.125
ˈe	ɛ	0.125
ˈe	i	0.125
ˈɛ	j_æɛ̯	0.118
ˈɛ	j	0.118
ˈɛ	-	0.118
ˈo	ʊ	0.118
ˈo	ɔ	0.118
p	-	0.115
ˈa	ɛ	0.111
e	w_ɛ	0.105
e	w	0.105
ˈe	æɛ̯	0.1
ˈɔ	w	0.091
ˈo	ɒ̃ʊ̯̃	0.088
t	ʦ	0.087
a	œ	0.087
ˈa	e	0.074
ɾ	e	0.069
ˈo	œ	0.059
k	-	0.059
