East Franconian	Hessian	probability
β	v	1.0
ˈɪ	ˈi	1.0
ˈɘ	ˈæ_ɐ	1.0
ˈɒː	ˈa	1.0
ˈaʊ̯	ˈau̯	1.0
ˈa	ˈɑ	1.0
ʃ_d̥	s_t	1.0
ɾ	d̥	1.0
ɪ	i	1.0
ɣ	ɣ̊	1.0
ç	ʃ	1.0
v̥	v̥	1.0
v	v	1.0
s	s	1.0
r	ʀ	1.0
l_d̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
i	-	1.0
h	h	1.0
eː	ɛː	1.0
d̥_r	t	1.0
ʦ	ʦ	0.926
f	f	0.925
m	m	0.875
ʃ	ʃ	0.837
n	n	0.773
ˈaː	ˈaː	0.771
b̥͡v̥	-	0.75
ˈʊ	ˈu	0.708
x	x	0.691
d̥	d̥	0.686
b̥	b̥	0.675
ˈoː	ˈɑː	0.653
ˈɛː	ʀ	0.648
ŋ	ŋ	0.576
a	ə	0.57
ɣ̊	x	0.546
ˈaɪ̯	ˈai̯	0.526
z̥	z̥	0.52
ɡ̊	k	0.509
ɐ	ɐ	0.503
ˈiː	ˈiː	0.502
ˈiː_n	ˈɛ̃ː	0.5
ˈiː_n	ˈĩː	0.5
ɡ̊	ɡ̊	0.491
ˈuː	ˈuː	0.485
z̥	s	0.48
ˈɒ	ˈɑ	0.478
ˈɛ	ˈe	0.464
ɣ̊	ɣ̊	0.454
ˈɔ	ˈo	0.435
ˈɔ	ˈɔ	0.433
ˈɒ	ˈa	0.416
ˈaɪ̯	ˈoi̯	0.404
a	-	0.389
ɐ	æ̆	0.386
ˈeː	ˈɛ	0.375
ˈɛ	ˈɛ	0.361
ˈɛː	-	0.352
b̥	p	0.325
ˈeː	ˈɛː	0.313
ˈeː	ˈẽː	0.312
ˈuː	ˈoː	0.311
x	-	0.309
ˈiː	ˈi	0.302
d̥	t	0.269
b̥͡v̥	pʰ	0.25
ˈoː	ˈoː	0.233
n	ə	0.227
ˈʊ	ˈo	0.209
ˈɛ	ˈæ	0.175
ŋ	ʒ̊_ə	0.152
ŋ	j_ə	0.152
ˈaː	-	0.141
ˈɔ	-	0.133
ˈiː	ˈeː	0.133
ˈuː	-	0.128
m	v_ə	0.125
ŋ	ɣ̊_ə	0.121
ˈoː	-	0.114
ʃ	s	0.092
ˈaː	ˈãː	0.087
ˈʊ	-	0.084
f	-	0.075
ʦ	-	0.074
ʃ	ʒ̊	0.071
ˈiː	-	0.063
ɐ	-	0.062
ˈɒ	ˈaː	0.056
ˈɒ	-	0.051
