West Frisian	West Frisian	probability
χ_#>	#>	1.0
ˈɪə̯_#>	ˈaʊ̯_d̥_#>	1.0
ˈɪ_t	ˈae̯_t	1.0
ˈɪ_r	æ	1.0
ˈɛi̯	-	1.0
ˈɛ_r	ˈaː	1.0
ˈɔu̯	-	1.0
ˈøə̯	ˈʏ	1.0
ˈø	-	1.0
ˈyː	-	1.0
ˈy	-	1.0
ˈu̯o	ˈɔʏ̯	1.0
ˈuə̯	ˈaʊ̯	1.0
ˈu	ˈʊ	1.0
ˈiə̯_n	ˈae̯_n	1.0
ˈi_t	t	1.0
ˈi_l	ˈɪ_l	1.0
ʋ	v	1.0
ɣ_ə	ç	1.0
ɣ_j	ɡ	1.0
ə_χ	ɪ_ç	1.0
ə_r	æ	1.0
ɕ	z	1.0
ŋ	ŋ	1.0
z_ə	ŋ	1.0
z	-	1.0
v_ə	m	1.0
t_ə	t_n	1.0
t_#>	#>	1.0
t	t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r_ˈuː	r	1.0
r_#>	#>	1.0
n_#>	#>	1.0
k_ə	k	1.0
k	k	1.0
j_ˈɪ	ˈae̯	1.0
j_ˈɔ	ˈɪ	1.0
j_ˈuə̯	ˈyː	1.0
j_ɪ	ae̯	1.0
j_ə	n	1.0
h	h	1.0
f_#>	v̥_#>	1.0
f	f	1.0
d̥	d̥	1.0
d_ə	æ	1.0
b	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#_j	1.0
l	l	0.932
m	m	0.923
n	n	0.919
p	p	0.909
d	d	0.818
ˈa	ˈa	0.765
ɡ	ɡ	0.75
ˈɛː	-	0.667
ˈuː	ˈuː	0.667
ˈi	ˈiː	0.667
ɣ	-	0.667
#>	d̥_#>	0.667
ˈɛ	-	0.636
ˈɪ	ˈɪ	0.609
ˈɔː	ˈa	0.6
v	w	0.571
n_ə	n_n	0.571
j	-	0.538
<#_t	<#_d	0.529
χ	ç	0.5
χ	x	0.5
ˈoː	ˈuː	0.5
ˈoː	-	0.5
ʦ	kʰ	0.5
ʦ	d	0.5
ə	-	0.472
r	r	0.471
<#_t	<#_tʰ	0.471
ˈiː	ˈiː	0.462
j	ˈiː	0.462
ə	n	0.444
ˈɔ	ˈʊ	0.438
v	v	0.429
n_ə	n	0.429
s	z	0.421
ˈoə̯	-	0.417
ˈɔː	-	0.4
ˈeː	ˈae̯	0.4
ˈeː	-	0.4
s	ʃ	0.368
r	æ	0.353
ˈɛː	ˈʏ	0.333
ˈi	ˈɪ	0.333
ɣ	ɣ	0.333
ˈɔ	-	0.312
ˈaː	ˈɒː	0.273
ˈaː	ˈae̯	0.273
ˈaː	ˈa	0.273
ˈɔ	ˈɔ	0.25
ˈoə̯	ˈuː_æ	0.25
ɡ	j	0.25
ˈiə̯	ˈɔʏ̯	0.235
ˈiə̯	ˈɒː	0.235
ˈa	-	0.235
ˈɪə̯	ˈaʊ̯	0.227
ˈɪə̯	ˈae̯	0.227
ˈɪə̯	-	0.227
s	s	0.211
ˈeː	ˈøː	0.2
#>	v̥_#>	0.2
ˈɛ	ˈʏ	0.182
ˈɛ	ˈɛ	0.182
ˈaː	ˈɛː	0.182
ˈiə̯	-	0.176
ˈɪ	ˈɛ	0.174
ˈuː	ˈʊ	0.167
ˈuː	-	0.167
ˈoə̯	ˈɒː	0.167
ˈoə̯	æ	0.167
ˈiː	ˈɪ	0.154
ˈiː	ˈɛː	0.154
ˈiː	-	0.154
ˈɪə̯	ˈoː	0.136
#>	ç_#>	0.133
ˈɪ	ˈʏ	0.13
ˈiə̯	ˈoː	0.118
ˈiə̯	ˈiː	0.118
ˈiə̯	ˈae̯	0.118
r	ɾ_æ	0.118
ˈɪə̯	ˈɒː	0.091
ˈɪə̯	ˈa	0.091
p	pʰ	0.091
d	ɾ	0.091
d	-	0.091
ˈɪ	-	0.087
ə	m	0.083
n	ŋ	0.081
ˈiː	ˈɛɪ̯	0.077
m	ˈɒː	0.077
l	ˈɛ_l	0.068
r	ˈaː	0.059
