Ligurian	Friulian	probability
b	b	1.0
f	f	1.0
o	-	1.0
sː	s	1.0
y	u	1.0
ɥ	a	1.0
n	n	0.771
z	-	0.111
ɲ	ʤ	0.221
ʧ	ʧ	0.481
ˈeː	-	0.051
ˈi	ˈe	0.091
ˈø	a	0.221
ˈø	ˈo	0.221
d	d	0.882
k	c	0.582
m	n	0.082
n	-	0.062
v	-	0.072
w	o	0.152
w	-	0.392
z	z	0.202
ʃ	s	0.832
ʒ	z	0.162
ʒ	ʧ	0.172
ˈeː	ˈiː	0.202
ˈi	ˈu	0.082
ˈuː	ˈoː	0.462
ˈɔ	ˈo	0.182
ˈɔ	w	0.552
i	e	0.053
j	r	0.143
r	-	0.073
u	i	0.13
z	ʤ	0.413
ɲ	ɲ	0.693
ʤ	l	0.393
ˈa	ˈa	0.973
ˈaː	ˈoː	0.073
ˈaː	ˈa	0.313
ˈeː	j	0.083
ˈiː	ˈeː	0.053
ˈyː	ˈu	0.23
ˈɔː	aː	0.153
a	e	0.714
j	j	0.064
j	-	0.344
l	l	0.894
r	r	0.844
t	l_t	0.054
ɔː	u	0.334
ʤ	-	0.464
ˈe	ˈi	0.134
ˈeː	ˈe	0.054
ˈeː	ˈu	0.124
ˈu	ˈɔ	0.244
e	-	0.085
e	i	0.655
i	ˈi	0.075
j	a	0.075
ɡ	d	0.105
ɡ	-	0.335
ˈe	-	0.205
ˈø	ˈɔ	0.165
ˈø	v_ˈɔ	0.35
ˈøː	ˈɔ	0.155
ˈøː	ˈuː	0.845
ˈɛ	j	0.485
j	ˈeː	0.196
l	j	0.106
u	r	0.096
v	v	0.746
ɔː	o	0.666
ɲ	n	0.086
ʧ	p	0.26
ˈeː	ˈɛ	0.446
ˈiː	ˈiː	0.426
ˈu	w_ˈi	0.186
ˈu	ˈo	0.396
ˈɛ	ˈe	0.146
ˈɛː	ˈe	0.106
a	-	0.107
p	p	0.987
r	ˈɛ_r	0.057
s	s	0.657
u	-	0.727
w	u	0.117
z	ʧ	0.157
ɡ	k	0.127
ɡ	ɡ	0.387
ʒ	-	0.07
ʒ	s	0.597
ʤ	ʤ	0.067
ˈu	-	0.067
ˈyː	ˈuː	0.77
ˈɔː	ˈa_w	0.097
ˈɛː	j	0.157
ˈɛː	ˈaː	0.37
a	a	0.108
d	t	0.118
i	j	0.218
i	i	0.598
j	l	0.08
k	k	0.318
m	m	0.908
s	ʧ	0.238
t	d	0.08
t	t	0.8
v	f	0.158
ʃ	f	0.168
ˈe	ˈɛ	0.208
ˈe	ˈe	0.378
ˈi	u	0.128
ˈiː	ˈoː	0.088
ˈiː	ˈi	0.388
ˈu	ˈu	0.068
ˈuː	ˈo	0.538
ˈy	ˈu	0.958
ˈɔ	ˈɔ	0.068
ˈɔ	ˈe	0.198
ˈɔː	w	0.588
ˈɛː	ˈa	0.158
ˈɛː	ˈɛː	0.208
e	e	0.249
n	ɲ	0.119
w	ˈo	0.099
w	w	0.239
z	ɡ	0.069
ŋ	ŋ	0.169
ŋ	n	0.759
ʧ	k	0.259
ˈaː	ˈaː	0.549
ˈi	ˈi	0.669
ˈɔː	ˈɔː	0.109
ˈɛ	ˈi	0.369
