Afrikaans	North Frisian	probability
<#	<#_j	1.0
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_s_k	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_ɦ	<#_h	1.0
<#_ɫ	<#_l	1.0
<#_ˈa	<#_ˈeː	1.0
<#_χ	<#_ɡ	1.0
d̥_#>	d_#>	1.0
m	m_ə	1.0
m_#>	m_#>	1.0
n_#>	n_#>	1.0
n_d_ə	n_ə	1.0
n_d̥	n	1.0
n_ə	n_i	1.0
p	p_ə	1.0
p_#>	p_#>	1.0
r_#>	r_#>	1.0
v̥	f_#>	1.0
v̥_#>	v_#>	1.0
ə_#>	ə_n	1.0
ə_r	ə_r	1.0
ə_ŋ	r_n	1.0
ə_χ_#>	i_#>	1.0
ɫ	l	1.0
ˈa_n_d̥	ˈœ_nʲ	1.0
ˈi	ˈiː	1.0
ˈyː	ˈøː	1.0
ˈœu̯	ˈœ	1.0
ˈœɪ̯_s	ˈyː_s	1.0
ˈɑː_n	ˈɔu̯_n	1.0
ˈɑː_p	ˈɒː	1.0
ˈə_ŋ	ˈai̯_ŋ	1.0
ˈɛ_n	ˈa_n	1.0
ˈɛː	ˈeː	1.0
ˈɪø̯	ˈaː	1.0
ˈʊə̯_d̥	ˈyː_dʲ	1.0
ˈʊə̯_r	ˈɔ	1.0
<#_d	<#_tʲ	0.071
<#_d	<#_d	0.571
ə	ə	0.222
ˈa	ˈɒː	0.12
ˈa	ˈʊ	0.12
ˈu	ˈɛi̯	0.182
ˈə	ˈʊ	0.182
χ	j_ə	0.2
<#_v	<#	0.143
d̥	-	0.333
d̥	ə	0.333
n	-	0.133
n	s_#>	0.133
s	s	0.333
s_#>	ʃ_#>	0.353
ŋ	ŋ_ə	0.333
ˈɪə̯	ˈiː	0.353
χ	x	0.3
k_#>	k_ə	0.4
r	r	0.944
t_#>	t_#>	0.714
t_ə	d_ə	0.4
v	f	0.4
w	v	0.714
ɫ_#>	lʲ_#>	0.154
ˈu	ˈɛ	0.364
ˈœɪ̯	ˈʏ	0.4
ˈə	ˈi	0.364
ˈʊə̯	ˈyː	0.214
χ_#>	w_#>	0.154
<#_ˈʊə̯	<#_ˈuː	0.5
<#_ˈʊə̯	<#_ˈɔu̯	0.5
d	-	0.5
d	d	0.5
f_#>	v_#>	0.5
f_#>	v_ə	0.5
t	t	0.5
ˈu	ˈœ	0.455
ˈœ	ˈeː	0.5
ˈœ	ˈʏ	0.5
ˈɑː	ˈeː	0.25
ˈɔ	ˈʊ	0.5
ˈə	ˈa	0.455
ˈəɪ̯	ˈiː	0.385
ˈəɪ̯	ˈi	0.615
ˈʊə̯	ˈuː	0.5
χ	x_t	0.5
k_#>	k_#>	0.6
r	ˈa_r	0.056
t_#>	tʲ_#>	0.286
t_ə	t_ə	0.6
v	v	0.6
w	-	0.286
ɫ_#>	l_#>	0.846
ˈa	ˈuː	0.16
ˈœɪ̯	ˈøː	0.6
ˈɪə̯	ˈɛː	0.176
ˈʊə̯	ˈiː	0.286
<#_d	<#_t	0.357
<#_v	<#_v	0.857
d̥	lʲ_#>	0.167
d̥	dʲ_#>	0.167
n	nʲ_#>	0.267
n	n	0.467
s	s_t	0.667
t	z_ə	0.167
t	-	0.167
t	t_ə	0.167
ŋ	ŋ_#>	0.667
ˈɑː	ˈɛː	0.167
ˈɑː	ˈɒː	0.167
ˈɑː	ˈɛi̯	0.417
ˈɔ	ˈyː	0.167
ˈɔ	ˈɔː	0.167
ˈɔ	ˈɔ	0.167
s_#>	z_ə	0.118
ə	-	0.778
ˈa	ˈa	0.08
ˈa	-	0.08
ˈa	ˈɔː	0.08
ˈa	ˈɛi̯	0.08
ˈa	ˈɒ	0.28
ˈɪə̯	ˈɔː	0.118
ˈɪə̯	ˈɛː_d	0.118
ˈɪə̯	ˈaː	0.118
ˈɪə̯	ˈi	0.118
χ_#>	j_#>	0.308
χ_#>	#>	0.538
s_#>	s_#>	0.529
