Old French	Old French	probability
θ	-	1.0
ˈɛ_s	z	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_l	ˈɔ_l	1.0
ˈỹ	ˈu	1.0
ˈo	ˈɔ_s	1.0
ˈĩ	ˈi	1.0
ˈi_ʎ	ˈi	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	ʒ	1.0
y	u	1.0
w_ˈa	ˈa	1.0
w_t	w_t	1.0
w_#>	ˈɛ_k_#>	1.0
ũ	o	1.0
t_ə	t_a	1.0
s_ˈɔ	s_ˈe	1.0
s_#>	#>	1.0
r_ˈɔ	r_ˈe	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
m_j	m_j	1.0
m_#>	m_#>	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_t	t	1.0
j_r_#>	j_#>	1.0
j_#>	#>	1.0
ĩ	i	1.0
f_#>	f_#>	1.0
f	f	1.0
e_s	ʃ	1.0
e	-	1.0
d	d	1.0
b	b	1.0
ã	a	1.0
a_r	a_r	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɔ	<#	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_ã	<#_a	1.0
n	n	0.938
t	t	0.923
r	r	0.907
ʧ	ʨ	0.9
v	v	0.885
l	l	0.852
u	o	0.778
ˈẽ	ˈɛ	0.769
n_#>	n_#>	0.762
ə	a	0.754
s	s	0.75
ˈu	ˈo	0.727
ˈɛ	ˈɛ	0.718
ˈa	ˈa	0.684
ˈe_r_#>	ˈe_#>	0.667
ʎ	d_l	0.667
w	w	0.636
ʤ	ʒ	0.625
ˈi	ˈi	0.545
ˈy	ˈu	0.538
r_ə	e_r	0.538
ˈɔ	ˈe	0.52
ˈũ	ˈo	0.5
s_ˈɛ	s_ˈɛ	0.5
s_ˈɛ	s_ˈe	0.5
j	j	0.463
r_ə	e	0.462
ˈe	ˈe	0.444
#>	a_#>	0.417
ʦ	ʨ	0.4
ʤ	-	0.375
w	-	0.364
ˈe_r_#>	#>	0.333
ˈe	-	0.333
ʎ	-	0.333
j_s	ʦ	0.333
j_s	ʃ	0.333
j_s	w_ʃ	0.333
ˈũ	ˈɔ	0.312
ˈy	w	0.308
ˈu	ˈo_w	0.273
ˈi	j_ˈɛ	0.273
ʦ	ʧ	0.267
s	ʃ	0.25
#>	k_#>	0.25
ˈɔ	ˈɔ	0.24
n_#>	#>	0.238
ˈẽ	ˈe	0.231
ˈe	ˈɛ	0.222
u	-	0.222
ˈa	-	0.211
ʦ	ʦ	0.2
ˈũ	-	0.188
j	-	0.171
#>	ˈe_#>	0.167
#>	n_#>	0.167
ə	e	0.159
ˈy	-	0.154
l	-	0.148
j	ˈe	0.146
ʦ	ʃ	0.133
ˈɔ	ˈo	0.12
ˈɔ	w	0.12
v	-	0.115
ˈa	ˈɛ	0.105
ˈɛ	ˈe	0.103
ʧ	ʥ	0.1
j	ˈɛ	0.098
r	-	0.093
ˈi	ˈɛ	0.091
ˈi	j	0.091
ˈɛ	w	0.077
t	-	0.077
j	ˈa	0.073
n	m	0.062
ˈɛ	ˈɛ_ɡ	0.051
ˈɛ	-	0.051
