Alsatian	Alsatian	probability
ˈəi̯	ˈaː	1.0
ˈɔi̯	ˈaː	1.0
ˈœ	ˈaː	1.0
ˈøː	-	1.0
ˈøi̯	ˈaʊ̯	1.0
ˈø	ˈoː_ç	1.0
ˈyː	ˈaʊ̯	1.0
ˈeː	-	1.0
ˈaː	-	1.0
ˈai̯	ˈɛː	1.0
ʦ	ʦ	1.0
ʁ_ˈu	r_ˈɪ	1.0
ʁ_n	ɐ_n	1.0
ɡ̊	ɡ̊	1.0
ə_ʁ	ɐ	1.0
ŋ	ŋ	1.0
z̥	s	1.0
w	v	1.0
s_ə	z̥_n	1.0
p͡f	-	1.0
p	b̥	1.0
n_ə	n_a	1.0
n_z̥	n_s	1.0
n_d̥	n	1.0
n_#>	#>	1.0
m	m	1.0
l_t	l_d̥	1.0
l	l	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
f_ə	v̥_n	1.0
f	f	1.0
eː_n	eː	1.0
e	-	1.0
<#_ʁ	<#_r	1.0
#>	m_#>	1.0
d̥	d̥	0.935
s	s	0.897
b̥	b̥	0.895
n	n	0.882
ˈɒ	ˈɒ	0.846
kʰ	ɡ̊	0.846
t	d̥	0.842
ˈu	ˈʊ	0.833
ˈe	ˈɛ	0.833
ʋ	v	0.808
ˈo	ˈɔ	0.8
k	ɡ̊	0.778
ˈɒː	ˈoː	0.75
x	x	0.714
i	-	0.714
ʃ	ʃ	0.688
ˈʊː	ˈuː	0.667
ˈæː	-	0.667
ˈi	ˈɪ	0.667
ˈæ	ˈeː	0.6
ˈei̯	ˈaɪ̯	0.6
ˈoː	ˈuː	0.533
ʁ	r	0.514
ˈiː	ˈiː	0.5
ˈiː	ˈaɪ̯	0.5
ˈoː	ˈoː	0.467
ʁ	ɐ	0.432
ə	n	0.429
ˈæ	-	0.4
ˈei̯	-	0.4
ˈʊː	ˈaː	0.333
ˈæː	ˈɛː	0.333
ə	a	0.333
x	-	0.286
i	i	0.286
ˈɒː	ˈɒ	0.25
ˈi	ˈaɪ̯	0.222
k	ɡ̊_n	0.222
ˈo	-	0.2
ˈu	ˈɔ	0.167
ˈe	-	0.167
kʰ	ɡ̊_ˈeː	0.154
ə	-	0.143
ʃ	ç	0.125
ʋ	-	0.115
ˈi	ˈiː	0.111
b̥	-	0.105
s	z̥	0.103
ə	ə	0.095
ʃ	x	0.094
ʃ	-	0.094
t	ɾ	0.079
ˈɒ	ˈɔ	0.077
ˈɒ	ˈoː	0.077
ʋ	x	0.077
d̥	ɾ	0.065
n	ˈiː_n	0.059
n	m	0.059
ʁ	-	0.054
t	-	0.053
