Icelandic	North Frisian	probability
#>	s_#>	1.0
<#_b̥	<#_b	1.0
<#_cʰ	<#_k	1.0
<#_d̥	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_kʰ	<#_k	1.0
<#_l	<#_l	1.0
<#_l̥	l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_tʰ	<#_t	1.0
<#_v	<#_v	1.0
<#_ç	h	1.0
<#_ɟ̊	ɡ	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_ˈa	<#_ˈeː	1.0
<#_ˈʏ	<#_ˈʊ	1.0
<#_θ_ˈuː	d	1.0
a	ə	1.0
d̥	d	1.0
j_ˈoːu̯	ˈiː	1.0
j_ˈuː	ˈiː	1.0
j_ˈɛː_r̥	ˈeː_#>	1.0
k_ʏ_r̥	k_#>	1.0
kʰ_v	v	1.0
l	l	1.0
l_d̥_ʏ_r̥	lʲ_#>	1.0
l̥	l	1.0
m	m	1.0
n	n	1.0
n_#>	n_#>	1.0
n_d̥_#>	nʲ_#>	1.0
nː	n	1.0
n̥_#>	n_#>	1.0
p	p	1.0
p_ʏ_r̥	p_#>	1.0
r	r	1.0
r_m_ʏ	r_m	1.0
r̥_#>	r_#>	1.0
s_#>	s_#>	1.0
s_c	ʃ	1.0
s_k	ʃ	1.0
s_k_ʏ	ʃ_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_l̥	ˈœ_lʲ	1.0
t_l̥_ʏ	l_#>	1.0
t_n	n	1.0
t_ʏ	tʲ	1.0
t_ʏ_r̥	t_#>	1.0
v_ʏ	ə_v	1.0
v_ʏ_r̥	f_#>	1.0
ð_#>	d_#>	1.0
ɛ	-	1.0
ɣ	-	1.0
ɪ_#>	ə	1.0
ʏ_#>	n_#>	1.0
ʏ_r̥	t_#>	1.0
ʰk	k	1.0
ʰt	x_t	1.0
ˈa_r̥	ˈa_r	1.0
ˈai̯	ˈɛi̯	1.0
ˈaːi̯	ˈɛ	1.0
ˈu	ˈʊ	1.0
ˈœ	-	1.0
ˈœː	ˈɛː	1.0
ˈœːy̯	ˈuː	1.0
ˈœːy̯_ð	ˈyː_dʲ	1.0
ˈɑu̯	ˈɒ	1.0
ˈɑːu̯	ˈuː	1.0
ˈɔ	ˈɔ	1.0
ˈɔu̯	ˈɔː	1.0
ˈɔː	ˈaː	1.0
ˈɛ_ʰt	x	1.0
ˈɛi̯	ˈiː	1.0
ˈɛːi̯	ˈiː	1.0
n_d̥	n	0.571
t	z	0.1
v	v	0.571
ʏ	ə	0.111
<#_θ	<#_tʲ	0.2
r̥	r	0.052
ŋ_ɡ̊	ŋ_ə	0.182
ˈa	-	0.2
ˈa	ˈɒ	0.2
ˈaː	ˈeː	0.222
ˈaː	ˈɒ	0.222
ˈaː	ˈɒː	0.222
ˈɪ	ˈa	0.2
ˈɪ	ˈiː	0.2
<#	<#_j	0.583
j	ə	0.133
j	w_ə	0.133
j	-	0.733
v	-	0.143
v	ˈuː	0.143
v	v_ə	0.143
ð	t	0.143
ð	-	0.143
ð	dʲ_#>	0.143
ð	dʲ	0.143
ɡ̊	j_ə	0.333
ˈa	ˈa	0.3
ˈa	ˈœ	0.3
ˈaː	-	0.333
ˈiː	ˈiː	0.263
ˈoːu̯	ˈœi̯	0.333
ˈɪ	ˈʏ	0.3
ˈɪ	ˈi	0.3
ˈɪː	ˈa	0.333
ˈɪː	-	0.333
ˈɪː	ˈaː	0.333
k_#>	k_ə	0.4
t	t	0.4
ˈiː	ˈi	0.474
<#	<#_v	0.25
a_#>	#>	0.275
a_#>	ə_#>	0.725
s	z	0.5
s	s	0.5
t	-	0.5
ɪ	-	0.5
ɪ	ə	0.5
ˈiː	ˈøː	0.105
ˈuː	ˈøː	0.375
ˈuː	ˈyː	0.625
ˈʏ	-	0.5
ˈʏ	ˈʊ	0.5
k_#>	k_#>	0.6
r̥	-	0.776
ˈɛ	ˈa	0.286
ˈɛ	ˈɒ	0.286
ˈɛː	ˈeː	0.286
ˈɛː	ˈɛː	0.286
<#	<#_ˈiː	0.167
ɡ̊	-	0.667
ˈoːu̯	ˈœ	0.667
<#_θ	<#_t	0.8
ŋ_ɡ̊	ŋ	0.818
ˈiː	ˈyː	0.158
n_d̥	n_ə	0.429
ð	d	0.429
ʏ	-	0.889
ˈɛ	ˈi	0.429
ˈɛː	-	0.429
