Western Lombard	Western Lombard	probability
ˈɔ_t	ˈɔ_tː	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	-	1.0
ˈuː	ˈo	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_n	1.0
ˈẽ	ˈɛ_n	1.0
ˈa_s	ˈa_sː	1.0
ˈa_#>	ˈa_r_e_#>	1.0
ˈa	ˈa	1.0
ɲ	ɲː	1.0
w	w	1.0
ũ	-	1.0
u_d	o_t	1.0
u	o	1.0
s_a	ʦ_a	1.0
r_t	r_t	1.0
r_n	r_n	1.0
p	p	1.0
o	e	1.0
m_ˈeː	m_ˈɛ	1.0
k_r	k_r	1.0
k_#>	ɡ_o_#>	1.0
ĩ	i	1.0
f_#>	v_e_#>	1.0
ẽ	v_a	1.0
a_v	a_p	1.0
a_d	a_t	1.0
<#_ˈoː	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʧ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
a	a	0.946
m	m	0.933
k	k	0.913
f	f	0.889
ˈyː	ˈu	0.882
ˈɔ	ˈɔ	0.875
ˈu	ˈo	0.833
ˈiː	ˈi	0.833
ˈã	ˈa_n	0.833
n	n	0.81
v	v	0.8
d	d	0.786
ʒ	ʤ	0.778
<#_r	<#_r	0.778
b	b	0.773
ˈeː	ˈe	0.688
t	t	0.684
r	r	0.673
z	-	0.667
ˈɛ	ˈɛ	0.649
l	l	0.619
s	s	0.609
ʤ	ʤ	0.6
y	o	0.6
j	j	0.6
#>	o_#>	0.569
i	i	0.556
e_r	e_r	0.556
ɡ	-	0.545
ˈũ	ˈo_n	0.5
ˈøː	w_ˈɔ	0.462
ˈi	ˈi_r	0.462
ɡ	ɡ	0.455
ˈe	ˈɛ	0.444
i	-	0.444
e_r	r_o	0.444
#>	e_#>	0.417
ʤ	ɡ_j	0.4
y	u	0.4
e	e	0.4
ˈi	ˈi	0.385
ʧ	kː_j	0.364
ˈe	ˈe	0.333
z	z	0.333
l	lː	0.333
ˈøː	ˈɔ	0.308
ˈũ	ˈɔ_n	0.3
j	ʎː	0.3
e	i	0.3
ˈɛ	ˈe	0.27
ˈøː	-	0.231
ˈe	-	0.222
ʒ	-	0.222
<#_r	<#	0.222
d	t	0.214
t	tː	0.211
ˈũ	ˈu_ŋ	0.2
e	r	0.2
ˈeː	j_ˈɛ	0.188
ʧ	ʤː	0.182
ʧ	tː_o	0.182
ʧ	k_j	0.182
ˈu	w_ˈɔ	0.167
ˈiː	ˈe	0.167
ˈã	ˈa_ŋ	0.167
ˈi	ˈe	0.154
b	b_w	0.136
r	r_o	0.135
ˈɔ	ˈo	0.125
ˈeː	ˈɛ_j	0.125
v	p	0.12
ˈyː	ˈo	0.118
s	ʧ_e	0.116
j	-	0.1
e	-	0.1
n	nː	0.095
n	-	0.095
ʧ	dː	0.091
b	bː	0.091
k	kː	0.087
ˈɛ	ˈe_r	0.081
v	-	0.08
r	e	0.077
f	v	0.074
s	sː	0.072
m	mː	0.067
t	d_o	0.053
t	d_e	0.053
