Old French	Old French	probability
ˈɔ_j	ˈe	1.0
ˈỹ	ˈu	1.0
ˈũ	ˈo	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_r	r	1.0
ˈẽ_j	ˈe	1.0
ˈã_j	ˈa	1.0
ˈã	ˈa	1.0
ˈa_j	ˈa	1.0
ʧ_j	k_ˈa	1.0
ʧ	k	1.0
ʤ	-	1.0
ʎ_ə	a	1.0
ʎ	ʧ_o	1.0
ɲ	ɲ	1.0
ɛ	-	1.0
ə_#>	#>	1.0
ɔ	-	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈo	1.0
w_#>	ɡ_o_#>	1.0
ũ	o	1.0
u_r	o_r	1.0
u	o	1.0
t_ə	t_a	1.0
t_#>	#>	1.0
t	t	1.0
s	s	1.0
r_#>	r_#>	1.0
p	p	1.0
o	-	1.0
n_ə	n	1.0
n_#>	ŋ_#>	1.0
l_ˈã	j_ˈa	1.0
l_ə	l_a	1.0
k_l	ʧ	1.0
k	k	1.0
j_ˈe	ˈa	1.0
j_s	ˈo_s	1.0
ĩ	i	1.0
i	-	1.0
e	-	1.0
b	b	1.0
ã	a	1.0
a	a	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_ã	<#_a	1.0
<#	<#_ˈɔ	1.0
m	m	0.926
ɡ	ɡ	0.889
v	v	0.889
r	r	0.857
ˈa	ˈa	0.833
ʦ	θ	0.833
f	f	0.826
r_ə	e_r	0.778
d	d	0.75
l	l	0.724
ˈe	ˈa	0.714
<#_ʤ	<#_ð	0.714
ˈu	ˈo	0.692
ˈẽ	ˈe	0.692
ˈi	ˈi	0.647
n	n	0.636
ə	a	0.619
j_ˈɛ	j_ˈe	0.571
ˈɔ	ˈɔ	0.556
w	w	0.556
s_#>	s_#>	0.556
ˈy	ˈu	0.538
ˈɛ	ˈɛ	0.514
j	-	0.5
s_#>	#>	0.444
j_ˈɛ	ˈa	0.429
#>	a_#>	0.364
ˈɔ	-	0.333
ˈu	-	0.308
n	ŋ	0.303
ˈe	ˈe	0.286
<#_ʤ	<#	0.286
#>	ɡ_o_#>	0.273
d	-	0.25
ˈy	ˈo	0.231
ˈy	-	0.231
ˈɛ	ˈa	0.229
w	ˈo	0.222
w	-	0.222
r_ə	r	0.222
#>	s_#>	0.182
#>	e_#>	0.182
ˈa	a	0.167
ʦ	-	0.167
ə	e	0.159
ˈẽ	ˈɛ	0.154
ˈẽ	-	0.154
j	j	0.15
j	d	0.15
l	j	0.138
ə	-	0.127
ˈi	ˈɛ_ð	0.118
ˈi	ˈɛ	0.118
ˈi	e	0.118
ˈɛ	ˈe	0.114
ˈɔ	ˈe	0.111
ɡ	ʤ	0.111
v	-	0.111
j	ˈa	0.1
j	e	0.1
f	v_o	0.087
f	v	0.087
ˈɛ	ˈo	0.086
m	ŋ	0.074
r	o	0.071
r	e_r	0.071
l	o	0.069
l	-	0.069
ə	o	0.063
n	-	0.061
ˈɛ	-	0.057
