Min Bei	Min Bei	probability
⁵⁵	²³	1.0
⁵⁴	⁵³	1.0
ʦ_y	ʑ	1.0
ʦ	ʦ	1.0
ɔ_ŋ	ɑ̃	1.0
ŋ_⁵⁴	⁵³	1.0
ŋ_³³	²³	1.0
ŋ_²¹	²³	1.0
x_w	h	1.0
w_ɛ	u	1.0
w_a	ɦ_ɯ	1.0
pʰ	-	1.0
o	-	1.0
n	nʲ	1.0
m	m	1.0
l	l	1.0
j_u	ɜ	1.0
j_a	j	1.0
i_ŋ	i	1.0
a_⁵⁴	o_⁵³	1.0
a_ŋ	ø	1.0
a_w	ɔ	1.0
a_j	ã	1.0
<#_n	<#_n	1.0
<#	<#_ɦ	1.0
#>	²³_#>	1.0
³³	²³	0.8
ʦʰ	ʦʰ	0.778
ɔ	o	0.688
⁴²	¹²	0.667
œ	ɦ	0.667
tʰ	tʰ	0.667
kʰ	kʰ	0.667
p	p	0.625
²¹	³⁴	0.613
e	i	0.6
j_ŋ	n	0.583
²⁴	⁵⁵	0.571
s	s	0.538
i	i	0.533
ɥ	y	0.5
ɥ	-	0.5
ŋ	n	0.478
s	ɕ	0.462
ɛ	e	0.455
k	ʨ	0.455
²⁴	ʔ_⁵⁵	0.429
j_ŋ	ø	0.417
ŋ	ŋ	0.391
²¹	²³	0.387
w	ɔ	0.375
w	-	0.375
p	b	0.375
ɛ	-	0.364
⁴²	-	0.333
œ	-	0.333
y	-	0.333
u	u	0.333
tʰ	d	0.333
kʰ	ʨʰ	0.333
i	z̩	0.333
j	j	0.308
a	a_ʔ	0.308
a	-	0.308
x	h	0.3
x	f	0.3
t	ʦ	0.273
t	z	0.273
t	d	0.273
k	k	0.273
y	y	0.267
y	o_ʔ	0.267
w	ɦ	0.25
j	ə	0.231
j	i	0.231
j	-	0.231
a	a	0.231
ʦʰ	ʨʰ	0.222
³³	³⁴	0.2
x	ɦ	0.2
x	-	0.2
e	ɜ	0.2
e	-	0.2
ɔ	ə	0.188
ɛ	ə_ʔ	0.182
t	t	0.182
k	ʥ	0.182
u	ɤ	0.167
u	ə	0.167
u	o_ʔ	0.167
u	-	0.167
a	o	0.154
y	ɥ	0.133
i	ɪ_ʔ	0.133
ŋ	ɑ̃	0.13
ɔ	ã	0.125
k	ɡ	0.091
