English	American English	probability
θ	θ	1.0
ˈʊ	ˈʊ	1.0
ˈɜː	ˈɝ	1.0
ˈɛ	ˈɛ	1.0
ˈəʊ̯	ˈoʊ̯	1.0
ˈɒ	ˈɑ	1.0
ˈɐ	ˈʌ	1.0
ˈuː	ˈu	1.0
ˈiː	ˈi	1.0
ˈeɪ̯	ˈeɪ̯	1.0
ˈe	ˈɛ	1.0
ˈaʊ̯	ˈaʊ̯	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʃ	ʃ	1.0
ɹ	ɹ	1.0
ɫ	ɫ	1.0
ɡ	ɡ	1.0
ɜː	ˈɝ_t	1.0
əʊ̯	oʊ̯	1.0
ŋ	ŋ	1.0
ð	ð	1.0
z	z	1.0
w	w	1.0
v	v	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d	d	1.0
b	b	1.0
ə	ɚ	0.837
ˈɪ	ˈɪ	0.817
l	l	0.791
ˈɔː	ˈɔ_ɹ	0.743
ˈaɪ̯	ˈaɪ̯	0.725
t	ʔ	0.704
ˈæ	ˈɛə̯	0.648
ɪ	i	0.633
ˈɑː	ˈɑ_ɹ	0.55
ˈɑː	ˈæ	0.45
ɪ	ɪ	0.367
ˈæ	ˈæ	0.352
ˈaɪ̯	ˈʌɪ̯	0.275
t	t	0.248
l	ɫ	0.209
ˈɪ	ˈi	0.183
ə	ə	0.163
ˈɔː	ˈɑ	0.154
ˈɔː	ˈɔ	0.103
