Eastern Lombard	Asturian	probability
u	o	1.0
w	w	1.0
ʋ	b	1.0
e	a	0.121
n	n	0.81
p	p	0.91
s	s	0.331
t	-	0.141
ˈi	ˈe	0.241
ˈo	ˈu	0.1
ˈɛ	ˈe	0.571
b	b	0.752
j	ˈi	0.132
j	ʎ	0.252
l	l_u	0.082
l	ʎ	0.422
r	r	0.12
t	ð	0.2
ŋ	ŋ	0.762
ʧ	ʧ_e	0.22
ˈa	ˈa_ɾ	0.232
d	ð	0.203
e	ɾ_e	0.063
i	e	0.833
l	l	0.323
m	m	0.93
s	θ	0.393
t	t_u	0.103
t	t_e	0.133
z	ʃ	0.753
ʤ	ʃ	0.133
ʤ	ʝ	0.303
ʧ	ʎ	0.303
ˈo	w_ˈe	0.123
ˈu	ˈu	0.153
ˈy	ˈu	0.773
ˈø	w_ˈe	0.423
d	-	0.144
n	-	0.094
p	-	0.084
ʤ	-	0.564
ˈi	ˈi_ɾ	0.094
ˈi	ˈe_ɾ	0.154
d	d	0.455
l	ʎ_u	0.095
o	o	0.85
t	t	0.35
ɡ	ɡ	0.375
ɲ	ɲ_u	0.255
ɲ	n	0.745
ˈø	<#_b	0.115
ˈø	ˈu	0.205
ˈø	u	0.215
ˈɔ	o	0.075
ˈɔ	w_ˈe	0.365
a	a	0.946
e	e	0.46
f	-	0.136
f	β_u	0.146
j	ʝ	0.316
k	k	0.926
r	ɾ_u	0.136
r	-	0.136
t	ʧ	0.056
ɡ	ɣ	0.586
ˈe	ˈi	0.106
d	ð_ɾ	0.187
i	i	0.167
ˈo	ˈo	0.777
ˈy	ˈo	0.227
ˈɛ	ˈa	0.057
b	β	0.248
o	u	0.108
r	ɾ	0.608
s	-	0.078
z	θ	0.058
z	-	0.188
ŋ	n	0.238
ʧ	-	0.478
ˈe	j_ˈe	0.248
ˈe	ˈe	0.598
ˈu	ˈo_n	0.068
e	-	0.259
f	f	0.669
j	-	0.109
j	l	0.19
s	e_s	0.119
ˈa	ˈa	0.669
ˈi	ˈi	0.499
ˈu	ˈo	0.779
ˈɔ	ˈo	0.559
ˈɛ	j_ˈe	0.319
