Palatine German	Palatine German	probability
β	β	1.0
ˈɪ	ˈɪ	1.0
ˈɛ̃ː	ˈɛ̃ː	1.0
ˈɛː	ˈɛː	1.0
ˈɛ	ˈɛ	1.0
ˈɔ	ˈɔ	1.0
ˈɑ̃ː	ˈɑ̃ː	1.0
ˈɑ̃ɪ̯	ˈɑ̃ɪ̯	1.0
ˈɑː	ˈɑː	1.0
ˈɑ	ˈɑ	1.0
ˈuː	ˈuː	1.0
ˈu	ˈu	1.0
ˈõː	ˈõː	1.0
ˈoː	ˈoː	1.0
ˈo	ˈo	1.0
ˈĩː	ˈĩː	1.0
ˈiː	ˈiː	1.0
ˈi	ˈi	1.0
ˈẽː	ˈẽː	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯	ˈaɪ̯	1.0
ˈau̯̯	ˈau̯̯	1.0
ˈau̯	ˈau̯	1.0
ʣ̥	ʣ̥	1.0
ʃ	ʃ	1.0
ɪ	ɪ	1.0
ɣ̊	ɣ̊	1.0
ɡ̊	ɡ̊	1.0
ə	ə	1.0
ɑ	ɑ	1.0
ɐ_d̥	ɐ_d̥	1.0
ɐ	ɐ	1.0
ŋ	ŋ	1.0
x	x	1.0
s	s	1.0
r	r	1.0
n_s	n_s	1.0
n	n	1.0
m	m	1.0
l_d̥	l_d̥	1.0
l	l	1.0
kʰ	kʰ	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	eː	1.0
d̥_ɐ	d̥_ɐ	1.0
d̥	d̥	1.0
b̥	b̥	1.0
