German	Proto-Germanic	probability
ˈʏ	ˈu	1.0
ˈɛː	ˈɑ_x	1.0
ˈɛ_n	ˈɑ_nː	1.0
ˈɔʏ̯	ˈiu̯	1.0
ˈɔ	ˈu	1.0
ˈøː	ˈɑu̯	1.0
ˈa	ˈɑ	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_#>	k_ɑ_z_#>	1.0
ɪ	ŋ	1.0
ɡ̊	ɣ_ɑ	1.0
ɡ	ɣ	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
ç_t	x_t	1.0
z	s	1.0
tʰ	d	1.0
s_t	s_t	1.0
p͡f	p	1.0
m_ˈɪ	m_ˈe	1.0
kʰ	k	1.0
j	j	1.0
h	x	1.0
<#_ˈa	<#_ˈɑ	1.0
<#_ʁ	<#_r	1.0
<#_ɡ	<#_ɣ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_x	1.0
d	θ	0.917
v	w	0.909
ˈʊ	ˈu	0.875
ˈuː	ˈɔː	0.833
ˈɛ	ˈe	0.824
ˈeː	ˈe	0.778
ˈiː	ˈeu̯	0.769
f	ɸ	0.763
ʁ	r	0.759
b	b	0.75
l	l	0.721
n	n	0.68
ˈɪ	ˈi	0.679
m	m	0.679
b̥	β_ɑ	0.667
ˈaʊ̯	ˈuː	0.632
ˈyː	ˈɔː	0.6
ˈaː	ˈɑ	0.6
k	k	0.6
ɐ	r	0.571
ʃ	s	0.56
x	x	0.545
ˈaɪ̯	ˈɑi̯	0.517
#>	z_#>	0.484
ç	k	0.467
ŋ	ŋ	0.462
s	t	0.444
ʃ	s_k	0.44
#>	ɑ̃_#>	0.432
ˈoː	ˈɑu̯	0.429
ˈoː	ˈu	0.429
t	ð	0.41
ˈyː	ˈu	0.4
k	ɣ_j	0.4
ŋ	ɡ	0.385
ˈaɪ̯	ˈiː	0.379
ˈaʊ̯	ˈɑu̯	0.368
b̥	β	0.333
ˈaː	ˈɛː	0.3
s	t_ɑ	0.296
x	k	0.273
ç	ɑ	0.267
d̥	θ	0.267
s	s	0.259
t	t	0.256
m	m_ɑ	0.25
ˈiː	ˈi	0.231
ˈeː	ˈɑ	0.222
d̥	θ_ɑ̃	0.2
d̥	d_ɑ	0.2
d̥	d	0.2
ə	ɔ̃ː	0.195
b	β	0.188
n	ɑ_n	0.186
x	k_i	0.182
ˈɛ	ˈɑ	0.176
ə	ɔːː	0.171
ə	ɑ	0.171
ˈuː	ˈuː	0.167
ŋ	n_x	0.154
t	ɑ	0.154
ə	ɔː	0.146
ˈoː	ˈɛː	0.143
l	l_ɑ	0.14
ç	x_t	0.133
ç	k_ɑ	0.133
d̥	d_u	0.133
f	p_ɑ	0.132
t	ð_ɑ	0.128
ˈʊ	ˈu_ŋ	0.125
ə	j	0.122
ˈɪ	ˈe	0.107
f	p	0.105
ˈaɪ̯	ˈi	0.103
ʁ	x_r	0.103
ɐ	ɛː_r	0.102
ɐ	r_ɑ	0.102
ˈaː	ˈɑ_x	0.1
v	xʷ	0.091
d	d_ɑ	0.083
ə	u	0.073
ə	i_z	0.073
ˈɪ	ˈi_ŋ	0.071
ˈɪ	ˈi_s	0.071
ˈɪ	ˈeu̯	0.071
m	m_b	0.071
ʁ	s	0.069
ʁ	r_ˈɑu̯	0.069
n	n_ɑ	0.062
b	β_ɑ	0.062
ɐ	r_u	0.061
t	θ	0.051
