Auvergnat	Auvergnat	probability
ˈɪ̃	ˈɛ	1.0
ˈɪ_w	ˈe	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	n	1.0
ˈɔ_w	w_ʊ̃ː	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈuː	1.0
ˈĩ	ˈiː	1.0
ˈẽ	ˈɛ	1.0
ˈa_l	ˈɛ_ɫ	1.0
ʤ_ɒ	ɡ_ɛ	1.0
ʒ	k	1.0
ʀ_ˈa	r_ˈaː	1.0
ʀ_ɔ	r_ãː	1.0
ʀ_#>	ɛ̃ː_#>	1.0
ɪ	s	1.0
ɥ	ˈuː_t	1.0
ɡʲ	k	1.0
ɔ_#>	a_#>	1.0
œ	-	1.0
ŋ_d	n_ɛ	1.0
y	-	1.0
w_ˈɔ̃	ˈɔ	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈʊ_ŋ	1.0
vʲ	w	1.0
v	w	1.0
ũ	ɔ	1.0
s_ˈẽ	k_ɪ	1.0
s_ˈa	s_ˈa	1.0
s_ə	s_ɛ	1.0
s_ɔ	s_ãː	1.0
pʲ	p_ˈɪ	1.0
p	p	1.0
n	n	1.0
mʲ	m	1.0
lː	s_ʊ	1.0
l_#>	ʊ̃ː_#>	1.0
k_ʀ	k_r	1.0
j_ʀ	t_r	1.0
fʲ	f	1.0
f	f	1.0
dʲ	d	1.0
d_ʀ	s_i	1.0
d_ɔ	t_ãː	1.0
ã_ŋ	a_n	1.0
a	a	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_ʎ	<#_ɫ	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_a	1.0
<#_u	<#_ɔ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
m	m	0.969
ɔ	ãː	0.951
ʀ	r	0.789
ˈe	ˈɛ	0.788
ˈã	ˈa	0.786
ɡ	ɡ	0.778
ɒ	a	0.769
i	-	0.75
ˈũ	ˈoː	0.714
ˈy	ˈuː	0.7
l	ɫ	0.676
ˈe_j	ˈa	0.667
ˈa_w	ˈa_ɫ	0.667
ˈi	ˈiː	0.65
d	t	0.625
ʧ	k	0.6
ɲ	n	0.6
t	t	0.556
ʎ	ʊ_ɫ	0.55
ˈu	ˈʊ	0.5
ʃ	ˈyː	0.5
ʃ	ˈae̯	0.5
<#	<#_k	0.5
<#	<#_h	0.5
ˈɪ	ˈɪ	0.474
#>	ʊ̃ː_#>	0.461
w	ˈɔ	0.45
u	ɔ	0.444
k	k_ʊ̃ː	0.429
b	b	0.417
ɲ	n_e	0.4
z	k	0.4
z	-	0.4
d	d	0.375
ˈa	ˈa	0.373
ˈɪ	ˈeː	0.368
ʎ	lʲ	0.35
ˈɔ	ˈɔ	0.333
ˈe_j	ˈeː_ɡ	0.333
ˈa_w	ˈau̯	0.333
u	ʊ	0.333
s	s	0.333
e	ʊ̃ː	0.333
e	ɛ	0.333
e	k_ɛ	0.333
b	p_ɛ	0.333
l	lʲː	0.324
ʤ	ɡ	0.316
ˈy	ˈuː_k	0.3
ˈũ	-	0.286
k	kʷ	0.286
j	k_t	0.286
j	-	0.286
ə	ɛ	0.28
t	s_t	0.278
ˈa	ˈaː_r	0.275
s	k	0.259
ˈa	ˈaː	0.255
ˈi	ˈiː_r	0.25
i	ĩː	0.25
b	p	0.25
#>	ɛ_#>	0.245
ŋ	n	0.243
ə	ʊ̃ː	0.24
ɒ	aː	0.231
ˈɔ	ˈuː	0.222
ˈɔ	r_t	0.222
ˈɔ	r	0.222
ɡ	kʷ	0.222
u	oː	0.222
s	k_ɛ̃ː	0.222
ˈã	ˈaː	0.214
#>	ɛ̃ː_#>	0.206
ʧ	t	0.2
z	tʰ	0.2
ŋ	ŋ	0.189
ŋ	n_ʊ̃ː	0.189
s	t_i	0.185
ə	ɛ̃ː	0.18
t	tː	0.167
ŋ	n_ɛ̃ː	0.162
ʤ	j	0.158
w	w_ɛ̃ː	0.15
w	w	0.15
w	b_ɛ	0.15
ˈu	ˈoː_r	0.143
k	ʊ̃ː	0.143
k	k	0.143
j	ˈaː_t	0.143
j	k	0.143
j	d_i	0.143
ʧ	ɪ_k	0.133
ŋ	ʊ̃ː	0.108
ŋ	n_t	0.108
ˈu	ˈu	0.107
ˈu	-	0.107
ˈɪ	-	0.105
ʤ	ɡ_ɛ	0.105
ʤ	i	0.105
ʤ	d_i	0.105
ʤ	d	0.105
ʤ	-	0.105
ˈi	-	0.1
ʎ	ɫ	0.1
ə	-	0.1
w	-	0.1
ˈe	-	0.091
ˈu	ˈoː_t	0.071
ˈu	ˈoː	0.071
ʧ	kː	0.067
ˈe	ˈɪ_k	0.061
ˈe	ˈa	0.061
ə	eː	0.06
ˈa	ɫ	0.059
ˈɪ	ˈoe̯	0.053
ʀ	ɔ	0.053
ʀ	r_n	0.053
