Luxembourgish	Icelandic	probability
b	b̥	1.0
d	θ	0.389
d	d̥	0.384
d	ð	0.122
d	ð_ʏ	0.085
e	ŋ	1.0
f	f	0.657
f	p	0.108
f	-	0.071
f	v_ʏ	0.057
f	ʰp	0.037
h	h	0.874
h	ç	0.083
j	ˈɑːu̯	0.5
j	ˈu	0.5
k	ɡ̊_ʏ	0.355
k	k	0.257
k	ɟ̊	0.128
k	ɡ̊	0.128
k	ʰk	0.128
kʰ	kʰ	0.564
kʰ	cʰ	0.164
kʰ	-	0.148
l	l	0.611
l	l̥	0.358
l	-	0.029
m	m	0.599
m	m_ʏ	0.289
m	-	0.072
m	p	0.038
n	n	0.423
n	-	0.266
n	nː	0.161
n	n̥	0.112
n	m	0.025
p	ʰp	0.407
p	v	0.089
s	s	0.38
s	t_ʏ	0.251
s	t	0.226
s	ʰt	0.052
s	sː	0.037
t	-	0.308
t	ð	0.269
t	t	0.12
t	d̥	0.117
t	d̥_ʏ	0.063
v	v	0.611
v	-	0.314
v	p	0.069
w	v	0.654
w	ˈu	0.194
w	-	0.12
z	s	0.918
z	s_j	0.081
ŋ	ŋ	0.661
ŋ	ʏ	0.143
ŋ	ɲ	0.094
ŋ	n̥	0.094
ŋ_k	ʰk	0.468
ɐ	r̥	0.331
ɐ	r	0.253
ɐ	ɪ	0.221
ɐ	ʏ_r̥	0.08
ɐ	-	0.08
ɕ	k	0.182
ɕ	ˈɛ_ʰt	0.155
ɕ	r̥	0.117
ɕ	ʰt	0.117
ɕ	ɡ̊	0.089
ə	-	0.575
ə	ʏ	0.084
ə	v_ʏ	0.061
ə	u	0.056
ə	ɡ̊_ʏ	0.056
ə_n	a	1.0
ɡ	ɡ̊	0.57
ɡ	ɟ̊	0.313
ɡ	-	0.107
ʀ	r	0.853
ʀ	r̥	0.064
ʀ	r_j	0.042
ʀ	ˈoːu̯	0.041
ʃ	s	0.552
ʃ	s_c	0.196
ʃ	s_k	0.151
ʃ	-	0.055
ʑ	ɟ̊	0.468
ʦ	tʰ	0.619
ʦ	t	0.262
ʦ	ɣ	0.097
ˈaː	ˈaː	0.235
ˈaː	ˈa	0.155
ˈaː	ˈɑu̯	0.128
ˈaː	ˈœːy̯	0.102
ˈaː	ˈa_r	0.076
ˈe	ˈɪ	0.315
ˈe	ˈiː_j	0.239
ˈe	ˈi	0.158
ˈe	ˈai̯	0.158
ˈe	ˈɛ	0.102
ˈeː	ˈɛːi̯	0.37
ˈeː	ˈɛi̯	0.157
ˈeː	ˈeːi̯	0.137
ˈeː	ˈœː	0.119
ˈeː	ˈɛ_ɡ̊	0.119
ˈi	ˈi	0.232
ˈi	ˈɑːu̯	0.232
ˈi	ˈou̯	0.232
ˈi	ˈɛː	0.135
ˈi	ˈoːu̯	0.083
ˈiə̯	ˈœː	0.215
ˈiə̯	ˈʏː	0.133
ˈiə̯	j	0.126
ˈiə̯	ˈɛː	0.126
ˈiə̯	ˈou̯	0.126
ˈiː	j	0.447
ˈiː	j_ˈoːu̯	0.182
ˈiː	ˈɪ	0.085
ˈiː	ˈɛ	0.085
ˈiː	ˈaː	0.083
ˈo	ˈʏ	0.414
ˈo	ˈou̯	0.116
ˈo	ˈu	0.084
ˈo	ˈoːu̯	0.082
ˈo	ˈɪ	0.078
ˈoː	ˈɛːi̯	0.193
ˈoː	-	0.193
ˈoː	ˈɑːu̯	0.148
ˈoː	ˈɔː	0.124
ˈoː	ˈaːu̯	0.112
ˈu	ˈoːu̯	0.231
ˈu	ˈaː	0.175
ˈu	ˈɔu̯	0.175
ˈu	ˈa	0.081
ˈu	ˈuː	0.072
ˈuə̯	ˈɔ	0.284
ˈuə̯	ˈɛː	0.19
ˈuə̯	ˈɔu̯	0.166
ˈuə̯	ˈɑu̯	0.166
ˈuː	ˈɔ	1.0
ˈæ	ˈɛ	0.392
ˈæ	ˈa	0.211
ˈæ	ˈaːi̯	0.211
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.883
ˈæːɪ̯	ˈi	0.099
ˈæːʊ̯	ˈuː	0.894
ˈæːʊ̯	ˈiː	0.075
ˈɑ	ˈa	0.3
ˈɑ	ˈi	0.186
ˈɑ	ˈœ	0.145
ˈɑ	ˈɪ	0.096
ˈɑ	u	0.073
ˈɑɪ̯	ˈiː	0.624
ˈɑɪ̯	ˈʏː	0.097
ˈɑɪ̯	ˈɔ	0.067
ˈɑɪ̯	ˈɛː	0.067
ˈɑɪ̯	ˈʏ	0.065
ˈɔ	ˈu	0.574
ˈɔ	ˈʏ	0.269
ˈə	ˈɪː	0.279
ˈə	ˈɪ	0.191
ˈə	ˈai̯	0.176
ˈə	ˈɔu̯	0.101
ˈə	ˈa	0.075
ˈəɪ̯	j_ˈoːu̯	0.237
ˈəɪ̯	ˈɑːu̯	0.166
ˈəɪ̯	ˈaːi̯	0.123
ˈəɪ̯	j	0.107
ˈəɪ̯	j_ˈuː	0.093
ˈəʊ̯	ˈœːy̯	0.372
ˈəʊ̯	ˈoːu̯	0.182
ˈəʊ̯	ˈɑːu̯	0.182
ˈəʊ̯	ˈɛːi̯	0.122
ˈəʊ̯	ˈiː	0.072
ˈɛ	ˈɛ	0.794
ˈɛ	ˈɛː	0.154
ˈɛː	ˈa	0.488
ˈɛː	ˈœ	0.133
ˈɛː	ˈɛ	0.123
ˈʊ	ˈoːu̯	0.699
ˈʊ	-	0.297
ˈʊɪ̯	ˈɔu̯	1.0
χ	k	0.349
χ	ɣ	0.188
χ	ʰt	0.164
χ	j	0.095
