Luxembourgish	Icelandic	probability
b	b̥	0.967
d	θ	0.485
d	d̥	0.335
d	ð	0.179
d̥	ð	0.566
d̥	d̥	0.328
d̥	-	0.068
e	aːu̯	0.908
e	ŋ	0.092
f	f	0.653
f	p	0.214
f	-	0.099
h	h	0.884
h	ç	0.116
j	ˈu	0.5
j	ˈɑːu̯	0.5
k	ɡ̊ː	0.316
k	k	0.192
k	ʰc	0.187
k	ʰk	0.159
k	ɟ̊ː	0.09
k	ɡ̊	0.056
kʰ	kʰ	0.609
kʰ	cʰ	0.338
kʰ	-	0.053
l	l	0.673
l	l̥	0.315
m	m	0.857
m	j	0.077
n	n	0.431
n	-	0.256
n	n̥	0.161
n	nː	0.152
p	ʰp	0.964
pʰ	pʰ	1.0
s	t	0.575
s	s	0.335
t	t	0.452
t	ð	0.416
t	-	0.132
v	v	0.743
v	-	0.146
v	kʰ_v	0.105
v̥	v	0.845
v̥	f	0.155
w	v	0.811
w	-	0.177
z	s	0.984
ŋ	ŋ	0.605
ŋ	ʏ	0.193
ŋ	n	0.106
ŋ	ɲ	0.057
ɐ	r̥	0.299
ɐ	r	0.265
ɐ	ɪ	0.185
ɐ	ʏ_r̥	0.145
ɕ	k	0.267
ɕ	ʏ_r̥	0.223
ɕ	x	0.167
ɕ	c	0.082
ɕ	ɡ̊	0.072
ɕ	s	0.069
ɕ	r̥	0.054
ɕ	ɣ	0.054
ə	a	0.687
ə	-	0.137
ɡ	ɡ̊	0.55
ɡ	ɟ̊	0.425
ɡ̊	ɡ̊	1.0
ʀ	r	0.889
ʀ	r̥	0.071
ʃ	s	1.0
ʑ	ɟ̊	1.0
ʦ	tʰ	0.614
ʦ	ʰt	0.221
ʦ	t	0.165
ˈaː	ˈa	0.33
ˈaː	ˈaː	0.191
ˈaː	ˈɑu̯	0.126
ˈaː	ˈœːy̯	0.096
ˈaː	ˈɔ	0.09
ˈaː	ˈɛ	0.051
ˈe	ˈiː	0.37
ˈe	ˈɪ	0.283
ˈe	ˈi	0.212
ˈe	ˈɛ	0.082
ˈe	ˈai̯	0.054
ˈeː	ˈɛːi̯	0.42
ˈeː	ˈɛi̯	0.239
ˈeː	ˈɛ	0.137
ˈeː	ˈœː	0.064
ˈeː	ˈɪː	0.059
ˈeː	ˈeːi̯	0.051
ˈi	ˈɛː	0.251
ˈi	ˈɑːu̯	0.227
ˈi	ˈoːu̯	0.181
ˈi	ˈou̯	0.132
ˈi	ˈaːi̯	0.114
ˈi	ˈi	0.095
ˈiə̯	ˈou̯	0.204
ˈiə̯	ˈœː	0.204
ˈiə̯	ˈɛː	0.204
ˈiə̯	j	0.182
ˈiə̯	ˈʏː	0.127
ˈiə̯	ˈɪː	0.08
ˈiː	j	0.474
ˈiː	ˈɛː	0.181
ˈiː	ˈɛ	0.092
ˈiː	ˈɪː	0.092
ˈiː	ˈɪ	0.064
ˈiː	ˈʏ	0.062
ˈo	ˈʏ	0.3
ˈo	ˈu	0.217
ˈo	ˈɔː	0.123
ˈo	ˈoːu̯	0.12
ˈo	ˈɔ	0.069
ˈo	ˈɪ	0.054
ˈo	ˈɪː	0.054
ˈoː	ˈɑːu̯	0.192
ˈoː	ˈau̯	0.188
ˈoː	ˈaːu̯	0.188
ˈoː	ˈœ	0.188
ˈoː	ˈɔː	0.114
ˈoː	-	0.083
ˈu	ˈʏː	0.32
ˈu	ˈa	0.24
ˈu	ˈoːu̯	0.188
ˈu	ˈaː	0.088
ˈu	ˈaːi̯	0.073
ˈu	ˈʏ	0.051
ˈuə̯	ˈɛː	0.503
ˈuə̯	ˈɔu̯	0.381
ˈuə̯	ˈɑu̯	0.069
ˈuː	ˈɔ	1.0
ˈæ	ˈɛ	0.613
ˈæ	ˈaːi̯	0.355
ˈæːɪ̯	ˈiː	0.822
ˈæːɪ̯	ˈi	0.089
ˈæːɪ̯	ˈɛ	0.089
ˈæːʊ̯	ˈuː	0.83
ˈæːʊ̯	ˈiː	0.17
ˈɑ	ˈa	0.268
ˈɑ	ˈɪ	0.192
ˈɑ	ˈi	0.153
ˈɑ	ˈœ	0.15
ˈɑ	ˈiː	0.06
ˈɑ	ˈaː	0.058
ˈɑɪ̯	ˈiː	0.577
ˈɑɪ̯	ˈʏ	0.094
ˈɑɪ̯	ˈɪ	0.08
ˈɑɪ̯	ˈɛː	0.074
ˈɑɪ̯	ˈɔ	0.071
ˈɑɪ̯	ˈʏː	0.071
ˈɑʊ̯	ˈuː	0.81
ˈɑʊ̯	ˈʏ	0.19
ˈɔ	ˈʏ	0.602
ˈɔ	ˈu	0.398
ˈə	ˈʏ	0.295
ˈə	ˈai̯	0.18
ˈə	ˈɪ	0.179
ˈə	ˈɪː	0.143
ˈə	ˈa	0.052
ˈəʊ̯	ˈœːy̯	0.401
ˈəʊ̯	ˈoːu̯	0.23
ˈəʊ̯	ˈaːu̯	0.134
ˈəʊ̯	ˈɑːu̯	0.133
ˈəʊ̯	ˈiː	0.055
ˈɛ	ˈɛ	0.721
ˈɛ	ˈau̯	0.174
ˈɛ	ˈɛː	0.104
ˈɛː	ˈa	0.527
ˈɛː	ˈœ	0.282
ˈɛː	ˈɛ	0.191
ˈɜɪ̯	j	0.466
ˈɜɪ̯	ˈɑːu̯	0.132
ˈɜɪ̯	ˈaːi̯	0.112
ˈɜɪ̯	ˈaːu̯	0.064
ˈɜɪ̯	ˈœːy̯	0.064
ˈʊ	ˈoːu̯	0.699
ˈʊ	-	0.301
χ	k	0.522
χ	ɣ	0.286
χ	ʰt	0.125
χ	j	0.067
