Latvian	Proto-Balto-Slavic	probability
ˈɛː	a	1.0
ˈæ	é	1.0
ˈuː	úːˀ	1.0
ˈiɛ̯_k	ái̯ˀ	1.0
ˈai̯	ai̯	1.0
ʧ	k	1.0
ʦ	k	1.0
ʎ	l_j	1.0
ʃ	ʃ	1.0
ɲ	n	1.0
ɡ̊	ɡ_a	1.0
ɡ_z	z	1.0
ɡ	ɡ	1.0
ɛ_n	oː	1.0
æ	e	1.0
z̥	zʲ	1.0
z	zʲ	1.0
w	w_á	1.0
v_ˈæː	w	1.0
v_ˈiɛ̯	ai̯ˀ	1.0
v	w	1.0
uɔ̯_ɲ	óː	1.0
u	-	1.0
r̩	r	1.0
p	p	1.0
m	m	1.0
l̩	l_a	1.0
d̥	d_a	1.0
d	d	1.0
b̥	m_b	1.0
b	b	1.0
aː	oːˀ	1.0
k	k	0.885
t	t	0.85
ˈiɛ̯	ei̯	0.739
n	n	0.731
s	s	0.719
l	l	0.705
r	r	0.7
i	-	0.686
a	aːˀ	0.625
ˈa	á	0.623
ˈaː	a	0.59
ɛ	-	0.578
ˈɛ	é	0.544
ˈiː	iːˀ	0.5
ˈiː	éi̯ˀ	0.5
ˈau̯	áu̯ˀ	0.5
ˈau̯	au̯	0.5
ˈi	í	0.473
ˈuɔ̯	-	0.423
ˈaː	áːˀ	0.41
ˈi	i	0.402
a	áːˀ	0.375
ˈɛ	e	0.344
i	i	0.314
l	lˀ	0.295
ˈuɔ̯	á_ŋ	0.288
n	n_a	0.269
ˈiɛ̯	ái̯	0.261
ɛ	aːˀ	0.253
r	rˀ	0.2
s	sʲ	0.171
ɛ	eː	0.169
ˈa	a	0.166
ˈa	-	0.162
ˈuɔ̯	ŋˀ	0.154
t	t_ei̯	0.15
ˈuɔ̯	nˀ	0.135
ˈi	éː	0.125
k	-	0.115
ˈɛ	ɛ	0.112
r	r_a	0.1
s	ʃ	0.065
