Pennsylvania German	English	probability
b	b	1.0
d	d	0.5
d	θ	0.255
d	ð	0.186
d	t	0.036
d	-	0.032
f	f	0.676
f	p	0.217
f	v	0.104
h	h	1.0
j	j	0.401
j	ˈeɪ̯	0.265
j	əʊ̯	0.11
j	ˈaɪ̯	0.104
k	ʤ	0.361
k	k	0.307
k	-	0.222
k_ə	k	1.0
kʰ	kʰ	0.608
kʰ	ʧ	0.362
kʰ	-	0.038
l	l	0.497
l	ɫ	0.442
l	-	0.057
m	m	0.991
m	-	0.031
n	n	0.775
n	-	0.201
n	ɫ	0.029
p	f	0.496
p	p	0.206
p	-	0.136
p	d	0.043
p͡f	pʰ	0.489
s	s	0.598
s	t	0.318
s	z	0.067
s	-	0.029
s_ə	t	1.0
t	d	0.616
t	t	0.175
t	θ	0.108
t	-	0.092
v	v	0.829
v	w	0.137
x	t	0.444
x	k	0.2
x	f	0.109
x	-	0.098
x	ʧ	0.098
ç	-	0.252
ç	k	0.252
ç	ʧ	0.252
ç	d	0.145
ç	f	0.071
ç_t	t	1.0
ŋ	ŋ	0.774
ŋ	ŋ_ɡ	0.219
ɑ	ə	0.785
ɑ	-	0.117
ɑ	ˈɔː	0.047
ɑ	ˈaɪ̯	0.043
ə	-	0.931
ə	ə	0.066
ɡ	ɡ	0.837
ɡ	-	0.102
ɡ	j	0.06
ɣ_l	ɫ	1.0
ɪ	-	0.435
ɪ	ɪ	0.196
ɪ	ŋ	0.196
ɪ	əʊ̯	0.126
ɪ_ç	ɪ	1.0
ɾ	ɹ	0.771
ɾ	-	0.19
ɾ	z	0.037
ʃ	s	0.638
ʃ	ʃ	0.357
ʋ	w	0.855
ʋ	-	0.142
ʦ	tʰ	0.665
ʦ	t	0.262
ʦ	d	0.064
ˈa	ˈæ	0.266
ˈa	ˈeɪ̯	0.163
ˈa	ˈɔː	0.134
ˈa	ˈɒ	0.104
ˈa	ˈɑː	0.077
ˈaɪ̯	ˈaɪ̯	0.591
ˈaɪ̯	ˈɪ	0.1
ˈaɪ̯	ˈiː	0.1
ˈaɪ̯	ˈe	0.066
ˈaɪ̯	j	0.056
ˈaʊ̯	ˈaʊ̯	0.803
ˈaʊ̯	ˈaɪ̯	0.098
ˈaʊ̯	ˈiː	0.072
ˈaː	ˈɔː	0.321
ˈaː	ˈɑː	0.321
ˈaː	ˈɜː	0.313
ˈeː	ˈəʊ̯	0.308
ˈeː	ˈe	0.203
ˈeː	ˈiː	0.131
ˈeː	ˈɪ	0.105
ˈeː	ˈəʊ̯_n	0.08
ˈiː	ˈiː	0.676
ˈiː	ˈɪ	0.175
ˈiː	ˈɔː	0.076
ˈiː	-	0.059
ˈoː	ˈiː	0.38
ˈoː	ˈe	0.162
ˈoː	ˈəʊ̯	0.087
ˈoː	ˈeɪ̯	0.087
ˈoː	ˈɪ	0.067
ˈuː	ˈʊ	0.397
ˈuː	ˈɐ	0.25
ˈuː	ˈaʊ̯	0.217
ˈuː	ˈuː	0.104
ˈɔ	ˈʊ	0.302
ˈɔ	ˈɒ	0.195
ˈɔ	ˈəʊ̯	0.14
ˈɔ	ˈɐ	0.128
ˈɔ	ˈaʊ̯	0.095
ˈɔɪ̯	ˈe	0.489
ˈɔː	ˈeɪ̯	0.23
ˈɔː	ˈiː	0.212
ˈɔː	ˈɛ	0.09
ˈɔː	-	0.078
ˈɔː	ˈəʊ̯	0.078
ˈɔː_ɣ	ˈeɪ̯	1.0
ˈɛ	ˈe	0.425
ˈɛ	ˈɪ	0.184
ˈɛ	-	0.09
ˈɛ	ˈiː	0.09
ˈɛ	ˈaɪ̯	0.09
ˈɛː	ˈɛ	0.183
ˈɛː	ˈɔː	0.179
ˈɛː	ˈæ	0.123
ˈɛː	ˈiː	0.123
ˈɛː	ɹ	0.123
ˈɛː_ɑ	ˈɑː	1.0
ˈɪ	ˈɪ	0.673
ˈɪ	ˈaɪ̯	0.155
ˈɪ	ˈe	0.083
ˈɪ	ˈiː	0.043
ˈɪ	ˈəʊ̯	0.043
ˈɪ_ç	ˈaɪ̯	0.239
ˈʊ	ˈɐ	0.503
ˈʊ	ˈaʊ̯	0.149
ˈʊ	ˈuː	0.085
ˈʊ	ˈɪ	0.067
ˈʊ	ˈe	0.067
