Emilian	Romansch	probability
a	ə	0.888
a	-	0.079
b	b	0.785
b	v	0.137
b	ʥ	0.064
d	d	0.681
d	t	0.141
d	-	0.093
e	ə	0.566
e	j	0.198
e	-	0.155
e	e	0.058
e_r	r	1.0
f	f	1.0
i	ə	0.53
i	i	0.265
i	u	0.168
j	j	0.319
j	l	0.265
j	-	0.17
j	ʎ	0.145
j_ˈɔː	ˈi	1.0
j_ˈɛ	ˈaː	1.0
k	ʨ	0.479
k	k	0.462
l	l	0.854
l	ʎ	0.104
m	m	0.992
n	n	0.912
o	-	0.758
o	w	0.101
p	p	0.907
p	v	0.067
r	r	0.954
r_e	r	1.0
s	s	0.64
s	ʃ	0.328
t	t	0.677
t	ʨ	0.192
t	-	0.054
u	u	0.603
u	i	0.159
u	o	0.138
u	ˈɔ	0.083
v	v	0.707
v	f	0.16
v	-	0.078
w	-	0.461
w	w	0.315
w	u	0.208
z	ʃ	0.617
z	s	0.198
z	d	0.128
z	ʧ	0.056
ð	ʥ	0.347
ð	ʃ_ə	0.272
ð	ʃ	0.136
ð	ʦ	0.136
ð	ɡ	0.077
ŋ	n	0.638
ŋ	-	0.108
ŋ	w_n	0.095
ŋ	ŋ	0.094
ɡ	ɡ	0.472
ɡ	-	0.177
ɡ	w	0.167
ɡ	ʥ	0.105
ɡ	k	0.061
ɲ	ɲ	0.55
ɲ	j_n	0.191
ɲ	n	0.126
ɲ	ʥ	0.126
ʤ	ʃ	0.561
ʤ	ɡ_l	0.425
ʧ	ʎ	0.777
ʧ	k_l	0.213
ˈa	ˈa	0.573
ˈa	ˈe	0.143
ˈa	ˈɛ	0.081
ˈa	ˈeː	0.055
ˈa	ˈi	0.055
ˈaː	ˈa	0.585
ˈaː	ˈɔ	0.159
ˈaː	ˈu	0.072
ˈaː	ˈɛ	0.054
ˈe	ˈi	0.735
ˈe	ˈa	0.095
ˈe	ˈɛ	0.095
ˈe	ˈiː	0.077
ˈi	ˈi	0.803
ˈi	ˈɛ	0.093
ˈiː	ˈi	0.231
ˈiː	ˈiː	0.224
ˈiː	j	0.179
ˈiː	ˈi_ə	0.123
ˈiː	-	0.069
ˈiː	ˈe	0.069
ˈiː	ˈɛ	0.067
ˈo	ˈu	0.471
ˈo	ˈi	0.332
ˈo	ˈe	0.079
ˈo	ˈɔː	0.077
ˈuː	ˈi	0.283
ˈuː	j_ˈɛ	0.267
ˈuː	ˈu	0.267
ˈuː	ˈiː	0.096
ˈuː	ˈɛ	0.076
ˈæ	j	0.473
ˈæ	ˈɛ	0.239
ˈæ	-	0.158
ˈæ	ˈi	0.111
ˈɔ	ˈu	0.461
ˈɔ	ˈɔ	0.396
ˈɔ	ˈɛ	0.077
ˈɔː	ˈɔ	0.396
ˈɔː	ˈa_w	0.23
ˈɔː	ˈu	0.129
ˈɔː	ˈɔː	0.112
ˈɔː	ˈoː	0.074
ˈɔː	ˈi	0.054
ˈɛ	ˈa	0.42
ˈɛ	ˈɛ	0.263
ˈɛ	ˈaː	0.215
ˈɛ	ˈɛː	0.051
ˈɛ_l	ˈɛ	1.0
ˈɛ_ɡ	ˈa	1.0
ˈɛː	ˈeː	0.297
ˈɛː	ˈɛ	0.297
ˈɛː	ˈɛː	0.297
ˈɛː	ˈa	0.076
ˈʌ	ˈu	0.79
ˈʌ	ˈuɔ̯	0.155
ˈʌ	ˈɔ	0.058
ˈʌu̯	ˈu	0.621
ˈʌu̯	ˈuː	0.142
ˈʌu̯	ˈo	0.095
ˈʌu̯	ˈe	0.087
ˈʌu̯	u	0.052
θ	ʧ	0.64
θ	s	0.122
θ	t	0.077
θ	d	0.06
θ	l	0.059
θ	ʦ	0.054
