Logudorese	Logudorese	probability
ˈɛ	ˈɛ	1.0
ˈɔ_ɾ	ˈɔ_ɾ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈe	ˈe	1.0
ˈa_ɣ	ˈa_k	1.0
ʣ	ʣ	1.0
ʃ	s	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	ɾ_u	1.0
ɾ_t	ɾ_t	1.0
ɾ_k	ɾ_k	1.0
ɾ_a	ɾ_a	1.0
ɲ	ɲ	1.0
ɛ̆	ɛ̆	1.0
ɛ_ɾ	ɛ_ɾ	1.0
ɛ_n	ɛ_n	1.0
ɖː	ɖː	1.0
ɔ̆	ɔ̆	1.0
ɔ_#>	ɔ_#>	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
z	z	1.0
ŭ	ŭ	1.0
t_ˈa	t_ˈa	1.0
t	t	1.0
s_a	s_a	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_d	nː	1.0
n	n	1.0
m_b	m	1.0
m	m	1.0
l_ɛ	l_ɛ	1.0
l	l	1.0
k	k	1.0
f	f	1.0
d	d	1.0
ă	ă	1.0
a_z	a_z	1.0
a_m	a_m	1.0
a_l	a_l	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
ɛ	ɛ	0.952
ˈa	ˈa	0.942
ɾ	ɾ	0.942
u	u	0.93
i	i	0.892
ˈi	ˈi	0.884
b	b	0.86
ɣ	k	0.857
ð	t	0.8
e	e	0.8
ɡ	ɡ	0.75
ʦ	ʦ	0.714
<#_ɾ	<#_ɾ	0.667
β	β	0.5
β	p	0.5
j	j	0.5
<#_ɾ	<#_r	0.333
ʦ	-	0.286
ɡ	-	0.25
j	k_ɾ	0.25
ð	ð	0.2
e	-	0.2
j	-	0.15
ɣ	ɣ	0.143
b	ɡ	0.14
ˈi	ˈi_β	0.116
i	ð_i	0.108
j	ɾ	0.1
ˈa	β_ˈa	0.058
ɾ	-	0.058
