Piedmontese	Gascon	probability
f	h	1.0
ɲ	ɲ	1.0
ˈə	ˈe	1.0
a	-	0.051
i	j	0.1
j	j	0.191
l	t	0.231
m	m_i	0.071
u	u	0.641
z	z	0.081
ŋ	n	0.241
ˈu	u_z	0.071
ˈɛ	-	0.1
e	e	0.952
r	ɾ_e	0.132
r	a_r	0.132
t	t	0.972
v	β	0.362
w	w	0.942
z	-	0.2
ʤ	ʒ	0.662
ˈa	ˈa	0.92
ˈu	ˈy	0.222
ˈø	ˈɔ	0.212
ˈø	w_ˈe	0.612
d	t	0.153
d	ð	0.223
l	w	0.133
m	m	0.853
n	ŋ	0.193
r	r	0.33
u	ˈu	0.183
d	ʤ	0.054
d	d	0.544
k	k	0.954
p	p	0.94
s	j_ʃ	0.154
ˈe	ˈi	0.074
ˈi	ˈi	0.684
ˈy	ˈy	0.884
b	-	0.055
b	β	0.175
i	i	0.415
i	e	0.485
r	ɾ	0.355
v	p	0.055
v	-	0.095
z	ʦ	0.545
ʧ	s	0.245
ʧ	-	0.755
ˈe	ˈa	0.465
ˈɛ	ˈe	0.525
l	l	0.636
m	nː	0.076
p	-	0.06
ɡ	ɣ	0.056
ɡ	ɡ	0.496
ˈe	ˈɛ	0.196
ˈy	ˈu	0.116
ˈø	ˈu	0.106
ˈɔ	ˈa_w	0.266
ˈɔ	ˈɔ	0.506
ˈɛ	ˈɛ	0.376
b	b	0.77
u	a	0.177
ŋ	ŋ	0.7
ˈø	ˈa	0.07
j	-	0.118
j	l	0.308
j	ʎ	0.338
v	b	0.488
w	-	0.058
z	s	0.138
ɡ	k	0.448
ʤ	-	0.338
ˈu	ˈu	0.688
a	a	0.229
a	ɔ	0.69
n	-	0.109
n	n	0.699
s	s	0.759
ŋ	-	0.059
ˈe	ˈe	0.239
ˈi	ˈe	0.289
ˈɔ	ˈe	0.099
ˈɔ	ˈu	0.129
