Yiddish	East Low German	probability
a	-	1.0
b	b	0.753
b	f	0.12
b	-	0.051
d	d	0.758
d	ɾ	0.179
d	-	0.063
f	f	0.738
f	p	0.237
h	h	0.981
j	j	1.0
k	kʰ	0.477
k	k	0.276
k	ç	0.242
l	l	1.0
m	m	0.881
m	v	0.077
n	n	0.82
n	-	0.11
n	m	0.064
p	p	0.667
p	f	0.333
s	t	0.847
s	s	0.134
t	t	0.591
t	d	0.358
t	ɾ	0.051
v	v	0.874
v	w	0.052
z	z	0.64
z	s	0.36
ŋ	ŋ	0.918
ŋ	n	0.082
ə	æ	0.764
ə	-	0.172
ə	ɾ	0.064
ɛ	-	1.0
ɡ	ɡ	0.408
ɡ	ç	0.185
ɡ	-	0.151
ɡ	j	0.117
ɡ	x	0.085
ɡ	k	0.055
ɪ	ɪ	1.0
ʀ	æ	0.576
ʀ	r	0.398
ʃ	ʃ	0.973
ʎ	l	1.0
ʦ	tʰ	0.537
ʦ	t	0.463
ʧ	ʃ	1.0
ˈa	ˈa	0.699
ˈa	ˈɒː	0.061
ˈa	ˈaʊ̯	0.059
ˈa	ˈɪ	0.059
ˈa	ˈœː	0.056
ˈaɪ̯	ˈiː	0.49
ˈaɪ̯	ˈʏ	0.175
ˈaɪ̯	ˈyː	0.134
ˈaɪ̯	ˈɪ	0.088
ˈaɪ̯	ˈɛː	0.083
ˈi	ˈœː	1.0
ˈɔ	ˈɒː	0.216
ˈɔ	ˈuː	0.169
ˈɔ	ˈɔ	0.157
ˈɔ	ˈɛː	0.113
ˈɔ	ˈoː	0.1
ˈɔ	ˈa	0.072
ˈɔ	ˈʊ	0.053
ˈɔɪ̯	ˈaʊ̯	0.429
ˈɔɪ̯	ˈuː	0.386
ˈɔɪ̯	ˈɒː	0.063
ˈɔɪ̯	ˈɔʏ̯	0.054
ˈɛ	ˈɛ	0.215
ˈɛ	ˈɛː	0.11
ˈɛ	ˈae̯	0.095
ˈɛ	ˈøː	0.089
ˈɛ	ˈyː	0.088
ˈɛ	ˈiː	0.085
ˈɛ	ˈɪ	0.066
ˈɛ	ˈœ	0.065
ˈɛ	ˈœː	0.062
ˈɛɪ̯	ˈae̯	0.726
ˈɛɪ̯	ˈɔʏ̯	0.157
ˈɛɪ̯	ˈɪ	0.062
ˈɛɪ̯	ˈɒː	0.055
ˈɪ	ˈɪ	0.425
ˈɪ	ˈiː	0.172
ˈɪ	ˈʏ	0.109
ˈɪ	ˈae̯	0.093
ˈɪ	ˈɔʏ̯	0.066
ˈɪ	ˈɛ	0.055
ˈʊ	ˈʊ	0.432
ˈʊ	ˈaʊ̯	0.264
ˈʊ	ˈuː	0.09
χ	k	0.366
χ	x	0.306
χ	ç	0.214
χ	-	0.114
