Limburgish	North Frisian	probability
i	ɛi̯	1.0
w	lʲ	1.0
ŋ	ŋ	1.0
ɡ	d	1.0
ɦ	h	1.0
ɪ	i	1.0
ˈʊ	ˈʊ	1.0
d̥	dʲ	0.181
d̥	d	0.541
k	w	0.071
s	ʃ	0.191
ɣ	w	0.121
ɣ	-	0.121
ʀ	r	0.911
ˈaː	ˈɔː	0.061
ˈaː	-	0.11
ˈeː	j	0.151
ˈi	ˈuː	0.21
ˈoː	ˈyː	0.1
ˈøː	ˈɔu̯	0.181
ˈœi̯	ˈiː	0.111
ˈœi̯	ˈøː	0.331
ˈɑ	ˈɒ	0.341
ˈɔu̯	ˈʏ	0.191
m	m	0.972
p	p	0.872
v	v	0.2
ˈi	ˈa	0.172
ˈyː	ˈiː	0.562
ˈæ	ˈeː	0.382
ˈɔ	ˈɔː	0.562
ˈɔu̯	ˈɔu̯	0.112
ˈɔu̯	ˈøː	0.442
ˈɔː	ˈœ	0.102
f	n	0.463
j	-	0.43
n	n	0.863
v	f	0.733
ˈaː	ˈɒː	0.063
ˈaː	ˈeː	0.073
ˈaː	ˈɒ	0.103
ˈeː	ˈɔː	0.063
ˈiː	ˈiː	0.233
ˈu	ˈuː	0.153
ˈuː	ˈuː	0.23
ˈuː	ˈyː	0.563
ˈæ	ˈʊ	0.53
ˈæː	ˈeː	0.393
ˈœ	ˈeː	0.333
ˈɑ	ˈuː	0.083
ˈɑː	ˈɔu̯	0.073
ˈɒː	ˈɔu̯	0.373
ˈɛː	ˈaː	0.103
ˈɪː	ˈœ	0.083
ˈʊː	ˈaː	0.053
ˈʏ	ˈeː	0.33
β	v	0.853
d	t	0.24
n	nʲ	0.114
x	k	0.104
z	ʃ	0.054
ʃ	ʃ	0.894
ˈaː	ˈuː	0.124
ˈoː	ˈa	0.154
ˈu	ˈiː	0.334
ˈu	ˈyː	0.514
ˈøː	ˈøː	0.164
ˈœ	w	0.164
ˈœ	ˈʏ	0.164
ˈœː	ˈœ	0.804
ˈɑ	ˈɔː	0.064
ˈɑ	ˈyː	0.064
ˈɔu̯	ˈuː	0.254
ˈɛ	ˈi	0.374
ˈɪ	ˈa	0.414
ˈɪː	ˈi	0.204
ˈʊː	ˈœ	0.054
ˈʊː	ˈʊ	0.344
j	l	0.085
x	x	0.635
ˈaː	ˈa	0.085
ˈaː	ˈœ	0.165
ˈi	ˈɛi̯	0.195
ˈi	ˈiː	0.35
ˈyː	ˈʏ	0.105
ˈyː	ˈyː	0.305
ˈøː	ˈɛ	0.245
ˈœi̯	ˈyː	0.105
ˈɑː	ˈœ	0.55
ˈɒː	ˈɛi̯	0.095
ˈɒː	ˈɒː	0.095
ˈɔː	ˈaː	0.175
ˈɛː	ˈɔː	0.055
ˈɛː	ˈuː	0.055
ˈɛːi̯	ˈiː	0.345
ˈɪ	ˈɒ	0.115
ˈɪː	ˈu	0.065
ˈʊː	ˈuː	0.065
ˈʊː	ˈyː	0.135
d	tʲ	0.086
d̥	lʲ	0.126
k	-	0.076
v	-	0.066
v̥	v	0.086
v̥	ə_v	0.336
ʃ	s	0.106
ˈaː	ˈʊ	0.16
ˈeː	ˈeː	0.136
ˈoː	ˈɔu̯	0.076
ˈoː	ˈœi̯	0.166
ˈoː	ˈøː	0.166
ˈøː	ˈɔ	0.146
ˈœi̯	ˈai̯	0.106
ˈœː	ˈɔ	0.196
ˈɔ	ˈa	0.056
ˈɔ	ˈʊ	0.206
ˈɔː	ˈɔ	0.056
ˈɔː	ˈʊ	0.06
ˈɔː	ˈuː	0.566
ˈɛ	-	0.166
ˈɛ	ˈaː	0.166
ˈɛ	ˈeː	0.176
ˈɛː	ˈɒː	0.056
ˈɛː	ˈiː	0.376
ˈɪ	ˈɔː	0.306
ˈʊː	ˈɛ	0.06
ˈʊː	ˈɔ	0.196
d	-	0.187
f	v	0.537
k	ʃ	0.07
k	k	0.777
t	d	0.107
t	tʲ	0.187
ˈiː	ˈyː	0.077
ˈoː	ˈœ	0.337
ˈuː	ˈøː	0.207
ˈɑ	ˈɒː	0.27
ˈɑː	ˈɛi̯	0.27
ˈɒː	ˈɛː	0.197
ˈɛ	ˈa	0.117
ˈɛː	ˈœ	0.087
ˈɛːi̯	ˈɔi̯	0.307
ˈɪ	ˈi	0.067
ˈɪː	ˈiː	0.117
ˈɪː	ˈai̯	0.177
ˈɪː	ˈʊ	0.177
ˈʏ	ˈʊ	0.67
ˈʏː	ˈyː	0.957
b	b	0.98
d	d	0.488
j	ˈiː	0.08
p	v	0.058
t	t	0.618
v̥	f	0.578
ə	-	0.218
ɣ	ɡ	0.528
ˈeː	ˈiː	0.298
ˈæ	ˈai̯	0.088
ˈæː	ˈɛ	0.398
ˈøː	ˈi	0.158
ˈœi̯	ˈʏ	0.348
ˈɑ	ˈa	0.178
ˈɑː	ˈɒ	0.108
ˈɒː	ˈɔː	0.148
ˈɔ	-	0.108
ˈɛː	ˈai̯	0.068
ˈɛː	ˈɒ	0.08
ˈɛːi̯	ˈi	0.348
ˈɪ	ˈʊ	0.098
ˈɪː	ˈɛ	0.088
ˈɪː	ˈa	0.088
j	dʲ	0.359
l	l	0.979
s	s	0.759
x	j	0.179
z	s	0.929
ə	ə	0.759
ɣ	j	0.229
ˈeː	ˈɛː	0.159
ˈiː	ˈi	0.689
ˈæː	ˈa	0.209
ˈøː	ˈɛi̯	0.09
ˈœ	ˈʊ	0.29
ˈɔ	ˈʏ	0.069
ˈɛː	ˈi	0.119
β	-	0.09
