Dutch	Swiss German	probability
b	b̥	0.934
b	-	0.066
d	t	0.533
d	d̥	0.367
d	tː	0.068
d	ʦ	0.037
f	f	0.502
f	b̥	0.359
f	p	0.096
j	j	1.0
k	χ	0.76
k	k	0.194
k	ɡ̊	0.044
l	l	1.0
m	m	0.947
m	mː	0.053
n	-	0.574
n	n	0.397
n_t	ŋ	1.0
p	f	0.461
p	p͡f	0.339
p	fː	0.099
p	p	0.075
s	ʃ	0.543
s	s	0.357
s	χ_s	0.067
s	sː	0.036
s_χ	ʃ	1.0
t	t	0.407
t	ʦ	0.173
t	sː	0.136
t	d̥	0.13
t	s	0.08
v	f	0.827
v	b̥	0.139
v	-	0.037
w	ˈeː	0.372
w	ˈøi̯	0.182
z	s	0.792
z	ʃ	0.146
z	-	0.051
ŋ	ŋ	0.821
ŋ	ɡ̊	0.145
ə	ə	0.728
ə	-	0.217
ə	i	0.049
ɦ	h	1.0
ɪ	i	0.491
ɫ	l	0.931
ɫ	-	0.034
ɫ	w	0.034
ɾ	r	0.966
ɾ_s	ʃ	1.0
ʋ	ʋ	1.0
ˈaː	ˈɒː	0.408
ˈaː	ˈɒ	0.234
ˈaː	ˈoː	0.109
ˈaː	ˈæ	0.063
ˈaː	ˈæː	0.063
ˈeː	ˈæ	0.307
ˈeː	ˈei̯	0.117
ˈeː	ˈɛi̯	0.099
ˈeː	ˈæː	0.086
ˈeː	ˈy	0.057
ˈi	ˈyː	0.374
ˈi	ˈiə̯	0.211
ˈi	ˈy	0.136
ˈi	ˈeː	0.136
ˈi	ˈæː	0.063
ˈoː	ˈoː	0.289
ˈoː	ˈo	0.241
ˈoː	ˈou̯	0.14
ˈoː	ˈøː	0.122
ˈoː	ˈau̯	0.106
ˈu	ˈuə̯	0.515
ˈu	ˈyə̯	0.419
ˈu	ˈyː	0.065
ˈyː	ˈyː	1.0
ˈøː	ˈɒ	1.0
ˈœy̯	ˈuː	0.703
ˈœy̯	ˈyː	0.29
ˈɑ	ˈɒ	0.544
ˈɑ	ˈɒː	0.19
ˈɑ	ˈa	0.101
ˈɑ	ˈæ	0.06
ˈɑ	ˈø	0.046
ˈɑu̯	ˈɒ_l	0.398
ˈɑu̯	l	0.229
ˈɑu̯	ˈa	0.148
ˈɑu̯	ˈau̯	0.148
ˈɔ	ˈu	0.45
ˈɔ	ˈo	0.422
ˈɔ	ˈuː	0.075
ˈɔ	ˈøi̯	0.049
ˈɛ	ˈæ	0.429
ˈɛ	ˈy	0.198
ˈɛ	ˈe	0.146
ˈɛ	ˈi	0.1
ˈɛ	ˈɒː	0.066
ˈɛi̯	ˈiː	0.553
ˈɛi̯	ˈæi̯	0.141
ˈɛi̯	ˈyː	0.093
ˈɛi̯	ˈei̯	0.073
ˈɛi̯	ˈɛi̯	0.061
ˈɪ	ˈi	0.84
ˈɪ	ˈiə̯	0.087
ˈɪ	ˈe	0.048
ˈɪ	ˈiː	0.04
ˈʏ	ˈu	0.488
ˈʏ	ˈø	0.275
ˈʏ	ˈy	0.044
χ	ɡ̊	0.722
χ	χ	0.251
χ	-	0.03
