Provençal	Provençal	probability
ˈỹ	ˈy	1.0
ˈu_s	ˈu_s	1.0
ˈĩ	ˈi	1.0
ˈi_#>	ˈiː_#>	1.0
ˈe_ʀ	r_t	1.0
ˈe_n	ŋ	1.0
ˈã	ˈa	1.0
ˈa_#>	ˈaː_#>	1.0
ʧ	t	1.0
ʀ_s	r_s	1.0
ʀ_#>	u_#>	1.0
ɲ	ɲ	1.0
ɥ_ˈɔ	ˈøː	1.0
ɥ_ˈe	ˈø	1.0
ɔ_#>	#>	1.0
ŋ_d	n	1.0
w_ˈẽ	ˈu	1.0
w_b	r_b	1.0
ũ	u	1.0
s_e	s_e	1.0
p_ˈe	p_ˈe	1.0
p_l	ʧ	1.0
p	p	1.0
n_ɔ	ŋ_a	1.0
mː	e_m	1.0
m_#>	m_e_#>	1.0
m	m	1.0
lː	-	1.0
k_ɾ	k_r	1.0
k_l	ʧ	1.0
j_ɾ	ˈɛː	1.0
j_ɔ	ʤ_a	1.0
j_s	ʃ	1.0
j_#>	#>	1.0
ĩ	i	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
b_l	ʤ	1.0
ã	a	1.0
a_d	ɥ	1.0
<#_ˈa	<#_ˈɛː	1.0
<#_ʤ	<#_z	1.0
<#_ʀ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_f_l	<#_ʃ	1.0
<#_d	<#_d	1.0
<#	<#_ɔː	1.0
v	v	0.923
t	t	0.905
ɔ	a	0.902
k	k	0.896
s	s	0.854
ˈẽ	ˈe	0.833
ɡ	ɡ	0.8
a	a	0.786
ŋ	ŋ	0.771
d	-	0.769
ˈũ	ˈu	0.75
n	n	0.75
#>	u_#>	0.717
ɾ_ɔ	j_a	0.667
y	-	0.667
b	b	0.65
ʀ	r	0.643
l	l	0.625
ˈa_w	ˈɔː	0.6
ɾ	r	0.588
w_#>	u_#>	0.538
ˈi	ˈi	0.529
ʤ	ʤ	0.5
z	ʒ	0.5
u	u	0.5
s_#>	ʒ_e_#>	0.5
s_#>	#>	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
w_#>	#>	0.462
ˈu	ˈuː	0.458
ˈy	ˈyː	0.455
j	-	0.444
j_ˈe	ˈeː	0.429
e	e	0.413
ˈa	ˈaː	0.409
ˈa_w	j_ˈaː	0.4
w_ˈe	ˈɔ	0.4
w_ˈe	ˈøː	0.4
i	j	0.4
i	i	0.4
ˈe	ˈe	0.375
b	v	0.35
ˈɛ	ˈeː	0.345
ˈɛ	ˈe	0.345
ˈa	ˈa	0.341
ɾ_ɔ	a	0.333
y	y	0.333
j	ʤ_u	0.333
ɾ	-	0.324
u	w	0.3
ˈi	ˈiː	0.294
ˈu	ˈu	0.292
j_ˈe	ˈiː	0.286
j_ˈe	ˈe	0.286
e	u	0.283
#>	e_#>	0.283
w	l_u	0.28
ˈy	ˈy	0.273
ˈy	-	0.273
ˈũ	-	0.25
z	z	0.25
z	-	0.25
n	ɲ	0.25
l	-	0.25
d	d	0.231
ʀ	r_n	0.214
a	-	0.214
ˈe	ˈe_j	0.208
ɡ	-	0.2
w_ˈe	ˈɔː	0.2
w	-	0.2
u	-	0.2
i	-	0.2
ˈi	-	0.176
ˈɛ	ˈɛ	0.172
ˈẽ	-	0.167
ˈe	-	0.167
ʤ	ɡ	0.167
ʤ	z	0.167
ʤ	-	0.167
ŋ	ŋ_t	0.167
w	ˈɔː	0.16
ʀ	-	0.143
ˈɛ	ˈɛː	0.138
e	i	0.13
l	ʤ	0.125
w	v_e	0.12
ˈa	ˈɛː	0.114
j	ˈeː	0.111
j	j	0.111
k	ɡ_u	0.104
t	s	0.095
ɾ	j	0.088
ˈu	ˈy	0.083
ˈu	w_ˈiː	0.083
ˈu	-	0.083
ˈe	ˈeː	0.083
ˈe	u	0.083
ˈe	r_p	0.083
w	ˈu	0.08
w	v_u	0.08
w	j	0.08
v	-	0.077
e	ˈeː	0.065
e	j	0.065
ŋ	n	0.062
ɔ	u	0.059
