Sicilian	Sicilian	probability
ˈɛ_ʦː	ˈe	1.0
ˈu_ɾ	ˈo	1.0
ˈu_j	ˈa_t_ɾ_o_s	1.0
ˈi_ɾ	e_ʝ	1.0
ˈe	-	1.0
ˈa_ʈ	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_p	ˈa_β	1.0
ʧː	t	1.0
ʦː	-	1.0
ʦ	-	1.0
ʤː	-	1.0
ʐː	ˈe_r	1.0
ʐ	r	1.0
ʊ_#>	#>	1.0
ʈː	t	1.0
ʈ	t	1.0
ʃ	e_s	1.0
ɾ_a	ɾ_a	1.0
ɽ_ʊ	ɾ_o	1.0
ɽ_ɪ_#>	j_#>	1.0
ɽ	ɾ	1.0
ɲː	ɲ	1.0
ɲ	ɲ	1.0
ɪ_ɾ	ˈe_ɾ	1.0
ɟː	ʎ	1.0
ɟ	ʧ	1.0
ŋ	ŋ	1.0
ç	f_l	1.0
z_ʊ	z	1.0
z	s	1.0
w_ˈa	w_ˈa	1.0
w	-	1.0
tː_ɪ	j	1.0
t_ɪ_#>	#>	1.0
sː	s	1.0
s	s	1.0
r	ɾ	1.0
p_ˈi	p_ˈe	1.0
n_ɪ_#>	n_#>	1.0
n_t	ˈe_n	1.0
mː	m	1.0
m	m	1.0
l_ˈi	l_ˈe	1.0
kː	k	1.0
k_ɾ	k_ɾ	1.0
fː	f	1.0
f	f	1.0
dː	ð	1.0
d_ɪ	e	1.0
d	d	1.0
c	p_l	1.0
bː	β	1.0
<#_ˈɔ	<#_w	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_o	<#	1.0
<#_l	<#	1.0
<#_j	<#	1.0
n	n	0.951
a	a	0.951
ʊ	o	0.94
l	l	0.938
ɕ	θ	0.905
ɪ_#>	#>	0.887
<#_n	<#_n	0.857
p	p	0.844
ˈa	ˈa	0.839
b	b	0.818
k	k	0.8
#>	e_#>	0.778
ɾ	ɾ	0.762
ɖː	ʎ	0.75
ʃː	ʃ	0.667
j	-	0.667
cː	ʎ	0.667
v	b	0.643
ɡ	ɡ	0.636
t	t	0.613
ˈɔ	w_ˈe	0.6
ˈo	ˈo	0.6
ʤ	ʧ	0.6
u	o	0.6
nː	ɲ	0.6
ˈu	ˈu	0.571
tː	j_t	0.556
ˈɛ	j_ˈe	0.519
ˈi	ˈi	0.5
i	e	0.5
<#	<#_m	0.5
<#	<#_a	0.5
tː	t	0.444
ˈi	ˈe	0.405
ˈo	w	0.4
ʤ	-	0.4
nː	-	0.4
t	ð	0.387
ɡ	ɣ	0.364
ˈu	ˈo	0.357
v	β	0.357
ʃː	-	0.333
j	s	0.333
cː	ˈe_ʎ	0.333
ɖː	l	0.25
i	i	0.227
ˈɛ	j	0.222
#>	t_#>	0.222
ˈɔ	w	0.2
u	u	0.2
u	-	0.2
ˈɛ	ˈe	0.185
ɪ	ˈe	0.185
i	-	0.182
b	-	0.182
p	β	0.156
ɪ	ɾ	0.148
ɪ	b_ɾ	0.148
<#_n	<#	0.143
ˈɔ	ˈo	0.133
ɪ_#>	e_#>	0.113
ɪ	ˈi	0.111
ɪ	-	0.111
ɾ	l	0.095
ɕ	-	0.095
i	ˈi	0.091
ˈa	ˈe	0.089
k	ˈe_ɣ	0.075
k	ɣ	0.075
ˈɛ	-	0.074
ɪ	s	0.074
ɪ	o_s	0.074
ɪ	n	0.074
ɪ	e	0.074
ˈu	-	0.071
ˈa	-	0.071
ˈɔ	-	0.067
l	-	0.062
