Limburgish	North Frisian	probability
b	b	0.948
b	v	0.055
d	d	0.563
d	t	0.271
d	-	0.109
d	tʲ	0.049
f	v	0.521
f	f	0.186
f	n	0.169
j	-	0.407
j	dʲ	0.229
j	l	0.136
j	ˈiː	0.072
j	lʲ	0.07
k	k	0.687
k	-	0.23
k	h	0.044
k	ʃ	0.043
l	l	0.875
l	lʲ	0.059
l	l_v	0.039
l	-	0.03
m	m	1.0
n	n	0.776
n	nʲ	0.153
n	-	0.069
p	p	0.809
p	d	0.089
p	b	0.089
s	s	0.767
s	ʃ	0.196
s	z	0.036
t	t	0.427
t	d	0.204
t	-	0.125
t	tʲ	0.094
t	dʲ	0.063
v	f	0.762
v	v	0.135
v	-	0.094
w	lʲ	0.494
x	x	0.388
x	-	0.257
x	j	0.216
x	k	0.119
z	s	0.901
z	ʃ	0.054
z	z	0.051
ŋ	ŋ	1.0
ə	ə	0.673
ə	-	0.314
ə_x	i	1.0
ɡ	d	1.0
ɣ	ɡ	0.596
ɣ	j	0.217
ɣ	-	0.106
ɣ	w	0.07
ɦ	h	1.0
ɪ	i	1.0
ɪː	ˈai̯	0.494
ʀ	r	0.936
ʀ	j	0.034
ʃ	ʃ	0.803
ʃ	k	0.194
ʦ	ʃ	0.12
ˈaː	ˈuː	0.159
ˈaː	ˈeː	0.139
ˈaː	ˈʊ	0.139
ˈaː	ˈœ	0.122
ˈaː	ˈɛː	0.091
ˈeː	ˈiː	0.248
ˈeː	j	0.133
ˈeː	ˈɔː	0.096
ˈeː	ˈɛː_d	0.084
ˈeː	ˈeː	0.073
ˈi	ˈiː	0.433
ˈi	ˈa	0.143
ˈi	ˈɛi̯	0.143
ˈi	ˈɛː	0.074
ˈi	ˈeː	0.074
ˈiː	ˈi	0.488
ˈiː	ˈiː	0.424
ˈiː	ˈyː	0.082
ˈoː	ˈœ	0.422
ˈoː	ˈøː	0.158
ˈoː	ˈyː	0.158
ˈoː	ˈɔu̯	0.149
ˈu	ˈyː	0.51
ˈu	ˈuː	0.264
ˈu	ˈiː	0.2
ˈuː	ˈyː	0.749
ˈuː	ˈuː	0.233
ˈv	f	0.494
ˈyː	ˈiː	0.318
ˈyː	ˈøː	0.228
ˈyː	ˈyː	0.129
ˈæ	ˈʊ	0.608
ˈæ	ˈeː	0.262
ˈæː	ˈɛ	0.45
ˈæː	ˈeː	0.222
ˈæː	ˈa	0.126
ˈøː	ˈɛ	0.293
ˈøː	ˈɔu̯	0.255
ˈøː	ˈi	0.169
ˈøː	ˈɛi̯	0.152
ˈøː	ˈøː	0.059
ˈœ	w	0.304
ˈœ	ˈʊ	0.304
ˈœ	ˈeː	0.173
ˈœ	ˈɔː	0.106
ˈœi̯	ˈai̯	0.284
ˈœi̯	ˈøː	0.175
ˈœi̯	ˈyː	0.175
ˈœi̯	ˈiː	0.108
ˈœi̯	ˈʏ	0.07
ˈœː	ˈœ	0.574
ˈœː	ˈɔ	0.284
ˈɑ	ˈɒː	0.423
ˈɑ	ˈɒ	0.314
ˈɑ	ˈa	0.115
ˈɑ	ˈuː	0.079
ˈɑ	ˈɔː	0.049
ˈɑː	ˈɒ	0.339
ˈɑː	ˈœ	0.32
ˈɑː	ˈɛi̯	0.137
ˈɑː	ˈɔu̯	0.132
ˈɒː	ˈɛi̯	0.213
ˈɒː	ˈɒː	0.185
ˈɒː	ˈɛː	0.161
ˈɒː	ˈɔː	0.141
ˈɒː	ˈeː	0.107
ˈɔ	ˈɔː	0.371
ˈɔ	ˈʊ	0.371
ˈɔ	ˈʏ	0.107
ˈɔ	ˈøː	0.084
ˈɔu̯	w	0.494
ˈɔː	ˈuː	0.428
ˈɔː	ˈɔ	0.124
ˈɔː	ˈœ	0.118
ˈɔː	ˈiː	0.118
ˈɔː	ˈʊ	0.118
ˈɛ	ˈeː	0.336
ˈɛ	ˈa	0.254
ˈɛ	ˈi	0.193
ˈɛ	ˈiː	0.09
ˈɛ	ˈaː	0.063
ˈɛi̯	ˈiː	0.494
ˈɛː	ˈiː	0.35
ˈɛː	ˈɒ	0.149
ˈɛː	ˈɔː	0.098
ˈɛː	ˈai̯	0.098
ˈɛː	ˈɒː	0.098
ˈɛːi̯	ˈɔi̯	0.277
ˈɛːi̯	ˈiː	0.241
ˈɛːi̯	ˈi	0.137
ˈɪ	ˈa	0.422
ˈɪ	ˈɔː	0.278
ˈɪ	ˈi	0.097
ˈɪ	ˈʊ	0.097
ˈɪː	ˈʊ	0.185
ˈɪː	ˈa	0.179
ˈɪː	ˈi	0.146
ˈɪː	ˈœ	0.122
ˈɪː	ˈɛ	0.122
ˈʊ	ˈʊ	0.494
ˈʊː	ˈœ	0.256
ˈʊː	ˈyː	0.242
ˈʊː	ˈɔ	0.223
ˈʊː	ˈʊ	0.16
ˈʊː	ˈaː	0.072
ˈʏ	ˈeː	0.574
ˈʏ	ˈʊ	0.284
ˈʏː	ˈyː	0.644
ˈʏː	ˈʏ	0.241
β	v	0.763
β	-	0.171
β	f	0.053
