Lombard	Occitan	probability
a	ɔ	0.684
a	a	0.203
a	-	0.067
ã	a	0.561
ã	e	0.425
b	b	0.721
b	β	0.27
d	d	0.534
d	ð	0.24
d	-	0.094
d	ʤ	0.07
e	e	0.752
e	j	0.091
e	a	0.069
e	-	0.051
ẽ	-	0.503
f	f	0.736
f	w	0.222
i	e	0.668
i	-	0.135
i	i	0.135
ĩ	i	0.683
ĩ	e	0.226
j	l	0.398
j	-	0.268
j	j	0.135
j	i	0.057
j	ʎ	0.057
k	k	0.928
l	l	0.809
l	w	0.107
l	-	0.065
m	m	0.889
m	-	0.066
n	n	0.948
o	u	1.0
p	p	0.902
p	s	0.082
r	ɾ	0.461
r	r	0.412
r	-	0.118
s	s	0.726
s	ʦ	0.141
s	-	0.115
t	t	0.747
t	n	0.145
t	ʧ	0.051
u	u	0.412
u	a	0.324
u	-	0.178
u	e	0.068
ũ	u	0.253
v	v	0.503
w	-	0.715
w	ɣ	0.28
y	u	0.253
z	z	1.0
ɛ	-	0.758
ɛ	e	0.096
ɡ	ɡ	0.542
ɡ	ɣ	0.189
ɡ	k	0.143
ɡ	-	0.077
ɲ	ɲ	0.68
ɲ	n	0.2
ɲ	-	0.098
ʃ	s	0.758
ʃ	ɾ	0.186
ʋ	v	0.602
ʋ	β	0.291
ʋ	-	0.058
ʤ	ʒ	0.473
ʤ	ɡ_l	0.154
ʤ	ʎ	0.134
ʤ	n	0.088
ʤ	ʤ	0.088
ʤ	ɡ	0.058
ʦ	s	0.4
ʦ	ʦ	0.279
ʦ	ɥ	0.115
ʦ	ʧ	0.077
ʦ	-	0.058
ʧ	s	0.378
ʧ	l	0.252
ʧ	ʧ	0.128
ʧ	t	0.088
ʧ	-	0.058
ʧ	ʤ	0.058
ˈa	ˈa	0.927
ˈaː	ˈa	1.0
ˈãː	ˈa	0.947
ˈãː	-	0.055
ˈe	ˈe	0.574
ˈe	ˈɛ	0.424
ˈeː	ˈe	1.0
ˈẽː	ˈɛ	0.699
ˈẽː	ŋ	0.297
ˈi	ˈi	0.921
ˈi	ˈy	0.054
ˈiː	ˈi	1.0
ˈĩː	ˈi	1.0
ˈo	ˈu	0.5
ˈo	ˈɔ	0.5
ˈu	ˈu	0.744
ˈu	ˈɔ	0.148
ˈu	ˈy	0.057
ˈu	ɥ	0.056
ˈuː	ˈu	1.0
ˈũː	ˈu	0.456
ˈũː	ˈɔ	0.217
ˈũː	-	0.143
ˈũː	ˈy	0.106
ˈũː	ŋ	0.057
ˈy	ˈy	0.739
ˈy	ˈu	0.143
ˈy	-	0.053
ˈy	ˈe	0.052
ˈyː	ˈu	0.449
ˈyː	ˈu_l	0.314
ˈyː	ˈy	0.207
ˈỹː	ˈy	0.503
ˈø	ɥ_ˈɛ	0.421
ˈø	ˈu	0.244
ˈø	ɥ	0.176
ˈø	ˈɔ	0.101
ˈøː	ˈɔ	0.618
ˈøː	ɥ_ˈɔ	0.244
ˈɔ	ˈɔ	0.551
ˈɔ	ˈa_w	0.305
ˈɔ	ˈe	0.096
ˈɛ	ˈɛ	0.797
ˈɛ	ˈe	0.176
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	e	0.253
