Lengadocian	Lengadocian	probability
β_l	b_j	1.0
ˈɛ_ʀ	ˈɛ_r	1.0
ˈɛ_n	ˈe_t	1.0
ˈɛ_l	ʧ	1.0
ˈu_l	ˈø_ʧ	1.0
ˈu_#>	ˈu_#>	1.0
ˈe_j	ˈɛ	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_z	ˈa	1.0
ˈa_l	ˈa_l	1.0
ˈa_j	ˈa_d	1.0
ˈa_#>	ˈa_#>	1.0
ʦ	s	1.0
ʤ_e	s	1.0
ʀ	r	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_ɔ	a	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɥ_ˈɔ	ˈø	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ð_ɔ	d_a	1.0
z	-	1.0
y	y	1.0
w_ɾ	f	1.0
t_ɔ	t_a	1.0
s_ɔ	s_a	1.0
s_#>	#>	1.0
p	p	1.0
nː	m_n	1.0
mː	t_m	1.0
m_#>	m_#>	1.0
lː	z	1.0
l_ˈe	l_ˈɛ	1.0
l_#>	l_#>	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈɛ	ˈɛ	1.0
j_s	s	1.0
f	f	1.0
e_s	s	1.0
d	d	1.0
a_β	a	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_b	<#	1.0
ɔ	a	0.965
s	s	0.96
m	m	0.933
ˈa	ˈa	0.919
a	a	0.882
t	t	0.857
n	n	0.851
ɣ	ɡ	0.8
b	b	0.789
ˈi_#>	ˈi_#>	0.778
ˈi	ˈi	0.75
ˈa_w	ˈo	0.714
ŋ	ŋ	0.714
u	o	0.714
l	l	0.711
ʎ	j	0.667
e	e	0.654
ʧ	t	0.625
ð	t	0.625
ˈi_l	ˈe_l	0.6
ʤ	z	0.588
i	i	0.571
ɾ	r	0.562
e_#>	#>	0.56
w_#>	f_#>	0.556
j	-	0.538
ˈɛ	ˈɛ	0.536
ˈu	ˈu	0.533
β	-	0.5
ɥ	ˈø	0.5
ɥ	-	0.5
<#_ˈa	<#_ˈa	0.5
<#_ˈa	<#	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
ˈɔ	ˈɔ	0.476
w_#>	#>	0.444
e_#>	r_#>	0.44
i	-	0.429
ˈy	ˈø	0.4
ˈy	ˈy	0.4
ˈi_l	l	0.4
w	-	0.4
ˈɛ	ˈe	0.393
ʧ	ʧ	0.375
ð	d	0.375
ˈe	ˈi	0.35
ˈe	ˈe	0.35
ˈu	ˈo	0.333
ʎ	ʤ	0.333
ɾ	e	0.312
β	b	0.3
w	ˈo	0.3
w	o	0.3
l	j	0.289
ˈɔ	ˈø	0.286
ˈa_w	ˈɔ	0.286
ŋ	-	0.286
#>	r_#>	0.269
#>	e_#>	0.269
j	ˈɛ	0.231
j	d	0.231
ˈi_#>	#>	0.222
b	ʋ	0.211
β	ʋ	0.2
ˈy	-	0.2
ˈe	ˈɛ	0.2
ɣ	ɡ_w	0.2
e	-	0.192
#>	t_#>	0.192
ʤ	d	0.176
e	i	0.154
#>	a_#>	0.154
ˈi	ˈe	0.15
ˈɔ	ˈo	0.143
u	u	0.143
u	-	0.143
ɾ	-	0.125
ʤ	ʤ	0.118
ʤ	j	0.118
a	-	0.118
#>	s_#>	0.115
n	-	0.106
ˈi	ˈa	0.1
ˈe	-	0.1
ˈɔ	-	0.095
ˈa	w_ˈa	0.081
ˈɛ	ˈi	0.071
t	l_t	0.071
t	-	0.071
ˈu	ˈɔ	0.067
ˈu	-	0.067
m	-	0.067
