Bokmål Norwegian	Swedish	probability
b	b	1.0
d	d	0.737
d	-	0.128
d	tː	0.101
e	a	1.0
f	f	1.0
h	h	1.0
i	ɪ	1.0
j	j	0.695
j	ɡ	0.186
j	-	0.119
k	k	0.94
kʰ	kʰ	1.0
kː	kː	0.76
kː	k	0.24
l	l	0.941
lː	l	0.653
lː	lː	0.293
lː	r	0.054
m	m	0.979
mː	mː	1.0
n	n	0.92
n	nː	0.08
nː	n_d	0.428
nː	nː	0.36
nː	n	0.212
p	p	0.869
p	pː	0.131
pʰ	pʰ	1.0
pː	pː	1.0
s	s	0.894
s	ɧ	0.094
sː	s	0.698
sː	sː	0.302
t	t	0.95
tʰ	tʰ	0.829
tʰ	t	0.105
tʰ	ɕ	0.065
tː	tː	1.0
ŋ	ŋ	1.0
ŋː	ŋː	0.92
ŋː	ŋ	0.08
ɕ	ɕ	0.963
ə	a	0.668
ə	ɛ	0.256
ə	-	0.06
ɡ	ɡ	0.817
ɡ	j	0.183
ɡː	ɡː	1.0
ɪ	ɵ	0.817
ɪ	ɪ	0.183
ɳ	ɳ	0.888
ɳ	ɳː	0.112
ɾ	r	0.9
ʂ	ɧ	1.0
ʃ	ɧ	1.0
ʈ	ʈː	1.0
ʈː	ʈː	1.0
ʋ	v	0.911
ʋ	-	0.068
ˈeː	ˈeː	0.474
ˈeː	ˈɛ	0.204
ˈeː	ˈɛː	0.177
ˈeː	-	0.146
ˈiː	ˈiː	0.656
ˈiː	ˈyː	0.082
ˈiː	ˈiː_d	0.071
ˈiː	jː	0.07
ˈiː	ˈeː	0.069
ˈiː	ˈɛ	0.051
ˈoː	ˈoː	0.913
ˈuː	ˈuː	0.684
ˈuː	ˈʊ	0.109
ˈuː	ˈœ	0.069
ˈyː	ˈyː	0.402
ˈyː	ˈʉː	0.283
ˈyː	j_ˈʉː	0.216
ˈyː	ˈæː	0.099
ˈæ	ˈɑː	0.825
ˈæ	ˈɛ	0.175
ˈæɪ̯	ˈeː	0.443
ˈæɪ̯	ŋ	0.286
ˈæɪ̯	ˈɛː	0.167
ˈæɪ̯	j	0.081
ˈæː	ˈæː	0.634
ˈæː	ˈɛː_d	0.325
ˈøː	ˈøː	0.866
ˈøː	ˈœː	0.134
ˈœ	ˈœ	0.478
ˈœ	ˈoː	0.155
ˈœ	ˈɪ	0.155
ˈœ	ˈɔ	0.121
ˈœ	ˈøː	0.064
ˈœʏ̯	ˈøː	1.0
ˈɑ	ˈa	0.866
ˈɑ	ˈoː	0.078
ˈɑː	ˈɑː	1.0
ˈɔ	ˈɔ	0.607
ˈɔ	ˈœː	0.211
ˈɔ	ˈɵ	0.145
ˈɛ	ˈɛ	0.748
ˈɛ	ˈæ	0.119
ˈɛ	ˈɛː	0.085
ˈɛː	ˈæː	1.0
ˈɪ	ˈɪ	0.906
ˈɪ	ˈʏ	0.069
ˈʉ	ˈɵ	0.741
ˈʉ	ˈʊ	0.234
ˈʉː	ˈʉː	0.774
ˈʉː	ˈʉː_ɡ	0.067
ˈʉː	ˈoː	0.053
ˈʉː	ˈœ	0.05
ˈʊ	ˈoː	0.501
ˈʊ	ˈʊ	0.387
ˈʊ	ˈɵ	0.111
ˈʏ	ˈʏ	0.693
ˈʏ	ˈɵ	0.246
ˈʏ	ˈœ	0.062
