East Frisian Low Saxon	Old Frisian	probability
χ	x	1.0
ˈʏə̯	ˈe	1.0
ˈʊə̯	ˈu	1.0
ˈɪə̯	-	1.0
ˈɔː	ˈeː	1.0
ˈɒːɒ̯	ˈa	1.0
ˈɑːʊ̯	ˈi̯uː_w	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈoː	1.0
ˈœy̯	ˈeː	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈeː	1.0
ˈyːʏ̯	ə_l	1.0
ˈyː	ˈi̯uː	1.0
ˈuːu̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈiːi̯	ˈi	1.0
ʊ	ˈoː	1.0
ɫ	l_ə	1.0
ɡ̊	-	1.0
ɡ_ˈeː	j_ˈe	1.0
ə	i	1.0
ɑɪ̯	iː	1.0
ɐ_ɣ̊	ə_x	1.0
z̥	z	1.0
w	w	1.0
v̥	v	1.0
v_ˈʊ	w	1.0
v_n	v_ə	1.0
o	ˈa	1.0
n_t	n_t	1.0
n_n	nː_ə	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d	1.0
b	b	1.0
p	p	0.964
m	m	0.954
s	s	0.946
l	l	0.915
r	r	0.893
t	t	0.892
ˈiː	ˈiː	0.875
ŋ	ŋ_ɡ	0.825
ˈɑʊ̯	ˈoː	0.8
ˈɪ	ˈi	0.783
ˈʊ	ˈu	0.773
z	s	0.74
ˈɛ	ˈe	0.732
ˈœ	ˈu	0.732
k	k	0.699
v	w	0.681
ˈɑː	ˈe	0.667
ˈɑːɑ̯	-	0.636
n	n	0.628
ˈɛːɪ̯	ˈiː	0.6
ˈʏ	ˈe	0.597
ˈæːɪ̯	ˈɛː	0.593
ɐ	r	0.546
d	d	0.538
ˈøː	-	0.533
ˈoː	ˈaː	0.523
ˈɔ	ˈo	0.502
ˈeːe̯	ð	0.5
ˈeːe̯	-	0.5
ˈæɪ̯	ˈɛː	0.496
ˈæɪ̯	ˈi̯aː	0.416
d	θ	0.411
ɣ̊	ɡː	0.408
ˈæːɪ̯	-	0.407
ˈʏ	-	0.403
ˈɛːɪ̯	ˈeː	0.4
ˈɑ	ˈa	0.397
ˈoː	ˈo	0.386
ˈeː	ˈe	0.377
ˈeː	-	0.377
ˈɑ	ˈɔː	0.369
ˈɑːɑ̯	ˈa	0.364
ɣ̊	ɣ	0.352
ˈøː	ˈu	0.334
ɡ	ɡ	0.334
ˈɑː	ˈa	0.333
ɐ	ə_r	0.302
ˈɔ	-	0.301
ˈɛ	-	0.268
ˈœ	-	0.268
ˈɒː	ˈɔː	0.265
n	ə	0.253
ˈeː	ˈi	0.246
ɣ̊	x	0.24
ˈɑ	ˈe	0.234
ˈɒː	ˈeː	0.233
ɡ	ɣ	0.228
ˈʊ	ˈuː	0.227
ˈɑʊ̯	ˈeː	0.2
ˈɔ	ˈa	0.196
ɡ	j	0.191
ˈɒː	ˈe	0.186
ˈɒː	-	0.176
ŋ	ŋ	0.175
k	k_ə	0.173
z	-	0.159
ˈɒː	ˈa	0.14
ɡ	ʣ	0.14
ˈɪ	-	0.137
ˈøː	ˈo	0.133
v	v	0.126
ˈiː	-	0.125
ɡ	ɣ_ə	0.107
r	r_ˈi	0.107
v	h_w	0.101
z	s_w	0.1
v	w_ˈi	0.092
ˈoː	-	0.091
ˈæɪ̯	ˈaː	0.088
ˈɪ	ˈe	0.08
ɐ	ˈeː_r	0.08
t	tː	0.076
k	kː	0.07
l	l_ˈi̯aː	0.065
k	ʦ	0.058
s	k	0.054
d	dː	0.052
